Genotype,Treatment,LWP,PD,Species
9018,Drought,-11.3,-8.1,acerifolia
9018,Control,-7,-6.7,acerifolia
9018,Drought,-14.9,-9.5,acerifolia
9018,Drought,-14.5,NA,acerifolia
9018,Control,-11.5,-6.4,acerifolia
9018,Control,-14.3,-6,acerifolia
9018,Drought,-14.5,-8.3,acerifolia
9018,Control,-12.5,-7,acerifolia
9018,Control,-12,-7.2,acerifolia
9018,Drought,-14,-7.1,acerifolia
9018,Drought,-14.5,-11.5,acerifolia
b40-14,Control,-10.8,-7,arizonica
b40-14,Control,-13,-6.2,arizonica
b40-14,Drought,NA,-11.5,arizonica
b40-14,Control,-14,-5.3,arizonica
b40-14,Drought,NA,NA,arizonica
b40-14,Drought,-14,NA,arizonica
b40-14,Control,-14.9,-6.5,arizonica
b40-14,Control,NA,-3,arizonica
b42-34,Drought,NA,-10.3,cinerea
b42-34,Control,NA,NA,cinerea
b42-34,Control,-12.6,-8.5,cinerea
b42-34,Control,-12,-7.4,cinerea
b42-34,Drought,NA,-11.2,cinerea
b42-34,Control,-13.9,-5.8,cinerea
b42-34,Drought,-14.6,-8.6,cinerea
b42-34,Control,-6,-11,cinerea
b42-34,Drought,NA,-10.9,cinerea
b42-34,Drought,NA,-9.7,cinerea
NY1,Control,-14.8,-6.2,riparia
NY1,Control,-10.7,NA,riparia
NY1,Drought,-13,-8.3,riparia
NY1,Drought,-14,-9,riparia
NY1,Drought,-12.9,-6.3,riparia
NY1,Drought,-11.6,-7.1,riparia
NY1,Control,-14.6,-8,riparia
NY1,Control,-10.5,-6.3,riparia
NY1,Control,-13.5,-8,riparia
T48,Drought,-11.9,-7,mustangensis
T48,Drought,-14.1,-7.8,mustangensis
T48,Control,-10,-8,mustangensis
T48,Control,-11,-6.6,mustangensis
T48,Control,-10,-6.1,mustangensis
T48,Drought,-11.5,-8.5,mustangensis
T48,Drought,-12,-7.1,mustangensis
T48,Control,-12.6,-6.2,mustangensis
T48,Control,-9.9,-4.8,mustangensis
T48,Drought,-7.5,-7,mustangensis
T52,Control,-11.5,-5.5,aestivalis
T52,Drought,-13.9,-10.4,aestivalis
T52,Control,-11,-7.7,aestivalis
T52,Drought,NA,-9.2,aestivalis
T52,Control,-12,-6.5,aestivalis
T52,Drought,-9.5,NA,aestivalis
T52,Drought,-14.5,-10.6,aestivalis
T52,Drought,-9.5,-5.1,aestivalis
T52,Drought,NA,-11.7,aestivalis
T52,Control,-11.4,-3.9,aestivalis
T52,Control,-8.5,-6.4,aestivalis
TXNM0821,Control,-11.5,-3.9,hybrid
TXNM0821,Drought,-9.3,-4.1,hybrid
TXNM0821,Control,-12,-5,hybrid
TXNM0821,Drought,-12,-8,hybrid
TXNM0821,Control,-10.2,-4.9,hybrid
TXNM0821,Drought,-11,-6.3,hybrid
TXNM0821,Control,-7.5,-5.2,hybrid
TXNM0821,Drought,NA,-6.2,hybrid
TXNM0821,Control,-13,-6.3,hybrid
TXNM0821,Drought,-10,-5.3,hybrid
V60-96,Drought,-13.5,-8,vulpina
V60-96,Drought,-13.3,-6.4,vulpina
V60-96,Control,-9.5,-5.8,vulpina
V60-96,Control,-8.4,-4.7,vulpina
V60-96,Drought,-13.5,-12.1,vulpina
V60-96,Drought,-11.5,-7.8,vulpina
V60-96,Drought,-11.5,NA,vulpina
V60-96,Control,-12,-6.1,vulpina
V60-96,Control,-11.4,-4.8,vulpina
V60-96,Control,-9.5,-5.4,vulpina
V60-96,Drought,NA,-11.9,vulpina
Vru42,Control,-13.5,-7.2,rupestris
Vru42,Control,-12.9,-6.8,rupestris
Vru42,Drought,NA,-8.3,rupestris
Vru42,Control,-5.457,NA,rupestris
Vru42,Drought,NA,-9.3,rupestris
Vru42,Drought,NA,-6,rupestris
Vru42,Control,-13.6,-6.3,rupestris
Vru42,Drought,-12.9,-8.8,rupestris
Vru42,Control,-14.6,-7.5,rupestris
Vru42,Drought,NA,-12.8,rupestris
Vru42,Control,NA,-6.8,rupestris
