E,A,Ci,gsw,intrinsic,inst,Vcmax,Amax,J,LWP,PD,Porosity,Mesophyll_SV/Total_MesophyllV,Mesophyll_PV/Total mesophyllV,Mesophyll_SV/Mesophyll_PV,Leaf_Width_um,Mesophyll_Width_um,SA(Spongy)/SAWMES,SA(Palisade/SAWMES),SA(SPOnGY+Palisade)/SAWMES,Lat,Long,Annual.Mean.Temperature,Mean.Diurnal.Range..Mean.of.monthly..max.temp...min.temp..,Isothermality..BIO2.BIO7.....100.,Temperature.Seasonality..standard.deviation..100.,Max.Temperature.of.Warmest.Month,Min.Temperature.of.Coldest.Month,Temperature.Annual.Range..BIO5.BIO6.,Mean.Temperature.of.Wettest.Quarter,Mean.Temperature.of.Driest.Quarter,Mean.Temperature.of.Warmest.Quarter,Mean.Temperature.of.Coldest.Quarter,Annual.Precipitation,Precipitation.of.Wettest.Month,Precipitation.of.Driest.Month,Precipitation.Seasonality..Coefficient.of.Variation.,Precipitation.of.Wettest.Quarter,Precipitation.of.Driest.Quarter,Precipitation.of.Warmest.Quarter,Precipitation.of.Coldest.Quarter
0.0022442,16.3164118,178.566684,0.12568675,129.8180739,7270.48026,90.73792423,29.22225557,166.35884,-7,-6.7,0.430989287,0.310443205,0.258567507,1.200627289,234.9127687,191.798988,0.310443205,0.258567507,0.569010713,34.0083,-100.282,16.5,15,38,853.6,35.8,-3.5,39.3,25.2,5.2,27.3,5.2,565,83,17,49,213,61,191,61
0.0034676,15.4006269,244.186877,0.17462844,88.19082905,4441.292796,180.0243794,21.20527737,236.7960508,-11.5,-6.4,0.474736268,0.262925267,0.262338465,1.002236812,243.2502496,204.4793434,0.262925267,0.262338465,0.525263732,30.6327,-97.6772,19.2,12.4,38,705,35,2.5,32.5,23.1,10.9,27.9,9.8,837,114,43,31,278,163,182,163
0.00189654,11.2510556,149.397727,0.07677928,146.5376544,5932.411444,196.4097249,20.52606798,237.4436201,-14.3,-6,0.473582731,0.275516738,0.250900531,1.098111421,228.0626435,189.3686127,0.275516738,0.250900531,0.526417269,27.4525,-107.712,15.5,18.1,59,438.6,30.6,0,30.6,20.3,14.9,20.9,9.9,891,226,10,92,549,45,503,128
0.00464389,13.5502366,265.057576,0.18491414,73.27853132,2917.863386,205.2954502,33.14659596,296.6524052,-12,-7.2,0.463423192,0.268656602,0.267920206,1.002748565,238.5534219,198.4427439,0.268656602,0.267920206,0.536576809,25.1085528,-99.8062,22.1,13.9,48,516,35.9,7.1,28.8,25.7,15.1,28.2,15.1,849,180,19,68,393,65,297,65
0.00479178,18.1942841,191.912743,0.15479221,117.54005,3796.978179,222.9557198,31.08307952,249.1169728,-10.8,-7,0.324519749,0.377706233,0.297774018,1.268432469,181.8525064,147.3004251,0.377706233,0.297774018,0.675480252,30.7592,-98.7003,18.8,14.5,41,720.9,35.6,0.7,34.9,22.9,9.1,27.7,9.1,701,101,30,35,240,113,179,113
0.00082707,6.41834418,166.439236,0.04640228,138.3195865,7760.339729,113.0466906,16.45732913,165.5103991,-13,-6.2,0.327483182,0.355671434,0.316845385,1.122539419,190.5786262,157.144243,0.355671434,0.316845385,0.672516818,43.841723,-73.387025,7.2,12.3,29,996.8,27.8,-13.6,41.4,18.4,-5,19.5,-6.3,919,104,53,18,275,172,273,178
0.00675436,16.0277417,288.109618,0.27812052,57.6287636,2372.947504,220.6178844,28.08819076,291.6838817,-14.9,-6.5,0.257619214,0.345898009,0.396482777,0.872416229,170.9581917,140.1000486,0.345898009,0.396482777,0.742380786,35.6689,-105.3361,6.7,16.8,47,667.1,25.2,-10.5,35.7,14.8,-0.4,15.5,-1.5,526,100,21,60,251,69,244,69
0.00725245,16.4392611,284.422788,0.2806373,58.57831835,2266.718295,166.0130739,31.13762131,267.3939921,-12.6,-3,0.339574798,0.347967198,0.312458005,1.113644691,178.8130593,145.5998964,0.347967198,0.312458005,0.660425202,37.76774,-90.3835,12.4,13.1,34,892.4,31.4,-6.9,38.3,12.4,0.4,23.6,0.4,1105,117,62,18,330,215,290,215
0.00372297,16.3113584,262.057766,0.21188984,76.98037055,4381.275809,143.6209096,25.15399325,172.8488501,-12,-8.5,0.361818416,0.242710997,0.395470587,0.613727052,130.7673395,104.2347884,0.242710997,0.395470587,0.638181584,40.380579,-75.032293,10.7,11.7,32,877,29.5,-6.8,36.3,21,-0.8,21.9,-0.8,1172,117,75,12,329,254,325,254
0.00230532,12.9374507,229.023656,0.13075882,98.94132342,5611.99777,81.44096606,17.97584036,111.2585696,-13.9,-7.4,0.3560042,0.210413499,0.433582302,0.485290793,159.0989279,129.8371348,0.210413499,0.433582302,0.6439958,34.0083,-100.282,16.5,15,38,853.6,35.8,-3.5,39.3,25.2,5.2,27.3,5.2,565,83,17,49,213,61,191,61
0.00414101,10.5318554,315.202894,0.23564335,44.69404887,2543.305957,78.27268754,14.74266183,90.23321318,-6,-5.8,0.329876788,0.22221478,0.447908432,0.496116536,139.0345518,112.1467086,0.22221478,0.447908432,0.670123213,30.6327,-97.6772,19.2,12.4,38,705,35,2.5,32.5,23.1,10.9,27.9,9.8,837,114,43,31,278,163,182,163
0.00387964,15.39080455,275.6315966,0.223627209,68.82348811,3967.069882,105.5020845,23.18463183,136.1567881,-14.8,-11,0.297912251,0.245425925,0.456661824,0.537434732,129.1825242,101.866288,0.245425925,0.456661824,0.702087749,27.4525,-107.712,15.5,18.1,59,438.6,30.6,0,30.6,20.3,14.9,20.9,9.9,891,226,10,92,549,45,503,128
0.00413748,12.7505584,235.246899,0.13999603,91.07799985,3081.720854,134.6315164,35.05601567,223.4154917,-10.7,-6.2,0.425014589,0.34260982,0.232375591,1.47437955,216.1642167,180.3670858,0.34260982,0.232375591,0.574985411,25.1085528,-99.8062,22.1,13.9,48,516,35.9,7.1,28.8,25.7,15.1,28.2,15.1,849,180,19,68,393,65,297,65
0.00270239,16.3408266,213.4335,0.15346589,106.4785575,6046.805457,184.1847294,33.82702442,235.8806548,-14.6,-8,0.395215362,0.333347241,0.271437397,1.228081482,203.6846528,166.7821774,0.333347241,0.271437397,0.604784638,30.7592,-98.7003,18.8,14.5,41,720.9,35.6,0.7,34.9,22.9,9.1,27.7,9.1,701,101,30,35,240,113,179,113
0.00191751,8.50777545,212.264393,0.07884568,107.904142,4436.887135,162.3781698,21.22618213,204.0924246,-13.5,-8,0.391971731,0.36392726,0.244101009,1.490887981,230.4530138,190.1633463,0.36392726,0.244101009,0.608028269,43.841723,-73.387025,7.2,12.3,29,996.8,27.8,-13.6,41.4,18.4,-5,19.5,-6.3,919,104,53,18,275,172,273,178
0.00239368,5.87610589,211.590316,0.05664148,103.7420966,2454.841871,97.96480957,11.99402403,121.8465309,-10,-8,0.419378117,0.32809163,0.252530253,1.299217124,222.0988833,183.1297612,0.32809163,0.252530253,0.580621883,35.6689,-105.3361,6.7,16.8,47,667.1,25.2,-10.5,35.7,14.8,-0.4,15.5,-1.5,526,100,21,60,251,69,244,69
0.001281654,6.029002504,95.65085256,0.03356321,179.631285,4704.078921,103.0147931,11.48731402,166.5871066,-11,-6.6,0.284302284,0.330518122,0.385179594,0.858088351,160.6608916,129.7191319,0.330518122,0.385179594,0.715697716,37.76774,-90.3835,12.4,13.1,34,892.4,31.4,-6.9,38.3,12.4,0.4,23.6,0.4,1105,117,62,18,330,215,290,215
0.000924987,3.857123926,217.5396324,0.036576713,105.4529959,4169.922591,136.2922918,10.39957907,194.4610569,-10,-6.1,0.307454005,0.333002473,0.359543522,0.926181261,148.2327039,116.4093018,0.333002473,0.359543522,0.692545995,40.380579,-75.032293,10.7,11.7,32,877,29.5,-6.8,36.3,21,-0.8,21.9,-0.8,1172,117,75,12,329,254,325,254
