ID,trt,ID Order,genotype,species,block,year,harvest_date,pd_mpa,pd_pot,md_mpa,md_pot,figure,pd_pot_als,sm_wet_top,sm_wet_bot,sm_dry_top,sm_dry_bot,GWC_top,GWC_bottom,stem_diam,canopy_biomass,dry_root_bag,bag_tare,root_biomass,root_g,exud_time,exud,exud_flow,exud_gg,exud_ro,exud_s,exp,parameter,epson_file,mask_imagej,brown_imagej,perc_white
1149.10,Control,211,1149,treleasei,1,2020,12/11/2020,,6.8,,10.5,,9.6,,,,,0.250,0.372,7.68,75.20,21.02950,,,,117,0.16415,0.001402991453,,,,,,,,,
1149.1,Drought,202,1149,treleasei,4,2020,12/17/2020,,6.5,,11.6,,13.5,9.7568,9.9948,,,0.080,0.105,8.40,20.30,20.6685,,,,,,,,,,,,,,,
1149.2,Drought,203,1149,treleasei,3,2020,12/16/2020,,6.5,,5.6,,11.8,9.5073,9.9877,,,0.156,0.079,5.50,28.70,20.54550,,,,,,,,,,,,,,,
1149.3,Drought,204,1149,treleasei,2,2020,12/15/2020,,6.4,,9,,14.2,11.2896,10.0787,,,0.149,0.099,6.13,30.60,20.24110,,,,,,,,,,,,,,,
1149.4,Drought,205,1149,treleasei,5,2020,12/18/2020,,14.2,,17,,,,,,,0.089,0.059,5.40,10.50,17.48920,,,,,,,,,,,,,,,
1149.5,Drought,206,1149,treleasei,1,2020,12/11/2020,,7.9,,14.3,,13.5,,,,,0.105,0.098,5.18,23.00,23.47700,,,,147,0.02389,0.0001625170068,,,,,,,,,
1149.6,Control,207,1149,treleasei,4,2020,12/17/2020,,4.5,0.8,8,,4.48,10.0643,10.3132,,,,,7.26,77.90,29.05470,,,,,,,,,,,,,,,
1149.7,Control,208,1149,treleasei,3,2020,12/16/2020,,7.5,,10.1,,10.9,,,,,0.316,0.353,7.80,105.90,34.0323,,,,62,0.22743,0.003668225806,,,,,,,,,
1149.8,Control,209,1149,treleasei,2,2020,12/15/2020,,6.9,,11.8,,9.4,,9.5406,,,0.318,0.507,8.16,97.30,38.74030,,,,,,,,,,,,,,,
1149.9,Control,210,1149,treleasei,5,2020,12/18/2020,,3.7,0.463,4.63,,,,,,,0.307,0.216,7.09,78.50,35.86090,,,,,,,,,,,,,,,
2970.1,Drought,262,2970,popenoi,1,2020,12/11/2020,,7.1,,11.8,,,,,,,0.421,0.524,3.64,6.9,8.79640,,,,,,,,,,,,,,,
2970.10,Control,271,2970,popenoi,5,2020,12/18/2020,,5.4,,9.5,,,,,,,0.214,0.222,4.20,6.4,xx,12.7141,,,,,,,,,,,,,,
2970.3,Control,264,2970,popenoi,3,2020,12/16/2020,,10,,13.3,,,,,,,0.461,0.599,4.41,15.1,9.99320,,,,97,0.09438,0.0009729896907,,,,,,,,,
2970.4,Drought,265,2970,popenoi,5,2020,12/18/2020,,4.6,0.9,9,,,,,,,0.063,0.110,4.03,3.9,8.32480,,,,,,,,,,,,,,,
2970.6,Drought,267,2970,popenoi,4,2020,12/17/2020,,8.5,,7.7,,,9.2102,10.1137,,,,,5.17,13.5,11.53910,,,,,,,,,,,,,,,
2970.9,Control,270,2970,popenoi,1,2020,12/11/2020,,5.4,,10,,,,,,,0.490,0.296,4.41,30.3,10.47340,,,,,,,,,,,,,,,
9018.1,Drought,1,9018,acerifolia,4,2020,12/17/2020,,7,,9.1,,9,10.6078,8.8084,,,0.377,0.517,5.33,13,28.58450,7.1611,21.4234,,,,,,,,,,9018-1_D_B4_R3_20201230_15581636.tif,1.655,1.269,0.2332326284
9018.1,Drought,1,9018,acerifolia,4,2020,12/17/2020,,7,,9.1,,9,10.6078,8.8084,,,0.377,0.517,5.33,13,28.58450,7.1611,21.4234,21.4234,,,,,,,,,9018-1_D_B4_R1_20201230_15464927.tif,0.598,0.437,0.2692307692
9018.1,Drought,1,9018,acerifolia,4,2020,12/17/2020,,7,,9.1,,9,10.6078,8.8084,,,0.377,0.517,5.33,13,28.58450,7.1611,21.4234,,,,,,,,,,9018-1_D_B4_R2_20201230_15500021.tif,0.612,0.446,0.2712418301
9018.10,Control,10,9018,acerifolia,3,2020,12/16/2020,,6,,7,,9,11.7059,11.2437,,,0.377,0.517,7.92,69.5,26.70770,7.1611,19.5466,,,,,,,,,,9018-10_C_B3_R2_20201219_17402443.tif,2.642,2.02,0.2354277063
9018.10,Control,10,9018,acerifolia,3,2020,12/16/2020,,6,,7,,9,11.7059,11.2437,,,,,7.92,69.5,26.70770,7.1611,19.5466,19.5466,,,,,,,,,9018-10_C_B3_R1_20201219_17331013.tif,0.934,0.665,0.2880085653
9018.10,Control,10,9018,acerifolia,3,2020,12/16/2020,,6,,7,,9,11.7059,11.2437,,,,,7.92,69.5,26.70770,7.1611,19.5466,,,,,,,,,,9018-10_C_B3_R3_20201219_17490206.tif,0.435,0.303,0.3034482759
9018.10,Control,10,9018,acerifolia,3,2020,12/16/2020,,6,,7,,9,11.7059,11.2437,,,,,7.92,69.5,26.70770,7.1611,19.5466,,,,,,,,,,9018-10_C_B3_R3_20201219_17490206.tif,1.599,1.081,0.3239524703
9018.2,Drought,2,9018,acerifolia,5,2020,12/18/2020,,6.9,,11.9,,,,,,,,,5.49,5.3,22.10360,12.7141,9.3895,9.3895,,,,,,,,,,,,
