ID,trt,ID Order,genotype,species,block,year,harvest_date,pd_pot,md_pot,pd_pot_als,harvest_sm,GWC_top,GWC_bottom,stem_diam,canopy_biomass,perc_canopy,dry_root_bag,bag_tare,root_biomass,perc_root,root_g,total_root_length,sys_area,surface_area,srl,srsa,exud_time,exud,exud_flow,exud_gg,exp,epson_file,dpi,mask_imagej,brown_imagej,perc_sub,perc_white,figure,figure_class
1149.10.,Control,211,1149,treleasei,1,2020,12/11/20,6.8,10.5,9.6,,0.25,0.372,7.68,75.2,,21.0295,6.3807,14.6488,0.16,,,,,,,117,0.1642,0.0014,,,,,,,,,,
1149.1,Drought,202,1149,treleasei,4,2020,12/17/20,6.5,11.6,13.5,,0.079765183,0.105026278,8.4,20.3,,20.6685,6.3807,14.2878,0.41,,,,,,,,,,,,,,,,,,,
1149.2,Drought,203,1149,treleasei,3,2020,12/16/20,6.5,5.6,11.8,,0.156106232,0.079029443,5.5,28.7,,20.5455,6.3807,14.1648,0.33,,,,,,,,,,,,,,,,,,,
1149.3,Drought,204,1149,treleasei,2,2020,12/15/20,6.4,9,14.2,,0.14852295,0.098925561,6.13,30.6,0.83,20.2411,6.3807,13.8604,0.31,,,,,,,,,,,,,,,,,,,
1149.4,Drought,205,1149,treleasei,5,2020,12/18/20,14.2,17,,,0.088921984,0.058981808,5.4,10.5,,17.4892,6.3807,11.1085,0.51,,,,,,,,,,,,,,,,,,,
1149.5,Drought,206,1149,treleasei,1,2020,12/11/20,7.9,14.3,13.5,,0.105068543,0.097625381,5.18,23,,23.477,6.3807,17.0963,0.43,,,,,,,147,0.0239,0.0002,,,,,,,,,,
1149.6,Control,207,1149,treleasei,4,2020,12/17/20,4.5,8,4.48,,,,7.26,77.9,,29.0547,6.3807,22.674,0.23,,,,,,,,,,,,,,,,,,,
1149.7,Control,208,1149,treleasei,3,2020,12/16/20,7.5,10.1,10.9,,0.315965107,0.352685082,7.8,105.9,,34.0323,6.3807,27.6516,0.21,,,,,,,62,0.2274,0.0037,,,,,,,,,,
1149.8,Control,209,1149,treleasei,2,2020,12/15/20,6.9,11.8,9.4,,0.317645207,0.507093693,8.16,97.3,,38.7403,6.3807,32.3596,0.25,,,,,,,,,,,,,,,,,,,
1149.9,Control,210,1149,treleasei,5,2020,12/18/20,3.7,4.63,,,0.307048785,0.21605195,7.09,78.5,,35.8609,6.3807,29.4802,0.27,,,,,,,,,,,,,,,,,,,
2970.10.,Control,271,2970,popenoi,5,2020,12/18/20,5.4,9.5,,,0.420948985,0.523634748,4.2,6.4,,xx,6.3807,,,,,,,,,,,,,,,,,,,,,
2970.1,Drought,262,2970,popenoi,1,2020,12/11/20,7.1,11.8,,,0.214140613,0.222468462,3.64,6.9,,8.7964,6.3807,2.4157,0.26,,,,,,,,,,,,,,,,,,,
2970.3,Control,264,2970,popenoi,3,2020,12/16/20,10,13.3,,,0.460755529,0.599287706,4.41,15.1,,9.9932,6.3807,3.6125,0.19,,,,,,,97,0.0944,0.001,,,,,,,,,,
2970.4,Drought,265,2970,popenoi,5,2020,12/18/20,4.6,9,,,0.062573639,0.109981434,4.03,3.9,,8.3248,6.3807,1.9441,0.33,,,,,,,,,,,,,,,,,,,
2970.6,Drought,267,2970,popenoi,4,2020,12/17/20,8.5,7.7,,,,,5.17,13.5,,11.5391,6.3807,5.1584,0.28,,,,,,,,,,,,,,,,,,,
2970.9,Control,270,2970,popenoi,1,2020,12/11/20,5.4,10,,,0.489854017,0.296266124,4.41,30.3,,10.4734,6.3807,4.0927,0.12,,,,,,,,,,,,,,,,,,,
