ID,Genotype,Treatment,Date,LWP,SWP,PD,LWP.area,SWP.area,PD.area
1149.1,1149,Control,11.9,8,,,,,
1149.5,1149,Drought,11.9,9,,,,,
2214.4.3,2214.4,Drought,11.9,7,,,,,
2214.4.8,2214.4,Control,11.9,9,,,,,
255189.01.1,255189.01,Drought,11.9,11,,,,,
255189.01.7,255189.01,Control,11.9,10,,,,,
2970.1,2970,Drought,11.9,9,,,,,
2970.9,2970,Control,11.9,7,,,,,
588155.01.4,588155.01,Drought,11.9,7,,,,,
588155.01.8,588155.01,Control,11.9,12,,,,,
9018.5,9018,Drought,11.9,10,,,,,
9018.6,9018,Control,11.9,6,,,,,
9025.3,9025,Drought,11.9,9,,,,,
9025.8,9025,Control,11.9,9,,,,,
9031.1,9031,Control,11.9,13,,,,,
9031.11,9031,Control,11.9,13,,,,,
9031.5,9031,Drought,11.9,12,,,,,
ANU65.2,ANU65,Drought,11.9,7,,,,,
ANU65.8,ANU65,Control,11.9,13,,,,,
b40-14.1,b40-14,Drought,11.9,10,,,,,
b40-14.10,b40-14,Control,11.9,8,,,,,
b42-24.1,b42-24,Drought,11.9,9,,,,,
b42-24.7,b42-24,Control,11.9,12,,,,,
b42-34.2,b42-34,Drought,11.9,8,,,,,
b42-34.6,b42-34,Control,11.9,8,,,,,
C56-94.5,C56-94,Drought,11.9,9,,,,,
C56-94.7,C56-94,Control,11.9,9,,,,,
CC12.1,CC12,Drought,11.9,11,,,,,
CC12.9,CC12,Control,11.9,7,,,,,
Haines.1,Haines,Control,11.9,8,,,,,
Haines2.1,Hanes2,Drought,11.9,5,,,,,
Haines2.7,Hanes2,Control,11.9,8,,,,,
NY1.1,NY1,Drought,11.9,9,,,,,
NY1.6,NY1,Control,11.9,7,,,,,
OCK1-S02.10,OCK1-S02,Control,11.9,7,,,,,
OCK1-S02.2,OCK1-S02,Drought,11.9,7,,,,,
SC2.5,SC2,Drought,11.9,10,,,,,
SC2.7,SC2,Control,11.9,8,,,,,
T48.4,T48,Drought,11.9,9,,,,,
T48.7,T48,Control,11.9,11,,,,,
T52.3,T52,Drought,11.9,10,,,,,
T52.7,T52,Control,11.9,9,,,,,
TX6704.1,TX6704,Drought,11.9,9,,,,,
TX6704.6,TX6704,Control,11.9,7,,,,,
TXNM0821.10,TXNM0821,Control,11.9,10,,,,,
TXNM0821.4,TXNM0821,Drought,11.9,8,,,,,
UT12-075.6,UT12-075,Control,11.9,10,,,,,
V57-96.10,V57-96,Control,11.9,10,,,,,
V57-96.5,V57-96,Drought,11.9,7,,,,,
V60-96.3,V60-96,Drought,11.9,8,,,,,
Vru42.1,Vru42,Drought,11.9,9,,,,,
Vru42.10,Vru42,Control,11.9,11,,,,,
1149.3,1149,Drought,11.1,13,,,,,
1149.8,1149,Control,11.1,12,,,,,
2214.4.4,2214.4,Drought,11.1,9,,,,,
2214.4.9,2214.4,Control,11.1,11,,,,,
255189.01.2,255189.01,Drought,11.1,9,,,,,
255189.01.9,255189.01,Control,11.1,9,,,,,
588155.01.1,588155.01,Drought,11.1,11,,,,,
588155.01.10,588155.01,Control,11.1,10,,,,,
9018.3,9018,Drought,11.1,10,,,,,
9018.8,9018,Control,11.1,10,,,,,
9025.1,9025,Control,11.1,10,,,,,
9025.5,9025,Drought,11.1,11,,,,,
9031.4,9031,Drought,11.1,14,,,,,
9031.7,9031,Control,11.1,13,,,,,
9035.2,9035,Drought,11.1,8,,,,,
9035.7,9035,Control,11.1,10,,,,,
ANU65.3,ANU65,Drought,11.1,8,,,,,
ANU65.9,ANU65,Control,11.1,8,,,,,
b40-14.2,b40-14,Drought,11.1,11,,,,,
b40-14.6,b40-14,Control,11.1,10,,,,,
b42-24.3,b42-24,Drought,11.1,9,,,,,
b42-24.6,b42-24,Control,11.1,9,,,,,
b42-34.1,b42-34,Drought,11.1,9,,,,,
b42-34.9,b42-34,Control,11.1,14,,,,,
C56-94.3,C56-94,Drought,11.1,9,,,,,
C56-94.6,C56-94,Control,11.1,11,,,,,
CC12.3,CC12,Drought,11.1,8,,,,,
CC12.8,CC12,Control,11.1,7,,,,,
Haines.7,Haines,Drought,11.1,10,,,,,
Haines2.10,Hanes2,Drought,11.1,12,,,,,
Haines2.2,Hanes2,Drought,11.1,11,,,,,
Haines2.9,Hanes2,Control,11.1,8,,,,,
NY1.5,NY1,Drought,11.1,11,,,,,
NY1.9,NY1,Control,11.1,10,,,,,
OCK1-S02.8,OCK1-S02,Control,11.1,9,,,,,
T48.2,T48,Drought,11.1,9,,,,,
T48.6,T48,Control,11.1,10,,,,,
T52.1,T52,Drought,11.1,8,,,,,
T52.6,T52,Control,11.1,12,,,,,
TX6704.3,TX6704,Drought,11.1,12,,,,,
TX6704.9,TX6704,Control,11.1,12,,,,,
TXNM0821.3,TXNM0821,Drought,11.1,9,,,,,
TXNM0821.7,TXNM0821,Control,11.1,10,,,,,
UT12-075.1,UT12-075,Drought,11.1,8,,,,,
UT12-075.10,UT12-075,Control,11.1,8,,,,,
V57-96.6,V57-96,Control,11.1,11,,,,,
