ID,Treatment,TotalLeafArea,LeafWetWeight (g),AGDryWeight,Notes
V60-96.8,Control,,,15.4,
TXNM0821.10,Control,,,41.9,Two bags combined
588155.01.4,Drought,,,9.2,
C56-94.5,Drought,,,24.1,
255189.01.7,Control,,,82.1,
UT12-075.2,Drought,,,,
1149.10.,Control,,,75.2,
9025.8,Control,,,22.5,
b42-34.6,Control,,,42.1,
2214.4.3,Drought,,,10.3,
CC12.9,Control,,,71.4,
V57-96.10,Control,,,14.7,
NY1.1,Drought,,,10.5,
b40-14.10,Control,,,90.8,
V60-96.3,Drought,,,7.5,
UT12-075.6,Control,,,30.1,
9025.3,Drought,,,6,
9031.5,Drought,,,12.9,
b42-24.1,Drought,,,37.3,
9018.6,Control,,,26.6,
b42-34.2,Drought,,,25.2,
OCK1-S02.10,Control,,,64.9,
TX6704.1,Drought,,,9.4,
TX6704.6,Control,,,60,
V57-96.5,Drought,,,6,
2970.9,Control,,,30.3,
Haines2.1,Drought,,,2.1,
9018.5,Drought,,,10.7,
T52.3,Drought,,,8.6,
Vru42.10,Control,,,45,
C56-94.7,Control,,,53.2,
T48.7,Control,,,41.3,
9031.10.,Control,,,29.9,
SC2.5,Drought,,,9.3,
b42-24.7,Control,,,45.4,
2970.1,Drought,,,6.9,"bag says ""double check"" leaf ID"
T48.4,Drought,,,17.6,
Haines.1,Control,,,26.3,
ANU65.8,Control,,,54.5,
255189.01.1,Drought,,,12.3,
CC12.1,Drought,,,19.3,
2214.4.8,Control,,,35.1,
TXNM0821.4,Drought,,,16.1,
9031.11,Control,,,29,
588155.01.8,Control,,,36.7,
T52.7,Control,,,48.4,
1149.5,Drought,,,23,
SC2.7,Control,,,30.1,
b40-14.1,Drought,,,24.9,
OCK1-S02.2,Drought,,,21.5,
ANU65.2,Drought,,,20.5,
Vru42.1,Drought,,,14.4,
Haines2.7,Control,,,67.3,
NY1.6,Control,,,32.6,
T52.6,Control,9870.327082,143.8,72.2,
UT12-075.1,Drought,839.71,12.1,6.7,
255189.01.9,Control,11577.17087,156.8,87.1,
C56-94.3,Drought,3344.396835,52.4,27.3,
b40-14.6,Control,16561.11439,189.2,98.5,bag 1
V60-96.7,Control,6372.029907,84.2,41.6,
9035.7,Control,4455.560615,73,36.6,
9025.5,Drought,1135.85,16.5,8.8,
NY1.5,Drought,6346.792707,92.4,55.1,bag 1
Vru42.5,Drought,1494.83,24.3,13.2,
2214.4.9,Control,6344.15215,91.8,50.6,
Haines.7,Drought,,,3.1,
b42-24.6,Control,9474.720672,146.3,82.4,1455.26 - was in LA for some reason? Maybe misplaced
OCK1-S02.4,Drought,#DIV/0!,,,
9018.8,Control,7606.237241,136.8,70.5,
S,Control,#DIV/0!,,,
1149.8,Control,11677.98094,189.8,97.3,
T48.2,Drought,954.4,20.2,15.6,
Haines2.2,Drought,1972.75,30.9,18.6,
TXNM0821.3,Drought,1742.87,34.4,16.7,
b42-34.9,Control,5880.467708,91.9,56.8,
CC12.8,Control,9635.65283,157,78,
9031.7,Control,4233.101183,67.4,33.9,
588155.01.10,Control,1170.950827,51.2,33.5,
b42-24.3,Drought,#DIV/0!,,,
588155.01.1,Drought,2088.55,28.5,18.9,
2214.4.4,Drought,819.71,11.8,7.1,
TX6704.9,Control,3040.462219,56.1,33.5,
1149.3,Drought,2821.73776,46.9,30.6,
TXNM0821.7,Control,5499.96894,110.1,52.8,
9018.3,Drought,1318.33,38.1,26.1,
NY1.9,Control,#DIV/0!,,,
V57-96.2,Drought,636.91,8.7,4.8,
V57-96.6,Control,5436.664968,72,31.8,
V60-96.1,Drought,156.64,1.9,1.1,
b40-14.2,Drought,1198.98,14.7,21,lots of broken leaf material
9025.10.,Control,6503.337778,81.5,40.5,
C56-94.6,Control,7158.728889,111.7,53.7,
9031.4,Drought,1134.52,18.3,11.4,
ANU65.3,Drought,3642.347459,54.7,26.1,
Haines2.10,Drought,1081.65,15.7,11.9,
b42-34.1,Drought,719.19,13,14,
SC2.9,Drought,410.81,6.3,4.2,
Vru42.6,Control,10496.32272,159.3,72.7,
ANU65.9,Control,6955.47684,211.2,92.8,
T48.6,Control,5906.512218,119.6,70,
CC12.3,Drought,2253.18,34.8,20.7,
255189.01.2,Drought,1461.32,19.8,18.3,
Haines2.9,Control,9620.758579,131.5,76.8,
OCK1-S02.8,Control,14795.42114,181.8,88.4,
TX6704.3,Drought,2090.03,37.6,31.1,
9035.2,Drought,743.02,13.1,8.5,
T52.1,Drought,1019.49,14,9.2,
b40-14.9,Control,15575.09477,199.6,113.6,
Vru42.8,Control,8529.627308,130.8,59.6,
ANU65.1,Drought,2527.965,41.8,23.8,
ANU65.10,Control,10906.9343,156,74.3,
1149.2,Drought,2220.550939,36.3,28.7,
b42-34.10,Control,5679.824052,96.1,58.8,
9025.9,Control,4688.756293,56.4,28.9,
V57-96.4,Drought,1954.1,27.6,17,
255189.01.5,Drought,1988.63,28.1,20.7,
9018.4,Drought,2353.282516,46.4,26.3,
9035.8,Control,5320.96063,82,40.4,
SC2.4,Drought,1126.71,19.9,14.7,
V37-96.7,Control,#DIV/0!,,,
CC12.6,Control,12138.77466,162.1,76.9,
b42-24.5,Drought,3773.614706,66,42.3,
2214.4.1,Drought,2237.679091,22.1,14.9,
Haines2.5,Drought,3037.571576,43.3,25.5,
UT12-075.8,Control,6586.137832,94.3,38.7,
b40-14.3,Drought,3763.422765,49.4,33.1,
9018.10.,Control,8130.608302,138.4,69.5,
588155.01.9,Control,5242.114057,70.5,41.1,
V60-96.2,Drought,271.82,3.3,2.3,
9025.4,Drought,951.54,12.6,6.5,
255189.01.8,Control,8111.151311,97.3,60.5,
V37-96.5,Drought,#DIV/0!,,,
TXNM0821.2,Drought,1834.841647,36.9,23,
b42-24.10,Control,9015.243656,126.1,79.3,
TX6704.5,Drought,1793.47,30.1,24.7,
NY1.8,Control,4642.821206,68.3,42.5,
TXNM0821.9,Control,5701.947288,109.9,56.8,
T52.4,Drought,1808.980616,27.7,16.7,
Haines2.6,Control,10378.75548,157.3,100.2,
Haines2.8,Control,12881.75198,180.6,99.5,
SC2.8,Control,4765.618776,65.7,40.3,
C56-94.1,Drought,2891.736946,44.9,25.4,
C56-94.8,Control,6239.610568,93.9,45.8,
V57-96.8,Control,3741.456324,54.3,30.4,
CC12.2,Drought,1872.55,28.9,15.6,
T48.8,Control,3016.842794,55.7,25.4,
9031.2,Drought,1598.23,28.4,18.2,
588155.01.2,Drought,1082.71,13.6,8.7,
V60-96.6,Control,3941.207589,48.8,25.1,
OCK1-S02.1,Drought,3463.658053,52.9,29.6,
9031.9,Control,4108.670543,59.1,33.5,
NY1.2,Drought,1520.51,22.1,16.4,
2970.3,Control,1312.88,18.2,15.1,
2214.4.6,Control,6944.561512,90.7,53.4,
T52.10,Control,7265.738182,91.2,45.3,
1149.7,Control,11429.83323,183.6,105.9,
b42-34.5,Drought,996.78,17,17.8,
T48.1,Drought,797.84,16,10.7,
Vru42.2,Drought,1315.46,20.6,12.8,
9035.1,Drought,1090.43,19.2,15.9,
OCK1-S02.6,Control,13333.72393,180.7,86.4,
UT12-075.3,Drought,135.71,1.4,1.2,
TX6704.8,Control,7799.309781,127.2,71.8,
9025.7,Control,5462.924926,74.6,40.2,
C56-94.10,Control,7856.227448,119.1,62.4,
Haines.8,Control,3621.5214,61.9,39.2,
9018.9,Control,7502.01863,144.3,76.1,
NY1.4,Drought,1366.19,20.6,17.1,
C56-94.2,Drought,#DIV/0!,,18.1,
9031.1,Drought,419.28,6.8,6,
T52.8,Control,9182.839267,120.2,59.8,
Haines2.4,Control,9185.286655,131.7,74.7,
TX6704.2,Drought,757.7,12.2,11.1,
9025.1,Drought,750.6,10.3,6.9,
SC2.1,Control,3489.051484,53.8,31.6,
Haines.3,Drought,152.28,2.6,3.8,
588155.01.6,Control,5425.403642,66.3,40.9,
2214.4.7,Control,7454.372749,105.7,65,
TXNM0821.5,Control,5713.422256,112.5,52.9,
NY1.10,Control,7682.946288,113.8,76.6,
OCK1-S02.3,Drought,2715.63473,40.3,23.8,
588155.01.5,Drought,1430.88,18.4,14.3,
1149.1,Drought,1257.59,21.3,20.3,
CC12.4,Drought,1767.69991,29.2,20.3,
UT12-075.5,Drought,1313.64,21.1,14,
b40-14.5,Drought,2702.946494,34.4,23.8,
V37-96.9,Control,,,,
ANU65.6,Control,12760.32493,183.3,88.1,
Vru42.3,Drought,2096.875459,32.4,18.8,
T48.10,Control,4996.110979,89.2,49.5,
V60-96.4,Drought,#DIV/0!,,10.5,
2970.6,Drought,1373.66,20.7,13.5,
UT12-075.9,Control,5853.893224,81.8,35.8,
CC12.7,Control,9546.887732,132,69.8,
9018.1,Drought,1124.29,20.9,13,
V57-96.3,Drought,443.86,6.2,4.1,
T48.3,Drought,1041.42,22.4,16.7,
1149.6,Control,8710.341369,137.8,77.9,
T52.5,Drought,498.04,7.1,7.2,
255189.01.4,Drought,1176.7,15.6,10,
b42-24.8,Control,10352.95625,167,91.4,
TXNM0821.1,Drought,1193.22,25.3,15.9,
9035.3,Drought,#DIV/0!,,11,
9035.9,Control,5824.334737,95.3,47.4,
b42-34.4,Drought,#DIV/0!,,15.4,
b42-24.2,Drought,2686.21875,48,31.4,
TXNM0821.8,Drought,2165.060221,44.5,24.8,
255189.01.6,Control,#DIV/0!,,110.8,
OCK1-S02.9,Control,13219.33492,204.4,97.9,
