"","X","ID","Treatment","ID.Order","Genotype","Species","Block","Date","pd_pot","md_pot","pd_pot_als","harvest_sm","GWC_top","GWC_bottom","stem_diam","canopy_biomass","perc_canopy","dry_root_bag","bag_tare","root_biomass","perc_root","root_g","total_root_length","sys_area","surface_area","srl","srsa","exud_time","exud","exud_flow","exud_gg","exp","species_geno"
"1",17,"9018.10.","Control",10,"9018","V. acerifolia",3,"12/16",6,"7",9,NA,0.376764875,0.516893611,7.92,69.5,0.78,"26.7077",7.1611,19.5466,0.22,19.5466,3123.132129,10256.58934,951.531029,159.78,"48.68",8.17,"#REF!",0,0.01,0,"V. acerifolia_9018"
"2",18,"9018.10.","Control",10,"9018","V. acerifolia",3,"12/16",6,"7",9,NA,0.376764875,0.516893611,7.92,69.5,0.78,"26.7077",7.1611,19.5466,0.22,19.5466,10795.63918,29816.39181,4383.591702,552.3,"224.26",NA,"",NA,NA,NA,"V. acerifolia_9018"
"3",19,"9018.10.","Control",10,"9018","V. acerifolia",3,"12/16",6,"7",9,NA,0.376764875,0.516893611,7.92,69.5,0.78,"26.7077",7.1611,19.5466,0.22,19.5466,6194.22865,17918.11525,2298.483363,316.89,"117.59",NA,"",NA,NA,NA,"V. acerifolia_9018"
"4",20,"9018.10.","Control",10,"9018","V. acerifolia",3,"12/16",6,"7",9,NA,0.376764875,0.516893611,7.92,69.5,0.78,"26.7077",7.1611,19.5466,0.22,19.5466,1916.084955,4763.856439,783.834123,98.03,"40.1",NA,"",NA,NA,NA,"V. acerifolia_9018"
"5",21,"9018.1","Drought",1,"9018","V. acerifolia",4,"12/17",7,"9.1",9,NA,NA,NA,5.33,13,0.38,"28.5845",7.1611,21.4234,0.62,21.4234,2376.123554,5955.284398,1081.861743,110.91,"50.5",NA,"",NA,NA,NA,"V. acerifolia_9018"
"6",22,"9018.1","Drought",1,"9018","V. acerifolia",4,"12/17",7,"9.1",9,NA,NA,NA,5.33,13,0.38,"28.5845",7.1611,21.4234,0.62,21.4234,2214.631435,6283.210191,927.173713,103.37,"43.28",NA,"",NA,NA,NA,"V. acerifolia_9018"
"7",23,"9018.1","Drought",1,"9018","V. acerifolia",4,"12/17",7,"9.1",9,NA,NA,NA,5.33,13,0.38,"28.5845",7.1611,21.4234,0.62,21.4234,7241.265012,18891.24881,3203.646925,338.01,"149.54",NA,"",NA,NA,NA,"V. acerifolia_9018"
"8",24,"9018.2","Drought",2,"9018","V. acerifolia",5,"12/18",6.9,"11.9",NA,NA,NA,NA,5.49,5.3,0.36,"22.1036",12.7141,9.3895,0.64,9.3895,NA,NA,NA,NA,"",NA,"",NA,NA,NA,"V. acerifolia_9018"
"9",25,"9018.3","Drought",3,"9018","V. acerifolia",2,"12/15",5.4,"11.2",9.5,NA,0.250146857,0.162200442,5.92,26.1,0.64,"22.04441",7.1611,14.8834,0.36,14.8834,1330.658974,4251.987433,315.377163,89.41,"21.19",NA,"",NA,NA,NA,"V. acerifolia_9018"
"10",26,"9018.3","Drought",3,"9018","V. acerifolia",2,"12/15",5.4,"11.2",9.5,NA,0.250146857,0.162200442,5.92,26.1,0.64,"22.04441",7.1611,14.8834,0.36,14.8834,7563.650358,19644.32124,2999.104092,508.2,"201.51",NA,"",NA,NA,NA,"V. acerifolia_9018"
"11",27,"9018.3","Drought",3,"9018","V. acerifolia",2,"12/15",5.4,"11.2",9.5,NA,0.250146857,0.162200442,5.92,26.1,0.64,"22.04441",7.1611,14.8834,0.36,14.8834,8650.571238,27725.95157,2798.557011,581.22,"188.03",NA,"",NA,NA,NA,"V. acerifolia_9018"
"12",28,"9018.4","Drought",4,"9018","V. acerifolia",3,"12/16",8,"16.8",9,NA,0.143802536,0.139010599,7.26,26.3,0.56,"27.5247",7.1611,20.3636,0.44,20.3636,7761.939221,16282.24903,3992.166908,381.17,"196.04",101,"0.0289",3e-04,0.0014,NA,"V. acerifolia_9018"
"13",29,"9018.4","Drought",4,"9018","V. acerifolia",3,"12/16",8,"16.8",9,NA,0.143802536,0.139010599,7.26,26.3,0.56,"27.5247",7.1611,20.3636,0.44,20.3636,7625.860346,21763.36463,2930.636105,374.48,"143.92",101,"0.0289",3e-04,0.0014,NA,"V. acerifolia_9018"
"14",30,"9018.4","Drought",4,"9018","V. acerifolia",3,"12/16",8,"16.8",9,NA,0.143802536,0.139010599,7.26,26.3,0.56,"27.5247",7.1611,20.3636,0.44,20.3636,2720.387365,7432.689958,1022.969496,133.59,"50.24",101,"0.0289",3e-04,0.0014,NA,"V. acerifolia_9018"
"15",31,"9018.4","Drought",4,"9018","V. acerifolia",3,"12/16",8,"16.8",9,NA,0.143802536,0.139010599,7.26,26.3,0.56,"27.5247",7.1611,20.3636,0.44,20.3636,788.483666,2278.031051,226.960035,38.72,"11.15",101,"0.0289",3e-04,0.0014,NA,"V. acerifolia_9018"
"16",32,"9018.5","Drought",5,"9018","V. acerifolia",1,"12/11",8.1,"11",9.9,NA,0.193261424,0.253135835,NA,10.7,0.5,"17.9916",7.1611,10.8305,0.5,10.8305,11876.13283,26350.69913,5345.384987,1096.54,"493.55",NA,"",NA,NA,NA,"V. acerifolia_9018"
"17",33,"9018.5","Drought",5,"9018","V. acerifolia",1,"12/11",8.1,"11",9.9,NA,0.193261424,0.253135835,NA,10.7,0.5,"17.9916",7.1611,10.8305,0.5,10.8305,1394.511844,3809.979111,521.97019,128.76,"48.19",NA,"",NA,NA,NA,"V. acerifolia_9018"
"18",34,"9018.5","Drought",5,"9018","V. acerifolia",1,"12/11",8.1,"11",9.9,NA,0.193261424,0.253135835,NA,10.7,0.5,"17.9916",7.1611,10.8305,0.5,10.8305,1581.244849,4139.943126,562.203826,146,"51.91",NA,"",NA,NA,NA,"V. acerifolia_9018"
"19",35,"9018.5","Drought",5,"9018","V. acerifolia",1,"12/11",8.1,"11",9.9,NA,0.193261424,0.253135835,NA,10.7,0.5,"17.9916",7.1611,10.8305,0.5,10.8305,6644.062179,19931.07478,2437.444985,613.46,"225.05",NA,"",NA,NA,NA,"V. acerifolia_9018"
"20",36,"9018.6","Control",6,"9018","V. acerifolia",1,"12/11",6.7,"9.4",12.5,NA,0.493626235,0.545430895,6.46,26.6,0.75,"15.9434",7.1611,8.7823,0.25,8.7823,696.876721,3331.984927,71.066845,79.35,"8.09",NA,"",NA,NA,NA,"V. acerifolia_9018"
"21",37,"9018.6","Control",6,"9018","V. acerifolia",1,"12/11",6.7,"9.4",12.5,NA,0.493626235,0.545430895,6.46,26.6,0.75,"15.9434",7.1611,8.7823,0.25,8.7823,1585.972083,5897.259879,406.551667,180.59,"46.29",NA,"",NA,NA,NA,"V. acerifolia_9018"
"22",38,"9018.6","Control",6,"9018","V. acerifolia",1,"12/11",6.7,"9.4",12.5,NA,0.493626235,0.545430895,6.46,26.6,0.75,"15.9434",7.1611,8.7823,0.25,8.7823,2531.435403,7314.835325,832.057987,288.24,"94.74",NA,"",NA,NA,NA,"V. acerifolia_9018"
"23",39,"9018.6","Control",6,"9018","V. acerifolia",1,"12/11",6.7,"9.4",12.5,NA,0.493626235,0.545430895,6.46,26.6,0.75,"15.9434",7.1611,8.7823,0.25,8.7823,752.323168,4570.361849,103.748258,85.66,"11.81",NA,"",NA,NA,NA,"V. acerifolia_9018"
"24",40,"9018.6","Control",6,"9018","V. acerifolia",1,"12/11",6.7,"9.4",12.5,NA,0.493626235,0.545430895,6.46,26.6,0.75,"15.9434",7.1611,8.7823,0.25,8.7823,477.931788,2806.973564,38.221421,54.42,"4.35",NA,"",NA,NA,NA,"V. acerifolia_9018"
"25",41,"9018.6","Control",6,"9018","V. acerifolia",1,"12/11",6.7,"9.4",12.5,NA,0.493626235,0.545430895,6.46,26.6,0.75,"15.9434",7.1611,8.7823,0.25,8.7823,3617.644161,10777.02311,1130.112488,411.92,"128.68",NA,"",NA,NA,NA,"V. acerifolia_9018"
"26",42,"9018.6","Control",6,"9018","V. acerifolia",1,"12/11",6.7,"9.4",12.5,NA,0.493626235,0.545430895,6.46,26.6,0.75,"15.9434",7.1611,8.7823,0.25,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,"V. acerifolia_9018"
"27",43,"9018.7","Control",7,"9018","V. acerifolia",5,"12/18",9,"12.9",NA,NA,0.270955859,0.377866429,6.53,64.9,NA,"xx",12.7141,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,"V. acerifolia_9018"
"28",44,"9018.8","Control",8,"9018","V. acerifolia",2,"12/15",6.4,"11.1",7.8,NA,0.320866426,0.51495356,7.51,70.5,0.81,"24.08276",7.1611,16.9217,0.19,16.9217,NA,NA,NA,NA,"",NA,"",NA,NA,NA,"V. acerifolia_9018"
"29",45,"9018.9","Control",9,"9018","V. acerifolia",4,"12/17",9,"14.2",8.67,NA,0.372200999,0.38259686,6.84,76.1,0.75,"32.7419",7.1611,25.5808,0.25,25.5808,11163.1039,23389.16953,5480.772633,436.39,"214.25",NA,"",NA,NA,NA,"V. acerifolia_9018"
"30",46,"9018.9","Control",9,"9018","V. acerifolia",4,"12/17",9,"14.2",8.67,NA,0.372200999,0.38259686,6.84,76.1,0.75,"32.7419",7.1611,25.5808,0.25,25.5808,3173.35865,7644.843358,1385.750676,124.05,"54.17",NA,"",NA,NA,NA,"V. acerifolia_9018"
"31",47,"9018.9","Control",9,"9018","V. acerifolia",4,"12/17",9,"14.2",8.67,NA,0.372200999,0.38259686,6.84,76.1,0.75,"32.7419",7.1611,25.5808,0.25,25.5808,8498.085111,18397.90396,3972.405552,332.21,"155.29",NA,"",NA,NA,NA,"V. acerifolia_9018"
"32",117,"b40-14.1","Drought",101,"b40-14","V. arizonica",1,"12/11",26,"15.7",17.43,NA,0.138235515,0.117964816,NA,24.9,0.7,"17.6694",7.1611,10.5083,0.3,10.5083,NA,NA,NA,NA,"",NA,"",NA,NA,NA,"V. arizonica_b40-14"
"33",118,"b40-14.10","Control",110,"b40-14","V. arizonica",1,"12/11",7,"10.4",10.9,NA,0.292427575,0.403658779,NA,90.8,0.88,"19.7225",7.1611,12.5614,0.12,12.5614,3943.59,NA,NA,313.94,"#REF!",NA,"",NA,NA,NA,"V. arizonica_b40-14"
"34",119,"b40-14.10","Control",110,"b40-14","V. arizonica",1,"12/11",7,"10.4",10.9,NA,0.292427575,0.403658779,NA,90.8,0.88,"19.7225",7.1611,12.5614,0.12,12.5614,NA,NA,NA,NA,"",NA,"",NA,NA,NA,"V. arizonica_b40-14"
