"","ID","Species","Genotype","Treatment","species_geno","sumwu"
"1","9018.1","acerifolia","9018","Drought","acerifolia_9018",3.54119429016667
"2","9018.10.","acerifolia","9018","Control","acerifolia_9018",12.8895250684
"3","9018.2","acerifolia","9018","Drought","acerifolia_9018",0.925011143166667
"4","9018.3","acerifolia","9018","Drought","acerifolia_9018",5.08554619216667
"5","9018.4","acerifolia","9018","Drought","acerifolia_9018",4.46116829216667
"6","9018.5","acerifolia","9018","Drought","acerifolia_9018",2.7297722835
"7","9018.6","acerifolia","9018","Control","acerifolia_9018",6.2432632324
"8","9018.7","acerifolia","9018","Control","acerifolia_9018",11.6078820794
"9","9018.8","acerifolia","9018","Control","acerifolia_9018",14.2451866294
"10","9018.9","acerifolia","9018","Control","acerifolia_9018",14.2129122564
"11","NY1.1","riparia","NY1","Drought","riparia_NY1",3.9656928975
"12","NY1.10","riparia","NY1","Control","riparia_NY1",14.5938969354
"13","NY1.2","riparia","NY1","Drought","riparia_NY1",4.40300116016667
"14","NY1.3","riparia","NY1","Drought","riparia_NY1",0.968895776166666
"15","NY1.4","riparia","NY1","Drought","riparia_NY1",5.17672539416667
"16","NY1.5","riparia","NY1","Drought","riparia_NY1",4.16477274816667
"17","NY1.6","riparia","NY1","Control","riparia_NY1",9.8846128134
"18","NY1.7","riparia","NY1","Control","riparia_NY1",10.4239029714
"19","NY1.8","riparia","NY1","Control","riparia_NY1",11.4942869084
"20","NY1.9","riparia","NY1","Control","riparia_NY1",10.1728537594
"21","T48.1","mustangensis","T48","Drought","mustangensis_T48",3.2188558495
"22","T48.10","mustangensis","T48","Control","mustangensis_T48",11.6147186644
"23","T48.2","mustangensis","T48","Drought","mustangensis_T48",4.38607358416667
"24","T48.3","mustangensis","T48","Drought","mustangensis_T48",3.97844428916667
"25","T48.4","mustangensis","T48","Drought","mustangensis_T48",4.9355327295
"26","T48.5","mustangensis","T48","Drought","mustangensis_T48",1.64424257116667
"27","T48.6","mustangensis","T48","Control","mustangensis_T48",14.6244726094
"28","T48.7","mustangensis","T48","Control","mustangensis_T48",9.4105910864
"29","T48.8","mustangensis","T48","Control","mustangensis_T48",7.2251002774
"30","T48.9","mustangensis","T48","Control","mustangensis_T48",8.1596044584
"31","T52.1","aestivalis","T52","Drought","aestivalis_T52",3.1736135095
"32","T52.10","aestivalis","T52","Control","aestivalis_T52",9.1226169914
"33","T52.2","aestivalis","T52","Drought","aestivalis_T52",1.9229839825
"34","T52.3","aestivalis","T52","Drought","aestivalis_T52",2.6381302235
"35","T52.4","aestivalis","T52","Drought","aestivalis_T52",4.59070357416667
"36","T52.5","aestivalis","T52","Drought","aestivalis_T52",2.53001230216667
"37","T52.6","aestivalis","T52","Control","aestivalis_T52",15.7331810574
"38","T52.7","aestivalis","T52","Control","aestivalis_T52",10.0906072414
"39","T52.8","aestivalis","T52","Control","aestivalis_T52",11.9734930364
"40","T52.9","aestivalis","T52","Control","aestivalis_T52",8.7722089124
"41","TXNM0821.1","riparia","TXNM0821","Drought","riparia_TXNM0821",3.0873567775
"42","TXNM0821.10","riparia","TXNM0821","Control","riparia_TXNM0821",8.6685389964
"43","TXNM0821.2","riparia","TXNM0821","Drought","riparia_TXNM0821",4.79445287816667
"44","TXNM0821.3","riparia","TXNM0821","Drought","riparia_TXNM0821",3.41887349016667
"45","TXNM0821.4","riparia","TXNM0821","Drought","riparia_TXNM0821",4.2968340295
"46","TXNM0821.5","riparia","TXNM0821","Control","riparia_TXNM0821",9.8098328694
"47","TXNM0821.6","riparia","TXNM0821","Control","riparia_TXNM0821",6.5762590524
"48","TXNM0821.7","riparia","TXNM0821","Control","riparia_TXNM0821",10.8141685234
"49","TXNM0821.8","riparia","TXNM0821","Drought","riparia_TXNM0821",4.71869475416667
"50","TXNM0821.9","riparia","TXNM0821","Control","riparia_TXNM0821",9.8617567316
"51","V60-96.1","vulpina","V60-96","Drought","vulpina_V60-96",0.320456685499999
"52","V60-96.10","vulpina","V60-96","Control","vulpina_V60-96",5.3455626734
"53","V60-96.2","vulpina","V60-96","Drought","vulpina_V60-96",1.70631917416667
"54","V60-96.3","vulpina","V60-96","Drought","vulpina_V60-96",1.9059616995
"55","V60-96.4","vulpina","V60-96","Drought","vulpina_V60-96",2.70401973016667
"56","V60-96.5","vulpina","V60-96","Drought","vulpina_V60-96",0.855571263166667
"57","V60-96.6","vulpina","V60-96","Control","vulpina_V60-96",4.4566147636
"58","V60-96.7","vulpina","V60-96","Control","vulpina_V60-96",7.8041610956
"59","V60-96.8","vulpina","V60-96","Control","vulpina_V60-96",4.6493279956
"60","V60-96.9","vulpina","V60-96","Control","vulpina_V60-96",8.4673718654
"61","Vru42.1","rupestris","Vru42","Drought","rupestris_Vru42",4.4382713555
"62","Vru42.10","rupestris","Vru42","Control","rupestris_Vru42",9.6422367704
"63","Vru42.2","rupestris","Vru42","Drought","rupestris_Vru42",3.92220543216666
"64","Vru42.3","rupestris","Vru42","Drought","rupestris_Vru42",5.77199559016667
"65","Vru42.4","rupestris","Vru42","Drought","rupestris_Vru42",3.2154282725
"66","Vru42.5","rupestris","Vru42","Drought","rupestris_Vru42",4.10026857016667
"67","Vru42.6","rupestris","Vru42","Control","rupestris_Vru42",16.4269805004
"68","Vru42.7","rupestris","Vru42","Control","rupestris_Vru42",12.7759958234
"69","Vru42.8","rupestris","Vru42","Control","rupestris_Vru42",12.2875793874
"70","Vru42.9","rupestris","Vru42","Control","rupestris_Vru42",10.9457541784
"71","b40-14.1","arizonica","b40-14","Drought","arizonica_b40-14",3.9582458215
"72","b40-14.10","arizonica","b40-14","Control","arizonica_b40-14",12.7034665744
"73","b40-14.2","arizonica","b40-14","Drought","arizonica_b40-14",3.92647934016667
"74","b40-14.3","arizonica","b40-14","Drought","arizonica_b40-14",4.95130431816666
"75","b40-14.4","arizonica","b40-14","Drought","arizonica_b40-14",2.7537444295
"76","b40-14.5","arizonica","b40-14","Drought","arizonica_b40-14",3.83737070616667
"77","b40-14.6","arizonica","b40-14","Control","arizonica_b40-14",14.7117518094
"78","b40-14.7","arizonica","b40-14","Control","arizonica_b40-14",15.9864756274
"79","b40-14.8","arizonica","b40-14","Control","arizonica_b40-14",15.1364331464
"80","b40-14.9","arizonica","b40-14","Control","arizonica_b40-14",15.1956441504
"81","b42-34.1","cinerea","b42-34","Drought","cinerea_b42-34",2.4683400655
"82","b42-34.10","cinerea","b42-34","Control","cinerea_b42-34",11.0294275764
"83","b42-34.2","cinerea","b42-34","Drought","cinerea_b42-34",4.2749681995
"84","b42-34.3","cinerea","b42-34","Drought","cinerea_b42-34",2.4082084495
"85","b42-34.4","cinerea","b42-34","Drought","cinerea_b42-34",3.64529131816667
"86","b42-34.5","cinerea","b42-34","Drought","cinerea_b42-34",2.7863275295
"87","b42-34.6","cinerea","b42-34","Control","cinerea_b42-34",8.3326350974
"88","b42-34.7","cinerea","b42-34","Control","cinerea_b42-34",8.3238906674
"89","b42-34.8","cinerea","b42-34","Control","cinerea_b42-34",5.8169081706
"90","b42-34.9","cinerea","b42-34","Control","cinerea_b42-34",11.0345016714
