"","ID","Genotype","Treatment","Species","Type","value"
"1","9018.1","9018","Drought","acerifolia","canopy_biomass",13
"2","9018.1","9018","Drought","acerifolia","canopy_biomass",13
"3","9018.1","9018","Drought","acerifolia","canopy_biomass",13
"4","9018.10.","9018","Control","acerifolia","canopy_biomass",69.5
"5","9018.10.","9018","Control","acerifolia","canopy_biomass",69.5
"6","9018.10.","9018","Control","acerifolia","canopy_biomass",69.5
"7","9018.10.","9018","Control","acerifolia","canopy_biomass",69.5
"8","9018.3","9018","Drought","acerifolia","canopy_biomass",26.1
"9","9018.3","9018","Drought","acerifolia","canopy_biomass",26.1
"10","9018.3","9018","Drought","acerifolia","canopy_biomass",26.1
"11","9018.4","9018","Drought","acerifolia","canopy_biomass",26.3
"12","9018.4","9018","Drought","acerifolia","canopy_biomass",26.3
"13","9018.4","9018","Drought","acerifolia","canopy_biomass",26.3
"14","9018.4","9018","Drought","acerifolia","canopy_biomass",26.3
"15","9018.8","9018","Control","acerifolia","canopy_biomass",70.5
"16","9018.9","9018","Control","acerifolia","canopy_biomass",76.1
"17","9018.9","9018","Control","acerifolia","canopy_biomass",76.1
"18","9018.9","9018","Control","acerifolia","canopy_biomass",76.1
"19","b40-14.2","b40-14","Drought","arizonica","canopy_biomass",21
"20","b40-14.2","b40-14","Drought","arizonica","canopy_biomass",21
"21","b40-14.2","b40-14","Drought","arizonica","canopy_biomass",21
"22","b40-14.2","b40-14","Drought","arizonica","canopy_biomass",21
"23","b40-14.2","b40-14","Drought","arizonica","canopy_biomass",21
"24","b40-14.3","b40-14","Drought","arizonica","canopy_biomass",33.1
"25","b40-14.3","b40-14","Drought","arizonica","canopy_biomass",33.1
"26","b40-14.3","b40-14","Drought","arizonica","canopy_biomass",33.1
"27","b40-14.3","b40-14","Drought","arizonica","canopy_biomass",33.1
"28","b40-14.5","b40-14","Drought","arizonica","canopy_biomass",23.8
"29","b40-14.6","b40-14","Control","arizonica","canopy_biomass",98.5
"30","b40-14.7","b40-14","Control","arizonica","canopy_biomass",100.5
"31","b40-14.7","b40-14","Control","arizonica","canopy_biomass",100.5
"32","b40-14.7","b40-14","Control","arizonica","canopy_biomass",100.5
"33","b40-14.7","b40-14","Control","arizonica","canopy_biomass",100.5
"34","b40-14.9","b40-14","Control","arizonica","canopy_biomass",113.6
"35","b40-14.9","b40-14","Control","arizonica","canopy_biomass",113.6
"36","b40-14.9","b40-14","Control","arizonica","canopy_biomass",113.6
"37","b40-14.9","b40-14","Control","arizonica","canopy_biomass",113.6
"38","b42-34.1","b42-34","Drought","cinerea","canopy_biomass",14
"39","b42-34.10","b42-34","Control","cinerea","canopy_biomass",58.8
"40","b42-34.5","b42-34","Drought","cinerea","canopy_biomass",17.8
"41","b42-34.7","b42-34","Control","cinerea","canopy_biomass",51.3
"42","b42-34.9","b42-34","Control","cinerea","canopy_biomass",56.8
"43","NY1.10","NY1","Control","riparia","canopy_biomass",76.6
"44","NY1.2","NY1","Drought","riparia","canopy_biomass",16.4
"45","NY1.4","NY1","Drought","riparia","canopy_biomass",17.1
"46","NY1.5","NY1","Drought","riparia","canopy_biomass",55.1
"47","NY1.8","NY1","Control","riparia","canopy_biomass",42.5
"48","T48.1","T48","Drought","mustangensis","canopy_biomass",10.7
"49","T48.10","T48","Control","mustangensis","canopy_biomass",49.5
"50","T48.2","T48","Drought","mustangensis","canopy_biomass",15.6
"51","T48.3","T48","Drought","mustangensis","canopy_biomass",16.7
"52","T48.6","T48","Control","mustangensis","canopy_biomass",70
"53","T48.8","T48","Control","mustangensis","canopy_biomass",25.4
"54","T52.1","T52","Drought","aestivalis","canopy_biomass",9.2
"55","T52.1","T52","Drought","aestivalis","canopy_biomass",9.2
"56","T52.1","T52","Drought","aestivalis","canopy_biomass",9.2
"57","T52.10","T52","Control","aestivalis","canopy_biomass",45.3
"58","T52.10","T52","Control","aestivalis","canopy_biomass",45.3
"59","T52.10","T52","Control","aestivalis","canopy_biomass",45.3
"60","T52.4","T52","Drought","aestivalis","canopy_biomass",16.7
"61","T52.4","T52","Drought","aestivalis","canopy_biomass",16.7
"62","T52.4","T52","Drought","aestivalis","canopy_biomass",16.7
"63","T52.4","T52","Drought","aestivalis","canopy_biomass",16.7
"64","T52.5","T52","Drought","aestivalis","canopy_biomass",7.2
"65","T52.6","T52","Control","aestivalis","canopy_biomass",72.2
"66","T52.6","T52","Control","aestivalis","canopy_biomass",72.2
"67","T52.8","T52","Control","aestivalis","canopy_biomass",59.8
"68","T52.8","T52","Control","aestivalis","canopy_biomass",59.8
"69","T52.8","T52","Control","aestivalis","canopy_biomass",59.8
"70","TXNM0821.1","TXNM0821","Drought","riparia","canopy_biomass",15.9
"71","TXNM0821.2","TXNM0821","Drought","riparia","canopy_biomass",23
"72","TXNM0821.2","TXNM0821","Drought","riparia","canopy_biomass",23
"73","TXNM0821.2","TXNM0821","Drought","riparia","canopy_biomass",23
"74","TXNM0821.3","TXNM0821","Drought","riparia","canopy_biomass",16.7
"75","TXNM0821.3","TXNM0821","Drought","riparia","canopy_biomass",16.7
"76","TXNM0821.3","TXNM0821","Drought","riparia","canopy_biomass",16.7
"77","TXNM0821.3","TXNM0821","Drought","riparia","canopy_biomass",16.7
"78","TXNM0821.3","TXNM0821","Drought","riparia","canopy_biomass",16.7
"79","TXNM0821.5","TXNM0821","Control","riparia","canopy_biomass",52.9
"80","TXNM0821.5","TXNM0821","Control","riparia","canopy_biomass",52.9
"81","TXNM0821.5","TXNM0821","Control","riparia","canopy_biomass",52.9
"82","TXNM0821.5","TXNM0821","Control","riparia","canopy_biomass",52.9
"83","TXNM0821.7","TXNM0821","Control","riparia","canopy_biomass",52.8
"84","TXNM0821.8","TXNM0821","Drought","riparia","canopy_biomass",24.8
"85","TXNM0821.9","TXNM0821","Control","riparia","canopy_biomass",56.8
"86","TXNM0821.9","TXNM0821","Control","riparia","canopy_biomass",56.8
"87","TXNM0821.9","TXNM0821","Control","riparia","canopy_biomass",56.8
"88","V60-96.1","V60-96","Drought","vulpina","canopy_biomass",1.1
"89","V60-96.2","V60-96","Drought","vulpina","canopy_biomass",2.3
"90","V60-96.6","V60-96","Control","vulpina","canopy_biomass",25.1
"91","V60-96.7","V60-96","Control","vulpina","canopy_biomass",41.6
"92","V60-96.9","V60-96","Control","vulpina","canopy_biomass",46
"93","Vru42.2","Vru42","Drought","rupestris","canopy_biomass",12.8
"94","Vru42.2","Vru42","Drought","rupestris","canopy_biomass",12.8
"95","Vru42.2","Vru42","Drought","rupestris","canopy_biomass",12.8
"96","Vru42.2","Vru42","Drought","rupestris","canopy_biomass",12.8
"97","Vru42.2","Vru42","Drought","rupestris","canopy_biomass",12.8
"98","Vru42.3","Vru42","Drought","rupestris","canopy_biomass",18.8
"99","Vru42.5","Vru42","Drought","rupestris","canopy_biomass",13.2
"100","Vru42.6","Vru42","Control","rupestris","canopy_biomass",13.2
"101","Vru42.6","Vru42","Control","rupestris","canopy_biomass",13.2
"102","Vru42.6","Vru42","Control","rupestris","canopy_biomass",72.7
"103","Vru42.6","Vru42","Control","rupestris","canopy_biomass",13.2
"104","Vru42.8","Vru42","Control","rupestris","canopy_biomass",59.6
"105","Vru42.9","Vru42","Control","rupestris","canopy_biomass",53.8
"106","9018.1","9018","Drought","acerifolia","root_biomass",21.4234
"107","9018.1","9018","Drought","acerifolia","root_biomass",21.4234
"108","9018.1","9018","Drought","acerifolia","root_biomass",21.4234
"109","9018.10.","9018","Control","acerifolia","root_biomass",19.5466
"110","9018.10.","9018","Control","acerifolia","root_biomass",19.5466
"111","9018.10.","9018","Control","acerifolia","root_biomass",19.5466
"112","9018.10.","9018","Control","acerifolia","root_biomass",19.5466
"113","9018.3","9018","Drought","acerifolia","root_biomass",14.8834
"114","9018.3","9018","Drought","acerifolia","root_biomass",14.8834
"115","9018.3","9018","Drought","acerifolia","root_biomass",14.8834
"116","9018.4","9018","Drought","acerifolia","root_biomass",20.3636
"117","9018.4","9018","Drought","acerifolia","root_biomass",20.3636
"118","9018.4","9018","Drought","acerifolia","root_biomass",20.3636
"119","9018.4","9018","Drought","acerifolia","root_biomass",20.3636
"120","9018.8","9018","Control","acerifolia","root_biomass",16.9217
"121","9018.9","9018","Control","acerifolia","root_biomass",25.5808
"122","9018.9","9018","Control","acerifolia","root_biomass",25.5808
"123","9018.9","9018","Control","acerifolia","root_biomass",25.5808
"124","b40-14.2","b40-14","Drought","arizonica","root_biomass",6.2407
"125","b40-14.2","b40-14","Drought","arizonica","root_biomass",6.2407
"126","b40-14.2","b40-14","Drought","arizonica","root_biomass",6.2407
"127","b40-14.2","b40-14","Drought","arizonica","root_biomass",6.2407
"128","b40-14.2","b40-14","Drought","arizonica","root_biomass",6.2407
"129","b40-14.3","b40-14","Drought","arizonica","root_biomass",6.8924
"130","b40-14.3","b40-14","Drought","arizonica","root_biomass",6.8924
"131","b40-14.3","b40-14","Drought","arizonica","root_biomass",6.8924
"132","b40-14.3","b40-14","Drought","arizonica","root_biomass",6.8924
"133","b40-14.5","b40-14","Drought","arizonica","root_biomass",5.2912
"134","b40-14.6","b40-14","Control","arizonica","root_biomass",9.4463
"135","b40-14.7","b40-14","Control","arizonica","root_biomass",10.0306
"136","b40-14.7","b40-14","Control","arizonica","root_biomass",10.0306
"137","b40-14.7","b40-14","Control","arizonica","root_biomass",10.0306
"138","b40-14.7","b40-14","Control","arizonica","root_biomass",10.0306
"139","b40-14.9","b40-14","Control","arizonica","root_biomass",11.3864
"140","b40-14.9","b40-14","Control","arizonica","root_biomass",11.3864
"141","b40-14.9","b40-14","Control","arizonica","root_biomass",11.3864
"142","b40-14.9","b40-14","Control","arizonica","root_biomass",11.3864
"143","b42-34.1","b42-34","Drought","cinerea","root_biomass",4.6441
"144","b42-34.10","b42-34","Control","cinerea","root_biomass",5.8358
"145","b42-34.5","b42-34","Drought","cinerea","root_biomass",9.076
"146","b42-34.7","b42-34","Control","cinerea","root_biomass",6.4996
"147","b42-34.9","b42-34","Control","cinerea","root_biomass",6.5107
