"","ID","Genotype","Treatment","Species","TotalLeafArea","canopy_biomass","root_biomass"
"1","9018.1","9018","Drought","acerifolia",1124.29,13,21.4234
"2","9018.1","9018","Drought","acerifolia",1124.29,13,21.4234
"3","9018.1","9018","Drought","acerifolia",1124.29,13,21.4234
"4","9018.10.","9018","Control","acerifolia",8130.608302,69.5,19.5466
"5","9018.10.","9018","Control","acerifolia",8130.608302,69.5,19.5466
"6","9018.10.","9018","Control","acerifolia",8130.608302,69.5,19.5466
"7","9018.10.","9018","Control","acerifolia",8130.608302,69.5,19.5466
"8","9018.2","9018","Drought",NA,NA,5.3,9.3895
"9","9018.3","9018","Drought","acerifolia",1318.33,26.1,14.8834
"10","9018.3","9018","Drought","acerifolia",1318.33,26.1,14.8834
"11","9018.3","9018","Drought","acerifolia",1318.33,26.1,14.8834
"12","9018.4","9018","Drought","acerifolia",2353.282516,26.3,20.3636
"13","9018.4","9018","Drought","acerifolia",2353.282516,26.3,20.3636
"14","9018.4","9018","Drought","acerifolia",2353.282516,26.3,20.3636
"15","9018.4","9018","Drought","acerifolia",2353.282516,26.3,20.3636
"16","9018.5","9018","Drought",NA,NA,10.7,10.8305
"17","9018.5","9018","Drought",NA,NA,10.7,10.8305
"18","9018.5","9018","Drought",NA,NA,10.7,10.8305
"19","9018.5","9018","Drought",NA,NA,10.7,10.8305
"20","9018.6","9018","Control",NA,NA,26.6,8.7823
"21","9018.6","9018","Control",NA,NA,26.6,8.7823
"22","9018.6","9018","Control",NA,NA,26.6,8.7823
"23","9018.6","9018","Control",NA,NA,26.6,8.7823
"24","9018.6","9018","Control",NA,NA,26.6,8.7823
"25","9018.6","9018","Control",NA,NA,26.6,8.7823
"26","9018.6","9018","Control",NA,NA,26.6,8.7823
"27","9018.7","9018","Control",NA,NA,64.9,NA
"28","9018.8","9018","Control","acerifolia",7606.237241,70.5,16.9217
"29","9018.9","9018","Control","acerifolia",7502.01863,76.1,25.5808
"30","9018.9","9018","Control","acerifolia",7502.01863,76.1,25.5808
"31","9018.9","9018","Control","acerifolia",7502.01863,76.1,25.5808
"32","b40-14.1","b40-14","Drought",NA,NA,24.9,10.5083
"33","b40-14.10","b40-14","Control",NA,NA,90.8,12.5614
"34","b40-14.10","b40-14","Control",NA,NA,90.8,12.5614
"35","b40-14.2","b40-14","Drought","arizonica",1198.98,21,6.2407
"36","b40-14.2","b40-14","Drought","arizonica",1198.98,21,6.2407
"37","b40-14.2","b40-14","Drought","arizonica",1198.98,21,6.2407
"38","b40-14.2","b40-14","Drought","arizonica",1198.98,21,6.2407
"39","b40-14.2","b40-14","Drought","arizonica",1198.98,21,6.2407
"40","b40-14.3","b40-14","Drought","arizonica",3763.422765,33.1,6.8924
"41","b40-14.3","b40-14","Drought","arizonica",3763.422765,33.1,6.8924
"42","b40-14.3","b40-14","Drought","arizonica",3763.422765,33.1,6.8924
"43","b40-14.3","b40-14","Drought","arizonica",3763.422765,33.1,6.8924
"44","b40-14.4","b40-14","Drought",NA,NA,16,7.2299
"45","b40-14.5","b40-14","Drought","arizonica",2702.946494,23.8,5.2912
"46","b40-14.6","b40-14","Control","arizonica",16561.11439,98.5,9.4463
"47","b40-14.7","b40-14","Control","arizonica",15310.79234,100.5,10.0306
"48","b40-14.7","b40-14","Control","arizonica",15310.79234,100.5,10.0306
"49","b40-14.7","b40-14","Control","arizonica",15310.79234,100.5,10.0306
"50","b40-14.7","b40-14","Control","arizonica",15310.79234,100.5,10.0306
"51","b40-14.8","b40-14","Control",NA,NA,110.2,16.2299
"52","b40-14.8","b40-14","Control",NA,NA,110.2,16.2299
"53","b40-14.8","b40-14","Control",NA,NA,110.2,16.2299
"54","b40-14.9","b40-14","Control","arizonica",15575.09477,113.6,11.3864
"55","b40-14.9","b40-14","Control","arizonica",15575.09477,113.6,11.3864
"56","b40-14.9","b40-14","Control","arizonica",15575.09477,113.6,11.3864
"57","b40-14.9","b40-14","Control","arizonica",15575.09477,113.6,11.3864
