"","Code_Date","ID","Date","Treatment","species_geno","Genotype","gsw_porometer"
"1","9018.1_10.27","9018.1","10/26-27","Drought","9018","9018",0.532176666666667
"2","9018.1_11.06","9018.1","11/06","Drought","9018","9018",0.1711625
"3","9018.1_11.11","9018.1","11/11","Drought","9018","9018",0.1908995
"4","9018.1_11.17","9018.1","11/16-17","Drought","9018","9018",0.0847655
"5","9018.1_11.20","9018.1","11/02-03","Drought","9018","9018",0.0160705
"6","9018.1_11.24","9018.1","11/23-24","Drought","9018","9018",0.1704195
"7","9018.1_11.30","9018.1","11/02-03","Drought","9018","9018",0.0055285
"8","9018.1_12.02","9018.1","12/02","Drought","9018","9018",0.014831
"9","9018.10_10.27","9018.10.","10/26-27","Control","9018","9018",0.548548
"10","9018.10_11.06","9018.10.","11/06","Control","9018","9018",0.4035655
"11","9018.10_11.11","9018.10.","11/11","Control","9018","9018",0.2384575
"12","9018.10_11.16","9018.10.","11/16-17","Control","9018","9018",0.418025
"13","9018.10_11.23","9018.10.","11/23-24","Control","9018","9018",0.157207
"14","9018.10_11.30","9018.10.","11/02-03","Control","9018","9018",0.195755
"15","9018.2_10.27","9018.2","10/26-27","Drought","9018","9018",0.150656
"16","9018.2_11.06","9018.2","11/06","Drought","9018","9018",0.0375545
"17","9018.2_11.11","9018.2","11/11","Drought","9018","9018",0.032369
"18","9018.2_11.17","9018.2","11/16-17","Drought","9018","9018",0.0350055
"19","9018.2_11.24","9018.2","11/23-24","Drought","9018","9018",0.030693
"20","9018.2_11.30","9018.2","11/02-03","Drought","9018","9018",0.015929
"21","9018.2_12.02","9018.2","12/02","Drought","9018","9018",0.0112385
"22","9018.3_10.26","9018.3","10/26-27","Drought","9018","9018",0.314804333333333
"23","9018.3_11.06","9018.3","11/06","Drought","9018","9018",0.093437
"24","9018.3_11.11","9018.3","11/11","Drought","9018","9018",0.1105105
"25","9018.3_11.16","9018.3","11/16-17","Drought","9018","9018",0.025651
"26","9018.3_11.20","9018.3","11/02-03","Drought","9018","9018",0.039017
"27","9018.3_11.23","9018.3","11/23-24","Drought","9018","9018",0.078814
"28","9018.3_11.30","9018.3","11/02-03","Drought","9018","9018",0.005101
"29","9018.4_10.27","9018.4","10/26-27","Drought","9018","9018",0.228753
"30","9018.4_11.06","9018.4","11/06","Drought","9018","9018",0.113349
"31","9018.4_11.11","9018.4","11/11","Drought","9018","9018",0.058564
"32","9018.4_11.16","9018.4","11/16-17","Drought","9018","9018",0.014828
"33","9018.4_11.20","9018.4","11/02-03","Drought","9018","9018",0.0110305
"34","9018.4_11.23","9018.4","11/23-24","Drought","9018","9018",0.008478
"35","9018.4_11.30","9018.4","11/02-03","Drought","9018","9018",0.002391
"36","9018.5_10.26","9018.5","10/26-27","Drought","9018","9018",0.2285335
"37","9018.5_11.06","9018.5","11/06","Drought","9018","9018",0.1477795
"38","9018.5_11.11","9018.5","11/11","Drought","9018","9018",0.1432045
"39","9018.5_11.16","9018.5","11/16-17","Drought","9018","9018",0.069312
