"","X.1","X","Date","Code_Date","Genotype","rep","A","Ci","CO2_s","gsw_6800","Pa","Qin","RHcham","Tleaf","X6800_licor_id","ID","Treatment","Time","Rep","species_geno","WUE"
"1",1,10,"10/26-29","b42-34.1_10.26","b42-34","_1",14.47430346,209.1363886,381.5743226,0.144282664,101.8815484,1300.002258,70.28085512,35.61518065,"68C-812148|68H-982138","b42-34.1","Drought","15:02:27",1,"b42-34",100.319075478118
"2",2,12,"10/26-29","9031.7_10.26","9031","_7",11.85019825,261.0636439,381.9496774,0.198454081,101.9515484,1299.969032,22.56383845,35.1283,"68C-811897|68H-711887","9031.7","Control","15:06:38",1,"9031",59.7125450395752
"3",3,13,"10/26-29","TX6704.9_10.26","TX6704","_9",18.56976391,265.0879484,375.5003333,0.307419123,101.8906,1299.971,68.33359444,35.44526,"68C-812148|68H-982138","TX6704.9","Control","15:07:25",1,"TX6704",60.4053636246955
"4",4,14,"10/26-29","Vru42.5_10.26","Vru42","_5",8.932406874,268.6532579,385.9897333,0.157377589,101.9561,1300.007333,20.08328866,35.55454333,"68C-811897|68H-711887","Vru42.5","Drought","15:08:25",1,"Vru42",56.7578073266836
"5",5,15,"10/26-29","NY1.5_10.26","NY1","_5",13.05548419,268.9498279,379.9089677,0.242757314,101.9624839,1299.978387,25.20327142,35.08125484,"68C-811897|68H-711887","NY1.5","Drought","15:10:06",1,"NY1",53.7799828762317
"6",6,16,"10/26-29","SC2.9_10.26","SC2","_9",13.5414022,276.1828605,381.8157097,0.234390732,101.8890323,1299.958387,67.33356392,35.57912903,"68C-812148|68H-982138","SC2.9","Control","15:10:32",1,"SC2",57.7727714933712
"7",7,20,"10/26-29","Vru42.6_10.26","Vru42","_6",15.14080079,253.5534104,380.3517097,0.211030134,101.8749355,1300.002581,71.54202313,35.73300968,"68C-812148|68H-982138","Vru42.6","Control","15:15:36",1,"Vru42",71.7471031412035
"8",8,21,"10/26-29","b42-34.9_10.26","b42-34","_9",11.44337124,274.2424079,382.1365806,0.221073419,101.9390968,1299.983548,23.62778326,34.99361935,"68C-811897|68H-711887","b42-34.9","Control","15:17:14",1,"b42-34",51.7627641159338
"9",9,22,"10/26-29","9035.7_10.26","9035","_7",7.747861711,273.6921901,387.7723871,0.140873812,101.9343871,1299.977419,18.20390864,35.01074194,"68C-811897|68H-711887","9035.7","Control","15:19:53",1,"9035",54.9985948488425
"10",10,23,"10/26-29","TXNM0821.7_10.26","TXNM0821","_7",4.43502202,235.8919263,394.1994516,0.048470107,101.862,1300.002581,64.92051011,36.30451935,"68C-812148|68H-982138","TXNM0821.7","Control","15:21:21",1,"TXNM0821",91.5001491537867
"11",11,24,"10/26-29","TXNM0821.3_10.26","TXNM0821","_3",8.000274418,252.6237546,387.715,0.118904788,101.9296129,1299.989677,17.01667178,36.0329129,"68C-811897|68H-711887","TXNM0821.3","Drought","15:22:00",1,"TXNM0821",67.2830299987583
"12",12,25,"10/26-29","9018.3_10.26","9018","_3",12.63007746,268.3058733,383.2098,0.197705476,101.8546333,1299.988667,69.42163652,36.18862333,"68C-812148|68H-982138","9018.3","Drought","15:23:02",1,"9018",63.8832960802765
"13",13,26,"10/26-29","V60-96.7_10.26","V60-96","_7",4.445181968,269.4357317,392.7085667,0.076394403,101.9294667,1299.971333,13.54400606,36.95768667,"68C-811897|68H-711887","V60-96.7","Control","15:24:01",1,"V60-96",58.1872728032183
"14",14,29,"10/26-29","T48.6_10.26","T48","_6",23.65671406,281.1556735,369.0129355,0.503225128,101.861871,1300.008387,74.14930379,35.52104194,"68C-812148|68H-982138","T48.6","Control","15:28:44",1,"T48",47.0102002934957
"15",15,30,"10/26-29","b40-14.6_10.26","b40-14","_6",11.47704983,264.7324665,382.122871,0.203187918,101.9437419,1299.998387,22.80847812,36.36830645,"68C-811897|68H-711887","b40-14.6","Control","15:29:37",1,"b40-14",56.4849029556964
"16",16,31,"10/26-29","NY1.9_10.26","NY1","_9",12.43937015,211.5092774,383.9983,0.124243878,101.861,1299.992667,66.28724876,35.97168333,"68C-812148|68H-982138","NY1.9","Control","15:30:43",1,"NY1",100.120588235341
"17",17,33,"10/26-29","T48.2_10.26","T48","_2",17.36413676,264.3439422,373.7972,0.325970256,101.934,1300.027333,28.21164403,35.11359333,"68C-811897|68H-711887","T48.2","Drought","15:33:00",1,"T48",53.269083422139
"18",18,43,"10/26-29","V60-96.1_10.26","V60-96","_1",9.412470388,185.2547235,387.8310323,0.079637874,101.8583548,1299.992581,60.25302237,36.58843871,"68C-812148|68H-982138","V60-96.1","Drought","15:45:06",1,"V60-96",118.19087973142
