Species,Treatment,Replicate,Number of Slices/Stack,Average air_space area (pixel),Average mesophyll_S (pixel),Average msophyll_P (pixel),Thickness per slice (um=micron),1 pixel=0.65 (um=micron),air_space area (um=micron)*thickness,air_space volume adjusted for 500 slices,mesophyll_S area (um=micron)*thickness,mesophyll_S volume adjusted for 500 slices,mesophyll_P area (um=micron)*thickness,mesophyll_P volume adjusted for 500 slices,Mesophyll (S+P) volume,mesophyll volume (S+P+airspace),Porosity,Mesophyll_S V/Total mesophyll V,Mesophyll_P V/Total mesophyll V,Mesophyll_SV/Mesophyll_PV
TXNM0821,C,1,275,111488.535,80305.611,66886.378,0.65,0.65,47103.90585,85643.46517,33929.12061,61689.3102,28259.49478,51380.8996,113070.2098,198713.675,0.4309892874,0.3104432053,0.2585675073,1.200627289
TXNM0821,C,2,275,225849.8945,125083.4364,124804.2727,0.65,0.65,95421.58045,173493.7826,52847.75186,96086.82157,52729.80523,95872.37314,191959.1947,365452.9773,0.4747362681,0.2629252668,0.2623384651,1.002236812
TXNM0821,C,3,275,174969.8327,101792.3891,92697.68727,0.65,0.65,73924.75433,134408.6442,43007.28439,78195.06253,39164.77287,71208.67795,149403.7405,283812.3847,0.473582731,0.2755167383,0.2509005307,1.098111421
TXNM0821,C,4,275,129832.8655,75266.96364,75060.65455,0.65,0.65,54854.38565,99735.24664,31800.29214,57818.71298,31713.12655,57660.23008,115478.9431,215214.1897,0.4634231915,0.2686566023,0.2679202062,1.002748565
TXNM0821,D,1,275,161270.9818,82072.79636,95938.17455,0.65,0.65,68136.98982,123885.436,34675.75646,63046.82993,40533.87875,73697.96136,136744.7913,260630.2273,0.4753302689,0.2419014501,0.282768281,0.8554759016
TXNM0821,D,2,275,203771.1927,91561.04,139526.3818,0.65,0.65,86093.32893,156533.3253,38684.5394,70335.52618,58949.89632,107181.6297,177517.1559,334050.4812,0.4685918271,0.2105535844,0.3208545885,0.6562274375
TXNM0821,D,3,275,136157.5782,69990.16,113904.1309,0.65,0.65,57526.57678,104593.776,29570.8426,53765.16836,48124.49531,87499.08238,141264.2507,245858.0267,0.4254234745,0.2186838033,0.3558927221,0.614465511
TXNM0821,D,4,275,149183.8873,67961.79273,85191.13455,0.65,0.65,63030.19237,114600.3498,28713.85743,52207.0135,35993.25435,65442.28063,117649.2941,232249.6439,0.4934360623,0.2247883468,0.2817755908,0.7977566338
Vru42,C,1,275,106515.84,124003.9236,95982.06182,0.65,0.65,45002.9424,81823.53164,52391.65774,95257.55952,40552.42112,73731.67476,168989.2343,250812.7659,0.3262335206,0.3797954987,0.2939709807,1.291948946
Vru42,C,2,275,123740.5673,142862.72,117328.6909,0.65,0.65,52280.38967,95055.25395,60359.4992,109744.544,49571.37191,90129.76711,199874.3111,294929.5651,0.3222981525,0.3721042479,0.3055975995,1.217628177
Vru42,C,3,275,129689.1091,139758.9673,124860.36,0.65,0.65,54793.64859,99624.81562,59048.16367,107360.2976,52753.5021,95915.45836,203275.756,302900.5716,0.3289026993,0.354440723,0.3166565777,1.119322155
Vru42,C,4,275,117653.7782,137953.7309,134905.3418,0.65,0.65,49708.72128,90379.49324,58285.45131,105973.5478,56997.50692,103631.8308,209605.3786,299984.8718,0.3012801702,0.3532629735,0.3454568563,1.022596504
Vru42,D,1,275,92599.65818,123180.3564,144239.6618,0.65,0.65,39123.35558,71133.37379,52043.70056,94624.91012,60941.25712,110802.2857,205427.1958,276560.5696,0.2572072147,0.3421489559,0.4006438295,0.8539978173
Vru42,D,2,275,102529.52,121670.0182,118267.7055,0.65,0.65,43318.7222,78761.31309,51405.58268,93464.69579,49968.10555,90851.10101,184315.7968,263077.1099,0.2993848957,0.3552749071,0.3453401972,1.028767893
Vru42,D,3,275,101947.4727,103162.1891,94225.82909,0.65,0.65,43072.80723,78314.19496,43586.02489,79247.31798,39810.41279,72382.56871,151629.8867,229944.0817,0.3405793026,0.3446373458,0.3147833516,1.094839813
Vru42,D,4,275,100889.88,105759.0436,105007.8727,0.65,0.65,42625.9743,77501.77145,44683.19594,81242.17443,44365.82623,80665.1386,161907.313,239409.0845,0.323721097,0.3393445767,0.3369343263,1.007153472
V60_96,C,1,275,60085.64364,40305.98182,65674.11636,0.65,0.65,25386.18444,46156.69898,17029.27732,30962.3224,27747.31416,50449.66212,81411.98451,127568.6835,0.3618184159,0.2427109973,0.3954705868,0.6137270518
V60_96,C,2,275,122352.5164,72315.49818,96859.60364,0.65,0.65,51693.93816,93988.97848,30553.29798,55551.45088,40923.18254,74405.78643,129957.2373,223946.2158,0.419694426,0.2480571091,0.332248465,0.7466012194
V60_96,C,3,275,76688.46909,51659.62545,67683.20364,0.65,0.65,32400.87819,58910.68762,21826.19175,39683.98501,28596.15354,51993.00643,91676.99144,150587.6791,0.39120523,0.2635274364,0.3452673337,0.7632562095
V60_96,C,4,275,85340.66545,70305.30545,85030.69455,0.65,0.65,36056.43115,65557.14755,29703.99155,54007.25737,35925.46845,65319.03354,119326.2909,184883.4385,0.3545863713,0.2921151717,0.353298457,0.8268226648
V60_96,D,1,500,83708.066,66969.23,108869.752,0.65,0.65,35366.65789,35366.65789,28294.49968,28294.49968,45997.47022,45997.47022,74291.9699,109658.6278,0.3225159625,0.2580234702,0.4194605673,0.6151316483
V60_96,D,2,500,88993.12727,75133.83273,108717.0291,0.65,0.65,37599.59627,37599.59627,31744.04433,31744.04433,45932.94479,45932.94479,77676.98912,115276.5854,0.3261685462,0.2753728714,0.3984585823,0.691095345
V60_96,D,3,500,128900.3,87647.528,147554.696,0.65,0.65,54460.37675,54460.37675,37031.08058,37031.08058,62341.85906,62341.85906,99372.93964,153833.3164,0.3540219897,0.2407221105,0.4052558998,0.5940002614
V60_96,D,4,500,128900.3,86585.478,130555.16,0.65,0.65,53971.71325,53971.71325,36582.36446,36582.36446,55159.5551,55159.5551,91741.91956,145713.6328,0.3703957702,0.2510565673,0.3785476625,0.663209926
9018,C,1,500,125401.838,101088.062,68563.12,0.65,0.65,52982.27656,52982.27656,42709.7062,42709.7062,28967.9182,28967.9182,71677.6244,124659.901,0.4250145889,0.3426098198,0.2323755913,1.47437955
9018,C,2,500,176340.688,148735.822,121112.34,0.65,0.65,74503.94068,74503.94068,62840.8848,62840.8848,51169.96365,51169.96365,114010.8484,188514.7891,0.3952153623,0.3333472407,0.271437397,1.228081482
9018,C,3,500,202753.212,188246.792,126264.88,0.65,0.65,85663.23207,85663.23207,79534.26962,79534.26962,53346.9118,53346.9118,132881.1814,218544.4135,0.3919717311,0.3639272601,0.2441010088,1.490887981
9018,D,1,500,168749.08,105739.804,122202.39,0.65,0.65,71296.4863,71296.4863,44675.06719,44675.06719,51630.50978,51630.50978,96305.57697,167602.0633,0.4253914595,0.2665543987,0.3080541419,0.8652842551
9018,D,2,500,209948.334,110889.55,156930.674,0.65,0.65,88703.17112,88703.17112,46850.83488,46850.83488,66303.20977,66303.20977,113154.0446,201857.2158,0.4394352255,0.2320988858,0.3284658887,0.706614884
9018,D,3,500,182076.624,128509.388,138805.542,0.65,0.65,76927.37364,76927.37364,54295.21643,54295.21643,58645.3415,58645.3415,112940.5579,189867.9316,0.4051625412,0.2859630691,0.3088743897,0.9258231779
