"","X","ID","Genotype","Treatment","Date","LWP","SWP","PD","LWP.area","SWP.area","PD.area","species_geno"
"1",226,"9018.5","9018","Drought","12/01-03","11,100",NA,8.3,25.72770833,NA,NA,"9018"
"2",227,"9018.6","9018","Control","12/01-03","13,800",NA,9,90.75826389,NA,NA,"9018"
"3",229,"9031.11","9031","Control","12/01-03","14,000",NA,10.2,30.74479167,NA,NA,"9031"
"4",230,"b40-14.1","b40-14","Drought","12/01-03","12,000",NA,8.5,22.68951389,NA,NA,"b40-14"
"5",231,"b40-14.10","b40-14","Control","12/01-03","10,600",NA,8.3,19.46965278,NA,NA,"b40-14"
"6",232,"b42-34.2","b42-34","Drought","12/01-03","14,900",NA,11,36.16215278,NA,NA,"b42-34"
"7",233,"b42-34.6","b42-34","Control","12/01-03","14,900",NA,11.5,46.99569444,NA,NA,"b42-34"
"8",234,"SC2.5","SC2","Drought","12/01-03","14,100",NA,7.8,45.56041667,NA,NA,"SC2"
"9",235,"SC2.7","SC2","Control","12/01-03","11,900",NA,7.8,114.1809028,NA,NA,"SC2"
"10",236,"T48.4","T48","Drought","12/01-03","10,500",NA,8.5,54.57826389,NA,NA,"T48"
"11",237,"T48.7","T48","Control","12/01-03","9,700",NA,8.5,67.65590278,NA,NA,"T48"
"12",238,"T52.3","T52","Drought","12/01-03","13,500",NA,10.1,46.91826389,NA,NA,"T52"
"13",239,"T52.7","T52","Control","12/01-03","10,700",NA,8,59.80159722,NA,NA,"T52"
"14",240,"TX6704.1","TX6704","Drought","12/01-03","13,600",NA,9.6,46.72256944,NA,NA,"TX6704"
"15",241,"TX6704.6","TX6704","Control","12/01-03","13,200",NA,10.8,38.91840278,NA,NA,"TX6704"
"16",242,"TXNM0821.10","TXNM0821","Control","12/01-03","12,300",NA,6.7,108.2430556,NA,NA,"TXNM0821"
"17",243,"TXNM0821.4","TXNM0821","Drought","12/01-03","9,700",NA,5.4,88.56618056,NA,NA,"TXNM0821"
"18",244,"V60-96.3","V60-96","Drought","12/01-03","10,700",NA,8.9,28.48513889,NA,NA,"V60-96"
"19",245,"V60-96.8","V60-96","Control","12/01-03","13,100",NA,10,82.92013889,NA,NA,"V60-96"
"20",246,"9018.3","9018","Drought","12/01-03","10,500",NA,7.2,52.70770833,NA,NA,"9018"
"21",247,"9031.4","9031","Drought","12/01-03","14,000",NA,8.4,39.79895833,NA,NA,"9031"
"22",248,"9035.7","9035","Control","12/01-03","9,500",NA,7,202.1852083,NA,NA,"9035"
"23",249,"b40-14.6","b40-14","Control","12/01-03","11,500",NA,7.3,25.11229167,NA,NA,"b40-14"
"24",250,"b42-34.1","b42-34","Drought","12/01-03","14,500",NA,10,44.31763889,NA,NA,"b42-34"
"25",251,"b42-34.9","b42-34","Control","12/01-03","11,000",NA,8.4,45.14291667,NA,NA,"b42-34"
"26",252,"NY1.5","NY1","Drought","12/01-03","13,500",NA,6.8,44.74347222,NA,NA,"NY1"
