"","X","ID","Genotype","Treatment","Date","LWP","SWP","PD","LWP.area","SWP.area","PD.area","species_geno"
"1",324,"9018.5","9018","Drought","12/11-18","11,300",11,"8,10",NA,44.59826389,44.51444444,"9018"
"2",325,"9018.6","9018","Control","12/11-18","7,000",9.4,"6,70",NA,40.23388889,36.60055556,"9018"
"3",326,"9031.11","9031","Control","12/11-18","13,400",11.2,"7,30",NA,45.31569444,63.40916667,"9031"
"4",327,"9031.5","9031","Drought","12/11-18","13,900",13.4,"9,90",NA,64.12090278,48.81916667,"9031"
"5",328,"b40-14.10","b40-14","Control","12/11-18","10,800",10.4,"7,00",35.25944444,NA,23.37520833,"b40-14"
"6",329,"b42-34.6","b42-34","Control","12/11-18","13,900",11.5,"5,80",30.39694444,NA,33.01541667,"b42-34"
"7",330,"NY1.1","NY1","Drought","12/11-18","11,600",12,"7,10",33.53409722,NA,61.74125,"NY1"
"8",331,"NY1.6","NY1","Control","12/11-18","10,700",11.6,NA,93.96083333,NA,99.88951389,"NY1"
"9",332,"SC2.5","SC2","Drought","12/11-18","11,000",11,"6,60",NA,48.63402778,48.46048611,"SC2"
"10",333,"SC2.7","SC2","Control","12/11-18","7,800",9.6,"5,60",123.0169444,NA,101.3915278,"SC2"
"11",334,"T48.4","T48","Drought","12/11-18","11,900",11.9,"7,00",NA,57.34263889,65.72638889,"T48"
"12",335,"T48.7","T48","Control","12/11-18","9,900",9.2,"4,80",66.94722222,NA,102.85125,"T48"
"13",336,"T52.3","T52","Drought","12/11-18","13,900",12.9,"10,40",NA,44.03166667,43.93673611,"T52"
"14",337,"T52.7","T52","Control","12/11-18","11,400",8.5,"3,90",67.46395833,NA,63.51458333,"T52"
"15",338,"TX6704.6","TX6704","Control","12/11-18","10,900",9.9,"4,90",NA,41.38715278,47.91965278,"TX6704"
"16",339,"TXNM0821.10","TXNM0821","Control","12/11-18","10,200",7.3,"4,90",122.4475,NA,97.70715278,"TXNM0821"
"17",340,"TXNM0821.4","TXNM0821","Drought","12/11-18","9,300",9.9,"4,10",NA,58.55208333,76.89895833,"TXNM0821"
"18",341,"V60-96.3","V60-96","Drought","12/11-18","13,300",13.2,"6,40",NA,21.20104167,64.24951389,"V60-96"
"19",342,"V60-96.8","V60-96","Control","12/11-18","11,400",10,"4,80",NA,60.32111111,59.99104167,"V60-96"
"20",344,"Vru42.10","Vru42","Control","12/11-18","12,900",12,"6,80",26.3525,NA,20.43520833,"Vru42"
"21",353,"9018.3","9018","Drought","12/11-18","14,500",13.2,"8,30",42.22166667,NA,50.17895833,"9018"
"22",354,"9018.8","9018","Control","12/11-18","11,500",9.6,"6,40",59.34645833,60.30756944,51.67430556,"9018"
"23",355,"9031.7","9031","Control","12/11-18","12,600",10.2,"9,20",41.1775,56.07138889,47.13166667,"9031"
"24",356,"9035.2","9035","Drought","12/11-18","10,500",10.7,"6,80",56.72590278,52.48125,65.06125,"9035"
"25",357,"9035.7","9035","Control","12/11-18","9,000",9,"5,30",203.6463194,NA,235.8797222,"9035"
"26",358,"b40-14.6","b40-14","Control","12/11-18","13,000",13.9,"6,20",32.210625,51.10486111,32.11944444,"b40-14"
"27",360,"b42-34.9","b42-34","Control","12/11-18","12,600",12.4,"8,50",61.11465278,37.85194444,44.78736111,"b42-34"
"28",361,"NY1.5","NY1","Drought","12/11-18","12,900",10.6,"6,30",38.95375,43.46381944,55.01347222,"NY1"
"29",362,"NY1.9","NY1","Control","12/11-18","14,600",7.4,"8,00",52.84916667,71.47409722,109.7648611,"NY1"
"30",363,"SC2.9","SC2","Drought","12/11-18","10,500",9,"5,30",39.81041667,46.11590278,43.88847222,"SC2"
"31",364,"T48.2","T48","Drought","12/11-18","7,500",14.5,"7,00",68.15659722,54.58694444,63.80965278,"T48"
"32",365,"T48.6","T48","Control","12/11-18","12,600",12,"6,20",94.50506944,63.89354167,86.07256944,"T48"
"33",367,"T52.6","T52","Control","12/11-18","8,500",9,"6,40",73.95520833,52.97451389,52.84909722,"T52"
"34",368,"TX6704.9","TX6704","Control","12/11-18","11,500",9.1,"8,70",28.77736111,62.92631944,37.29958333,"TX6704"
"35",369,"TXNM0821.7","TXNM0821","Control","12/11-18","7,500",11.1,"5,20",98.01569444,40.02958333,120.0670833,"TXNM0821"
"36",370,"V60-96.1","V60-96","Drought","12/11-18","11,500",11.9,"7,80",26.24534722,14.89868056,22.4475,"V60-96"
"37",371,"V60-96.7","V60-96","Control","12/11-18","8,400",10.5,"4,70",111.1334722,NA,99.79951389,"V60-96"
"38",372,"Vru42.6","Vru42","Control","12/11-18","13,600",13,"6,30",24.83,21.35694444,32.79,"Vru42"
"39",373,"9018.10","9018","Control","12/11-18","14,300",11.2,"6,00",60.17694444,41.97506944,68.86006944,"9018"
"40",374,"9018.4","9018","Drought","12/11-18","14,900",11.7,"9,50",38.78645833,38.99868056,44.23993056,"9018"
"41",375,"9035.8","9035","Control","12/11-18","10,800",6.7,"8,00",86.94041667,56.25263889,86.90375,"9035"
"42",377,"b40-14.9","b40-14","Control","12/11-18","14,900",5.6,"6,50",37.88159722,41.04576389,28.82472222,"b40-14"
"43",378,"b42-34.10","b42-34","Control","12/11-18","6,000",11.5,"11,00",40.41527778,41.22638889,34.84652778,"b42-34"
"44",379,"NY1.2","NY1","Drought","12/11-18","13,000",11,"8,30",56.05805556,50.07680556,60.57486111,"NY1"
"45",380,"NY1.8","NY1","Control","12/11-18","10,500",12,"6,30",85.02076389,58.045,95.18388889,"NY1"
"46",381,"SC2.4","SC2","Drought","12/11-18","14,200",10.8,"8,00",47.2125,52.54416667,NA,"SC2"
"47",382,"SC2.8","SC2","Control","12/11-18","11,200",8.5,"4,90",71.75736111,103.4915972,78.31333333,"SC2"
"48",383,"T48.1","T48","Drought","12/11-18","12,000",6.3,"7,10",48.32583333,49.06354167,49.23986111,"T48"
"49",384,"T48.8","T48","Control","12/11-18","10,000",6.3,"6,10",84.13388889,43.19979167,68.004375,"T48"
"50",385,"T52.10","T52","Control","12/11-18","11,500",6.4,"5,50",54.18354167,46.335625,63.95388889,"T52"
"51",386,"TX6704.8","TX6704","Control","12/11-18","12,800",13.3,"6,30",44.49027778,37.53805556,55.76020833,"TX6704"
"52",387,"TXNM0821.2","TXNM0821","Drought","12/11-18","12,000",8.6,"8,00",65.27694444,54.54930556,65.11416667,"TXNM0821"
"53",388,"TXNM0821.9","TXNM0821","Control","12/11-18","11,500",6.2,"3,90",73.085625,38.71291667,85.65472222,"TXNM0821"
"54",389,"V60-96.2","V60-96","Drought","12/11-18","13,500",10.6,"8,00",18.29583333,22.52402778,26.24201389,"V60-96"
"55",390,"V60-96.6","V60-96","Control","12/11-18","9,500",7.4,"5,40",50.18833333,28.48291667,110.8589583,"V60-96"
"56",391,"Vru42.8","Vru42","Control","12/11-18","14,600",10.1,"7,50",32.62979167,42.36888889,61.48534722,"Vru42"
"57",392,"9018.1","9018","Drought","12/11-18","14,000",14.1,"7,10",NA,50.72944444,44.72916667,"9018"
"58",393,"9018.9","9018","Control","12/11-18","12,500",9.1,"7,00",NA,61.21034722,NA,"9018"
"59",394,"b40-14.7","b40-14","Control","12/11-18","14,000",9.1,"5,30",NA,NA,NA,"b40-14"
"60",395,"NY1.10","NY1","Control","12/11-18","13,500",9.3,"8,00",NA,40.37319444,100.2959028,"NY1"
"61",396,"NY1.4","NY1","Drought","12/11-18","14,000",14.2,"9,00",NA,25.81340278,37.73243056,"NY1"
"62",397,"SC2.1","SC2","Control","12/11-18","10,500",11.9,"6,00",NA,59.49875,NA,"SC2"
"63",398,"T48.10","T48","Control","12/11-18","10,000",11.2,"8,00",NA,41.58680556,69.74916667,"T48"
"64",399,"T48.3","T48","Drought","12/11-18","14,100",11.9,"7,80",NA,34.23340278,NA,"T48"
"65",401,"T52.8","T52","Control","12/11-18","12,000",13.4,"6,50",NA,83.17444444,NA,"T52"
"66",402,"TXNM0821.1","TXNM0821","Drought","12/11-18","11,000",10.2,"6,30",NA,71.24854167,79.66354167,"TXNM0821"
"67",403,"TXNM0821.5","TXNM0821","Control","12/11-18","12,000",8.8,"5,00",NA,61.21638889,NA,"TXNM0821"
"68",404,"TXNM0821.8","TXNM0821","Drought","12/11-18","10,000",8.4,"5,30",NA,71.86013889,80.94736111,"TXNM0821"
"69",405,"V60-96.9","V60-96","Control","12/11-18","9,500",10.4,"5,80",NA,71.08479167,71.94597222,"V60-96"
"70",406,"Vru42.9","Vru42","Control","12/11-18","13,500",10.9,"7,20",NA,36.32291667,35.07263889,"Vru42"
"71",407,"9035.3","9035","Drought","12/11-18","13,500",13,"7,50",54.57520833,85.59493056,57.43027778,"9035"
"72",408,"9018.2","9018","Drought","12/11-18","14,500",14.4,"11,50",21.36090278,23.19145833,40.05861111,"9018"
"73",409,"9018.7","9018","Control","12/11-18","12,000",14,"7,20",71.15333333,44.67333333,52.38138889,"9018"
"74",410,"9031.8","9031","Control","12/11-18","10,500",11,"9,50",55.56972222,84.53520833,53.00194444,"9031"
"75",411,"9035.4","9035","Drought","12/11-18","14,000",12.9,"8,90",49.28388889,52.781875,89.92479167,"9035"
"76",412,"9035.6","9035","Control","12/11-18","11,000",10.9,"3,70",88.49034722,237.7349306,200.3682639,"9035"
"77",413,"b42-34.8","b42-34","Control","12/11-18","12,000",9.8,"7,40",49.34090278,45.60729167,42.17541667,"b42-34"
"78",414,"NY1.7","NY1","Control","12/11-18","14,800",13,"6,20",58.86895833,80.93138889,71.29395833,"NY1"
"79",416,"T48.5","T48","Drought","12/11-18","11,500",12.5,"8,50",75.27201389,32.44097222,43.908125,"T48"
"80",417,"T48.9","T48","Control","12/11-18","11,000",12.4,"6,60",49.27409722,78.83902778,76.03472222,"T48"
"81",418,"T52.9","T52","Control","12/11-18","11,000",11.4,"7,70",64.38451389,53.82173611,49.63534722,"T52"
"82",419,"TX6704.10","TX6704","Control","12/11-18","10,000",12.1,"6,30",56.88291667,49.89222222,82.38465278,"TX6704"
"83",420,"TXNM0821.6","TXNM0821","Control","12/11-18","13,000",12,"6,30",60.43590278,86.43868056,110.0665278,"TXNM0821"
"84",421,"V60-96.10","V60-96","Control","12/11-18","12,000",11.6,"6,10",80.83868056,43.8625,77.38125,"V60-96"
"85",422,"V60-96.5","V60-96","Drought","12/11-18","13,500",13.6,"12,10",22.22395833,34.83131944,45.08770833,"V60-96"
"86",423,"9031.10","9031","Control","12/11-18",NA,13.6,"8,70",NA,46.12208333,46.72618056,"9031"
"87",424,"b42-34.2","b42-34","Drought","12/11-18",NA,14,"11,20",NA,28.35506944,40.54125,"b42-34"
"88",425,"TX6704.1","TX6704","Drought","12/11-18",NA,14.3,"7,50",NA,12.47861111,47.91465278,"TX6704"
"89",426,"9031.4","9031","Drought","12/11-18",NA,11.6,"12,80",47.42298611,47.26534722,40.65194444,"9031"
"90",427,"b40-14.2","b40-14","Drought","12/11-18",NA,11.6,NA,29.86993056,24.860625,41.93701389,"b40-14"
"91",428,"TX6704.3","TX6704","Drought","12/11-18",NA,12.9,"9,10",29.96604167,33.51409722,37.96347222,"TX6704"
"92",429,"TXNM0821.3","TXNM0821","Drought","12/11-18",NA,10,"6,20",61.13180556,54.73027778,50.24611111,"TXNM0821"
"93",430,"Vru42.5","Vru42","Drought","12/11-18",NA,12.9,"8,30",27.160625,23.6775,33.64340278,"Vru42"
"94",431,"9031.2","9031","Drought","12/11-18",NA,12.4,"5,00",40.46673611,48.209375,57.53423611,"9031"
"95",432,"9035.1","9035","Drought","12/11-18",NA,10.8,"7,60",129.8151389,88.54458333,98.43180556,"9035"
"96",433,"b42-34.5","b42-34","Drought","12/11-18",NA,12.1,"9,70",44.41715278,38.71847222,44.25076389,"b42-34"
"97",434,"T52.4","T52","Drought","12/11-18",NA,9.8,"9,20",69.38486111,59.62069444,71.77458333,"T52"
"98",435,"TX6704.5","TX6704","Drought","12/11-18",NA,11.1,"9,40",19.31243056,25.21652778,54.06097222,"TX6704"
"99",436,"9031.6","9031","Control","12/11-18",NA,14.4,"7,30",NA,43.99486111,NA,"9031"
"100",437,"9035.3","9035","Drought","12/11-18",NA,11.7,NA,NA,56.30152778,NA,"9035"
"101",438,"9035.9","9035","Control","12/11-18",NA,10.9,"7,00",NA,170.6364583,218.4269444,"9035"
"102",439,"b42-34.7","b42-34","Control","12/11-18",NA,12.5,NA,NA,33.35270833,39.113125,"b42-34"
"103",440,"TX6704.7","TX6704","Control","12/11-18",NA,14.1,"10,80",NA,33.20013889,NA,"TX6704"
"104",441,"Vru42.3","Vru42","Drought","12/11-18",NA,14.3,"6,00",NA,19.05694444,34.80506944,"Vru42"
"105",442,"V60-96.4","V60-96","Drought","12/11-18",NA,14.5,"11,90",43.39263889,51.40618056,57.25,"V60-96"
"106",443,"T52.2","T52","Drought","12/11-18",NA,14,"11,70",39.73111111,39.36305556,29.42645833,"T52"
