"","ID","species_geno","Treatment","Date","WPType","WP","Date_group"
"1","9018.5","9018","Drought","11/9","LWP",10,"Nov 9 to 13"
"2","9018.6","9018","Control","11/9","LWP",6.9,"Nov 9 to 13"
"3","9031.10","9031","Control","11/9","LWP",13.6,"Nov 9 to 13"
"4","9031.11","9031","Control","11/9","LWP",13.4,"Nov 9 to 13"
"5","9031.5","9031","Drought","11/9","LWP",12.7,"Nov 9 to 13"
"6","b40-14.1","b40-14","Drought","11/9","LWP",10.1,"Nov 9 to 13"
"7","b40-14.10","b40-14","Control","11/9","LWP",8.6,"Nov 9 to 13"
"8","b42-34.2","b42-34","Drought","11/9","LWP",8,"Nov 9 to 13"
"9","b42-34.6","b42-34","Control","11/9","LWP",8.9,"Nov 9 to 13"
"10","NY1.1","NY1","Drought","11/9","LWP",9.1,"Nov 9 to 13"
"11","NY1.6","NY1","Control","11/9","LWP",7.4,"Nov 9 to 13"
"12","SC2.5","SC2","Drought","11/9","LWP",10.2,"Nov 9 to 13"
"13","SC2.7","SC2","Control","11/9","LWP",8.1,"Nov 9 to 13"
"14","T48.4","T48","Drought","11/9","LWP",9,"Nov 9 to 13"
"15","T48.7","T48","Control","11/9","LWP",11,"Nov 9 to 13"
"16","T52.3","T52","Drought","11/9","LWP",10.5,"Nov 9 to 13"
"17","T52.7","T52","Control","11/9","LWP",9.6,"Nov 9 to 13"
"18","TX6704.1","TX6704","Drought","11/9","LWP",9.6,"Nov 9 to 13"
"19","TX6704.6","TX6704","Control","11/9","LWP",7.8,"Nov 9 to 13"
"20","TXNM0821.10","TXNM0821","Control","11/9","LWP",10.4,"Nov 9 to 13"
"21","TXNM0821.4","TXNM0821","Drought","11/9","LWP",8.6,"Nov 9 to 13"
"22","V60-96.3","V60-96","Drought","11/9","LWP",8.1,"Nov 9 to 13"
"23","Vru42.1","Vru42","Drought","11/9","LWP",9.2,"Nov 9 to 13"
"24","Vru42.10","Vru42","Control","11/9","LWP",11,"Nov 9 to 13"
"25","9018.3","9018","Drought","11/1","LWP",10.2,"11/1"
"26","9018.8","9018","Control","11/1","LWP",10.9,"11/1"
"27","9031.4","9031","Drought","11/1","LWP",14.1,"11/1"
"28","9031.7","9031","Control","11/1","LWP",13.9,"11/1"
"29","9035.2","9035","Drought","11/1","LWP",8.7,"11/1"
"30","9035.7","9035","Control","11/1","LWP",10.3,"11/1"
"31","b40-14.2","b40-14","Drought","11/1","LWP",11.9,"11/1"
"32","b40-14.6","b40-14","Control","11/1","LWP",10.8,"11/1"
"33","b42-34.1","b42-34","Drought","11/1","LWP",9.5,"11/1"
"34","b42-34.9","b42-34","Control","11/1","LWP",14.4,"11/1"
"35","NY1.5","NY1","Drought","11/1","LWP",11.7,"11/1"
"36","NY1.9","NY1","Control","11/1","LWP",10.4,"11/1"
"37","T48.2","T48","Drought","11/1","LWP",9.7,"11/1"
"38","T48.6","T48","Control","11/1","LWP",10.2,"11/1"
"39","T52.1","T52","Drought","11/1","LWP",8.4,"11/1"
"40","T52.6","T52","Control","11/1","LWP",12,"11/1"
"41","TX6704.3","TX6704","Drought","11/1","LWP",12.1,"11/1"
"42","TX6704.9","TX6704","Control","11/1","LWP",12.7,"11/1"
"43","TXNM0821.3","TXNM0821","Drought","11/1","LWP",9.1,"11/1"
"44","TXNM0821.7","TXNM0821","Control","11/1","LWP",10.4,"11/1"
"45","Vru42.6","Vru42","Control","11/1","LWP",12.3,"11/1"
"46","9018.10","9018","Control","11/1","LWP",11.6,"11/1"
"47","9018.4","9018","Drought","11/1","LWP",13.6,"11/1"
"48","9031.2","9031","Drought","11/1","LWP",14,"11/1"
"49","9031.9","9031","Control","11/1","LWP",13.5,"11/1"
"50","9035.1","9035","Drought","11/1","LWP",10.5,"11/1"
"51","9035.8","9035","Control","11/1","LWP",11,"11/1"
"52","b40-14.3","b40-14","Drought","11/1","LWP",13.4,"11/1"
"53","b40-14.9","b40-14","Control","11/1","LWP",12.9,"11/1"
"54","b42-34.10","b42-34","Control","11/1","LWP",12.1,"11/1"
"55","b42-34.5","b42-34","Drought","11/1","LWP",11.5,"11/1"
"56","NY1.2","NY1","Drought","11/1","LWP",12,"11/1"
"57","NY1.8","NY1","Control","11/1","LWP",12.2,"11/1"
"58","SC2.4","SC2","Drought","11/1","LWP",11.2,"11/1"
"59","SC2.8","SC2","Control","11/1","LWP",9,"11/1"
"60","T48.1","T48","Drought","11/1","LWP",10.7,"11/1"
"61","T52.10","T52","Control","11/1","LWP",10.1,"11/1"
"62","T52.4","T52","Drought","11/1","LWP",12.5,"11/1"
"63","TX6704.5","TX6704","Drought","11/1","LWP",14.6,"11/1"
"64","TX6704.8","TX6704","Control","11/1","LWP",11.4,"11/1"
"65","TXNM0821.2","TXNM0821","Drought","11/1","LWP",11.6,"11/1"
"66","TXNM0821.9","TXNM0821","Control","11/1","LWP",10,"11/1"
"67","Vru42.2","Vru42","Drought","11/1","LWP",12.3,"11/1"
"68","9018.1","9018","Drought","11/11","LWP",9.5,"Nov 9 to 13"
"69","9018.9","9018","Control","11/11","LWP",9,"Nov 9 to 13"
"70","9031.1","9031","Drought","11/11","LWP",11.6,"Nov 9 to 13"
"71","9031.6","9031","Control","11/11","LWP",10.9,"Nov 9 to 13"
"72","9035.3","9035","Drought","11/11","LWP",8.5,"Nov 9 to 13"
"73","9035.9","9035","Control","11/11","LWP",7,"Nov 9 to 13"
"74","b40-14.5","b40-14","Drought","11/11","LWP",7.5,"Nov 9 to 13"
