"","ID","Genotype","Treatment","Species","species_geno","sumwu","canopy_biomass","root_biomass","TotalLeafArea","canopy_wu","root_wu","Leafarea_wu"
"1","9018.1","9018","Drought","acerifolia","acerifolia_9018",3.54119429016667,13,21.4234,1124.29,3.67107787225878,6.04976689911913,317.488933923217
"2","9018.1","9018","Drought","acerifolia","acerifolia_9018",3.54119429016667,13,21.4234,1124.29,3.67107787225878,6.04976689911913,317.488933923217
"3","9018.1","9018","Drought","acerifolia","acerifolia_9018",3.54119429016667,13,21.4234,1124.29,3.67107787225878,6.04976689911913,317.488933923217
"4","9018.10.","9018","Control","acerifolia","acerifolia_9018",12.8895250684,69.5,19.5466,8130.608302,5.39197523812467,1.51647170056874,630.79192280971
"5","9018.10.","9018","Control","acerifolia","acerifolia_9018",12.8895250684,69.5,19.5466,8130.608302,5.39197523812467,1.51647170056874,630.79192280971
"6","9018.10.","9018","Control","acerifolia","acerifolia_9018",12.8895250684,69.5,19.5466,8130.608302,5.39197523812467,1.51647170056874,630.79192280971
"7","9018.10.","9018","Control","acerifolia","acerifolia_9018",12.8895250684,69.5,19.5466,8130.608302,5.39197523812467,1.51647170056874,630.79192280971
"8","9018.2","9018","Drought","acerifolia","acerifolia_9018",0.925011143166667,5.3,9.3895,NA,5.72966070641708,10.1506885288497,NA
"9","9018.3","9018","Drought","acerifolia","acerifolia_9018",5.08554619216667,26.1,14.8834,1318.33,5.13219210164724,2.92660796650025,259.230759132744
"10","9018.3","9018","Drought","acerifolia","acerifolia_9018",5.08554619216667,26.1,14.8834,1318.33,5.13219210164724,2.92660796650025,259.230759132744
"11","9018.3","9018","Drought","acerifolia","acerifolia_9018",5.08554619216667,26.1,14.8834,1318.33,5.13219210164724,2.92660796650025,259.230759132744
"12","9018.4","9018","Drought","acerifolia","acerifolia_9018",4.46116829216667,26.3,20.3636,2353.282516,5.89531671472246,4.56463389551035,527.503640723913
"13","9018.4","9018","Drought","acerifolia","acerifolia_9018",4.46116829216667,26.3,20.3636,2353.282516,5.89531671472246,4.56463389551035,527.503640723913
"14","9018.4","9018","Drought","acerifolia","acerifolia_9018",4.46116829216667,26.3,20.3636,2353.282516,5.89531671472246,4.56463389551035,527.503640723913
"15","9018.4","9018","Drought","acerifolia","acerifolia_9018",4.46116829216667,26.3,20.3636,2353.282516,5.89531671472246,4.56463389551035,527.503640723913
"16","9018.5","9018","Drought","acerifolia","acerifolia_9018",2.7297722835,10.7,10.8305,NA,3.91974087533811,3.96754706078032,NA
"17","9018.5","9018","Drought","acerifolia","acerifolia_9018",2.7297722835,10.7,10.8305,NA,3.91974087533811,3.96754706078032,NA
"18","9018.5","9018","Drought","acerifolia","acerifolia_9018",2.7297722835,10.7,10.8305,NA,3.91974087533811,3.96754706078032,NA
"19","9018.5","9018","Drought","acerifolia","acerifolia_9018",2.7297722835,10.7,10.8305,NA,3.91974087533811,3.96754706078032,NA
"20","9018.6","9018","Control","acerifolia","acerifolia_9018",6.2432632324,26.6,8.7823,NA,4.2605924193548,1.40668424077066,NA
"21","9018.6","9018","Control","acerifolia","acerifolia_9018",6.2432632324,26.6,8.7823,NA,4.2605924193548,1.40668424077066,NA
"22","9018.6","9018","Control","acerifolia","acerifolia_9018",6.2432632324,26.6,8.7823,NA,4.2605924193548,1.40668424077066,NA
"23","9018.6","9018","Control","acerifolia","acerifolia_9018",6.2432632324,26.6,8.7823,NA,4.2605924193548,1.40668424077066,NA
"24","9018.6","9018","Control","acerifolia","acerifolia_9018",6.2432632324,26.6,8.7823,NA,4.2605924193548,1.40668424077066,NA
"25","9018.6","9018","Control","acerifolia","acerifolia_9018",6.2432632324,26.6,8.7823,NA,4.2605924193548,1.40668424077066,NA
