"","ID.Order","ID","Date","Treatment","Genotype","canopy_biomass","root_biomass","ratio_canopy_root"
"1",10,"9018.10.","12/16","Control","9018",69.5,19.5466,3.55560557846377
"2",10,"9018.10.","12/16","Control","9018",69.5,19.5466,3.55560557846377
"3",10,"9018.10.","12/16","Control","9018",69.5,19.5466,3.55560557846377
"4",10,"9018.10.","12/16","Control","9018",69.5,19.5466,3.55560557846377
"5",1,"9018.1","12/17","Drought","9018",13,21.4234,0.60681311089743
"6",1,"9018.1","12/17","Drought","9018",13,21.4234,0.60681311089743
"7",1,"9018.1","12/17","Drought","9018",13,21.4234,0.60681311089743
"8",2,"9018.2","12/18","Drought","9018",5.3,9.3895,0.5644603014005
"9",3,"9018.3","12/15","Drought","9018",26.1,14.8834,1.75363156268057
"10",3,"9018.3","12/15","Drought","9018",26.1,14.8834,1.75363156268057
"11",3,"9018.3","12/15","Drought","9018",26.1,14.8834,1.75363156268057
"12",4,"9018.4","12/16","Drought","9018",26.3,20.3636,1.29152016342886
"13",4,"9018.4","12/16","Drought","9018",26.3,20.3636,1.29152016342886
"14",4,"9018.4","12/16","Drought","9018",26.3,20.3636,1.29152016342886
"15",4,"9018.4","12/16","Drought","9018",26.3,20.3636,1.29152016342886
"16",5,"9018.5","12/11","Drought","9018",10.7,10.8305,0.987950694797101
"17",5,"9018.5","12/11","Drought","9018",10.7,10.8305,0.987950694797101
"18",5,"9018.5","12/11","Drought","9018",10.7,10.8305,0.987950694797101
"19",5,"9018.5","12/11","Drought","9018",10.7,10.8305,0.987950694797101
"20",6,"9018.6","12/11","Control","9018",26.6,8.7823,3.02881932978832
"21",6,"9018.6","12/11","Control","9018",26.6,8.7823,3.02881932978832
"22",6,"9018.6","12/11","Control","9018",26.6,8.7823,3.02881932978832
"23",6,"9018.6","12/11","Control","9018",26.6,8.7823,3.02881932978832
"24",6,"9018.6","12/11","Control","9018",26.6,8.7823,3.02881932978832
"25",6,"9018.6","12/11","Control","9018",26.6,8.7823,3.02881932978832
"26",6,"9018.6","12/11","Control","9018",26.6,8.7823,3.02881932978832
"27",7,"9018.7","12/18","Control","9018",64.9,NA,NA
"28",8,"9018.8","12/15","Control","9018",70.5,16.9217,4.16624807200222
"29",9,"9018.9","12/17","Control","9018",76.1,25.5808,2.97488741556167
"30",9,"9018.9","12/17","Control","9018",76.1,25.5808,2.97488741556167
"31",9,"9018.9","12/17","Control","9018",76.1,25.5808,2.97488741556167
"32",101,"b40-14.1","12/11","Drought","b40-14",24.9,10.5083,2.36955549422837
"33",110,"b40-14.10","12/11","Control","b40-14",90.8,12.5614,7.22849363924403
"34",110,"b40-14.10","12/11","Control","b40-14",90.8,12.5614,7.22849363924403
"35",102,"b40-14.2","12/15","Drought","b40-14",21,6.2407,3.36500713061035
"36",102,"b40-14.2","12/15","Drought","b40-14",21,6.2407,3.36500713061035
"37",102,"b40-14.2","12/15","Drought","b40-14",21,6.2407,3.36500713061035
"38",102,"b40-14.2","12/15","Drought","b40-14",21,6.2407,3.36500713061035
"39",102,"b40-14.2","12/15","Drought","b40-14",21,6.2407,3.36500713061035
"40",103,"b40-14.3","12/16","Drought","b40-14",33.1,6.8924,4.80239103940572
"41",103,"b40-14.3","12/16","Drought","b40-14",33.1,6.8924,4.80239103940572
"42",103,"b40-14.3","12/16","Drought","b40-14",33.1,6.8924,4.80239103940572
"43",103,"b40-14.3","12/16","Drought","b40-14",33.1,6.8924,4.80239103940572
"44",104,"b40-14.4","12/18","Drought","b40-14",16,7.2299,2.21303199214374
"45",105,"b40-14.5","12/17","Drought","b40-14",23.8,5.2912,4.49803447233142
