"","Genotype","Treatment","ID","Date","Type","value"
"1","9018","Control","9018.10.","10/28","WU (L)",0.4071029708
"2","9018","Control","9018.10.","10/30","WU (L)",0.1375029708
"3","9018","Control","9018.10.","11/02","WU (L)",0.4469029708
"4","9018","Control","9018.10.","11/04","WU (L)",0.2605
"5","9018","Control","9018.10.","11/09","WU (L)",1.168
"6","9018","Control","9018.10.","11/11","WU (L)",0.55
"7","9018","Control","9018.10.","11/13","WU (L)",0.612
"8","9018","Control","9018.10.","11/23","WU (L)",0.962
"9","9018","Control","9018.10.","11/25","WU (L)",0.598258078
"10","9018","Control","9018.10.","11/27","WU (L)",1.0419
"11","9018","Control","9018.10.","11/30","WU (L)",0.9587
"12","9018","Control","9018.10.","12/02","WU (L)",0.724829039
"13","9018","Control","9018.10.","12/04","WU (L)",0.944829038999999
"14","9018","Control","9018.10.","12/07","WU (L)",1.68
"15","9018","Control","9018.10.","12/09","WU (L)",1.242
"16","9018","Control","9018.10.","12/14","WU (L)",1.155
"17","9018","Control","9018.6","10/28","WU (L)",0.2696823588
"18","9018","Control","9018.6","10/30","WU (L)",0.2120823588
"19","9018","Control","9018.6","11/02","WU (L)",0.0879823588
"20","9018","Control","9018.6","11/04","WU (L)",0.0655000000000007
"21","9018","Control","9018.6","11/06","WU (L)",0.17
"22","9018","Control","9018.6","11/09","WU (L)",0.373
"23","9018","Control","9018.6","11/11","WU (L)",0.290500000000001
"24","9018","Control","9018.6","11/13","WU (L)",0.242
"25","9018","Control","9018.6","11/23","WU (L)",0.214
"26","9018","Control","9018.6","11/25","WU (L)",0.458258078
"27","9018","Control","9018.6","11/27","WU (L)",0.4834
"28","9018","Control","9018.6","11/30","WU (L)",0.5052
"29","9018","Control","9018.6","12/02","WU (L)",0.464829039
"30","9018","Control","9018.6","12/04","WU (L)",0.734829039
"31","9018","Control","9018.6","12/07","WU (L)",1.115
"32","9018","Control","9018.6","12/09","WU (L)",0.557
"33","9018","Control","9018.7","10/28","WU (L)",0.3090621168
"34","9018","Control","9018.7","10/30","WU (L)",0.2454621168
"35","9018","Control","9018.7","11/02","WU (L)",0.2558621168
"36","9018","Control","9018.7","11/04","WU (L)",0.1675
"37","9018","Control","9018.7","11/06","WU (L)",0.214
"38","9018","Control","9018.7","11/09","WU (L)",0.368
"39","9018","Control","9018.7","11/11","WU (L)",0.260000000000001
"40","9018","Control","9018.7","11/13","WU (L)",0.332
"41","9018","Control","9018.7","11/20","WU (L)",0.5425
"42","9018","Control","9018.7","11/23","WU (L)",0.742
"43","9018","Control","9018.7","11/25","WU (L)",0.578258078
"44","9018","Control","9018.7","11/27","WU (L)",0.6869
"45","9018","Control","9018.7","11/30","WU (L)",0.4877
"46","9018","Control","9018.7","12/02","WU (L)",0.604829039
"47","9018","Control","9018.7","12/04","WU (L)",0.824829039
"48","9018","Control","9018.7","12/07","WU (L)",1.34
"49","9018","Control","9018.7","12/09","WU (L)",1.042
"50","9018","Control","9018.7","12/14","WU (L)",1.995
"51","9018","Control","9018.7","12/16","WU (L)",0.611979573
"52","9018","Control","9018.8","10/28","WU (L)",0.4204901578
