"","X","ID","Genotype","Species","Treatment","Order.within.block","mPot..kg.","Dry.weight.of.soil..kg.","mH2O..kg.","Date","PWW","WA","BB","TW","POWW","PD.WT","midday.WT","POWW.NOTES","WU","tgt_swc","SWC","species_geno","PSWC","POSWC"
"1",1,"9018.1","9018","acerifolia","Drought",32,7.006,4.151483751,2.602516249,"10/28",6.2,0.423936862,1,6.623936862,NA,NA,NA,NA,0.29413881175,0.8,0.600601874359325,"acerifolia_9018",0.884955752212389,0.884955752212389
"2",2,"9018.1","9018","acerifolia","Drought",32,7.006,4.151483751,2.602516249,"10/30",6.24,0.383936862,1,6.623936862,NA,NA,NA,NA,0.23863881175,0.8,0.644789878966093,"acerifolia_9018",0.890665144162147,0.890665144162147
"3",3,"9018.1","9018","acerifolia","Drought",32,7.006,4.151483751,2.602516249,"11/06",5.53,0.174741876,1,5.704741876,5.71,NA,NA,NA,0.1635,0.5,0.467515278710562,"acerifolia_9018",0.789323437053954,0.815015700827862
"4",4,"9018.1","9018","acerifolia","Drought",32,7.006,4.151483751,2.602516249,"11/09",5.2,0.504741876,1,5.704741876,5.7,NA,NA,NA,0.32,0.5,0.404038302893993,"acerifolia_9018",0.742220953468456,0.813588352840423
"5",5,"9018.1","9018","acerifolia","Drought",32,7.006,4.151483751,2.602516249,"11/11",5.38,0.064490251,1,5.444490251,5.45,NA,NA,NA,0.254,0.4,0.436699001970381,"acerifolia_9018",0.767913217242364,0.777904653154439
"6",6,"9018.1","9018","acerifolia","Drought",32,7.006,4.151483751,2.602516249,"11/13",5.15,0.034238626,1,5.184238626,NA,NA,NA,NA,0.24,0.3,0.344480557612073,"acerifolia_9018",0.735084213531259,0.735084213531259
"7",7,"9018.1","9018","acerifolia","Drought",32,7.006,4.151483751,2.602516249,"11/16",4.89,0.294238626,1,5.184238626,5.18,NA,NA,NA,0.170000000000001,0.3,0.236892372501764,"acerifolia_9018",0.697973165857836,0.739366257493577
"8",8,"9018.1","9018","acerifolia","Drought",32,7.006,4.151483751,2.602516249,"11/23",4.94,0.244238626,1,5.184238626,5.19,NA,NA,NA,0.154,0.3,0.25610454841775,"acerifolia_9018",0.705109905795033,0.740793605481016
"9",9,"9018.1","9018","acerifolia","Drought",32,7.006,4.151483751,2.602516249,"11/25",4.93,0.254238626,1,5.184238626,5.24,NA,NA,NA,0.200000000000001,0.3,0.252262113234552,"acerifolia_9018",0.703682557807593,0.747930345418213
"10",10,"9018.1","9018","acerifolia","Drought",32,7.006,4.151483751,2.602516249,"11/27",4.957,0.227238626,1,5.184238626,5.235,NA,NA,NA,0.27525,0.3,0.267055488689862,"acerifolia_9018",0.70753639737368,0.747216671424493
"11",11,"9018.1","9018","acerifolia","Drought",32,7.006,4.151483751,2.602516249,"11/30",4.83,0.354238626,1,5.184238626,5.18,NA,NA,NA,0.2927,0.3,0.24169541648076,"acerifolia_9018",0.6894090779332,0.739366257493577
