"","ID","Genotype","Species","Treatment","Order.within.block","mPot..kg.","Dry.weight.of.soil..kg.","mH2O..kg.","Date","PWW","WA","BB","TW","POWW","PD.WT","midday.WT","POWW.NOTES","WU","tgt_swc","SWC","species_geno"
"1","9018.1","9018","acerifolia","Drought",32,7.006,4.151483751,2.602516249,"10/28",6.2,0.423936862,1,6.623936862,NA,NA,NA,NA,0.29413881175,0.8,0.600601874359325,"acerifolia_9018"
"2","9018.1","9018","acerifolia","Drought",32,7.006,4.151483751,2.602516249,"10/30",6.24,0.383936862,1,6.623936862,NA,NA,NA,NA,0.23863881175,0.8,0.644789878966093,"acerifolia_9018"
"3","9018.1","9018","acerifolia","Drought",32,7.006,4.151483751,2.602516249,"11/06",5.53,0.174741876,1,5.704741876,5.71,NA,NA,NA,0.1635,0.5,0.467515278710562,"acerifolia_9018"
"4","9018.1","9018","acerifolia","Drought",32,7.006,4.151483751,2.602516249,"11/09",5.2,0.504741876,1,5.704741876,5.7,NA,NA,NA,0.32,0.5,0.404038302893993,"acerifolia_9018"
"5","9018.1","9018","acerifolia","Drought",32,7.006,4.151483751,2.602516249,"11/11",5.38,0.064490251,1,5.444490251,5.45,NA,NA,NA,0.254,0.4,0.436699001970381,"acerifolia_9018"
"6","9018.1","9018","acerifolia","Drought",32,7.006,4.151483751,2.602516249,"11/13",5.15,0.034238626,1,5.184238626,NA,NA,NA,NA,0.24,0.3,0.344480557612073,"acerifolia_9018"
"7","9018.1","9018","acerifolia","Drought",32,7.006,4.151483751,2.602516249,"11/16",4.89,0.294238626,1,5.184238626,5.18,NA,NA,NA,0.170000000000001,0.3,0.236892372501764,"acerifolia_9018"
"8","9018.1","9018","acerifolia","Drought",32,7.006,4.151483751,2.602516249,"11/23",4.94,0.244238626,1,5.184238626,5.19,NA,NA,NA,0.154,0.3,0.25610454841775,"acerifolia_9018"
"9","9018.1","9018","acerifolia","Drought",32,7.006,4.151483751,2.602516249,"11/25",4.93,0.254238626,1,5.184238626,5.24,NA,NA,NA,0.200000000000001,0.3,0.252262113234552,"acerifolia_9018"
"10","9018.1","9018","acerifolia","Drought",32,7.006,4.151483751,2.602516249,"11/27",4.957,0.227238626,1,5.184238626,5.235,NA,NA,NA,0.27525,0.3,0.267055488689862,"acerifolia_9018"
"11","9018.1","9018","acerifolia","Drought",32,7.006,4.151483751,2.602516249,"11/30",4.83,0.354238626,1,5.184238626,5.18,NA,NA,NA,0.2927,0.3,0.24169541648076,"acerifolia_9018"
"12","9018.1","9018","acerifolia","Drought",32,7.006,4.151483751,2.602516249,"12/02",4.98,0.204238626,1,5.184238626,4.98,NA,NA,NA,0.168149999999999,0.3,0.259946983600947,"acerifolia_9018"
"13","9018.1","9018","acerifolia","Drought",32,7.006,4.151483751,2.602516249,"12/04",4.81,0.113987001,1,4.923987001,4.92,NA,NA,NA,0.138150000000001,0.2,0.188861932731011,"acerifolia_9018"
"14","9018.1","9018","acerifolia","Drought",32,7.006,4.151483751,2.602516249,"12/07",4.71,5.303404364,1,4.923987001,5.3,NA,NA,NA,0.062,0.2,0.158122451284645,"acerifolia_9018"
"15","9018.1","9018","acerifolia","Drought",32,7.006,4.151483751,2.602516249,"12/09",5.03,0.273404364,1,5.184238626,5.3,NA,NA,NA,0.184,0.3,0.292607682677335,"acerifolia_9018"
"16","9018.1","9018","acerifolia","Drought",32,7.006,4.151483751,2.602516249,"12/14",4.94,0.244238626,1,5.184238626,5.18,NA,NA,NA,0.206666666666666,0.3,0.253076445518093,"acerifolia_9018"
"17","9018.1","9018","acerifolia","Drought",32,7.006,4.151483751,2.602516249,"12/16",4.96,-0.036012999,1,4.923987001,4.96,NA,NA,NA,0.18,0.3,0.306918880720502,"acerifolia_9018"
"18","9018.10.","9018","acerifolia","Control",20,6.864,4.064200557,2.547799443,"10/28",5.82,0.534440111,1,6.354440111,NA,NA,NA,NA,0.4071029708,0.8,0.603971967898731,"acerifolia_9018"
"19","9018.10.","9018","acerifolia","Control",20,6.864,4.064200557,2.547799443,"10/30",6.06,0.294440111,1,6.354440111,NA,NA,NA,NA,0.1375029708,0.8,0.63733409152802,"acerifolia_9018"
"20","9018.10.","9018","acerifolia","Control",20,6.864,4.064200557,2.547799443,"11/02",5.529,0.825440111,1,6.354440111,6.363,NA,NA,NA,0.4469029708,0.8,0.580225985786119,"acerifolia_9018"
"21","9018.10.","9018","acerifolia","Control",20,6.864,4.064200557,2.547799443,"11/04",5.86,0.494440111,1,6.354440111,6.35,NA,NA,NA,0.2605,0.8,0.704647082144762,"acerifolia_9018"
"22","9018.10.","9018","acerifolia","Control",20,6.864,4.064200557,2.547799443,"11/09",4.93,1.424440111,1,6.354440111,6.38,NA,NA,NA,1.168,0.8,0.519585419895234,"acerifolia_9018"
"23","9018.10.","9018","acerifolia","Control",20,6.864,4.064200557,2.547799443,"11/11",5.66,0.694440111,1,6.354440111,6.35,NA,NA,NA,0.55,0.8,0.668733737296762,"acerifolia_9018"
"24","9018.10.","9018","acerifolia","Control",20,6.864,4.064200557,2.547799443,"11/13",5.59,0.764440111,1,6.354440111,6.35,NA,NA,NA,0.612,0.8,0.649108958691298,"acerifolia_9018"
"25","9018.10.","9018","acerifolia","Control",20,6.864,4.064200557,2.547799443,"11/23",5.4,1.209220056,1,6.609220056,6.6,NA,NA,NA,0.962,0.9,0.662846303440376,"acerifolia_9018"
"26","9018.10.","9018","acerifolia","Control",20,6.864,4.064200557,2.547799443,"11/25",5.8,0.809220056,1,6.609220056,6.6,NA,NA,NA,0.598258078,0.9,0.739382940001686,"acerifolia_9018"
"27","9018.10.","9018","acerifolia","Control",20,6.864,4.064200557,2.547799443,"11/27",5.3895,1.219720056,1,6.609220056,6.635,NA,NA,NA,1.0419,0.9,0.658823223826256,"acerifolia_9018"
"28","9018.10.","9018","acerifolia","Control",20,6.864,4.064200557,2.547799443,"11/30",5.97,0.639220056,1,6.609220056,6.6,NA,NA,NA,0.9587,0.9,0.779613736142888,"acerifolia_9018"
"29","9018.10.","9018","acerifolia","Control",20,6.864,4.064200557,2.547799443,"12/02",6.29,0.319220056,1,6.609220056,6.6,NA,NA,NA,0.724829039,0.9,0.835544355168461,"acerifolia_9018"
"30","9018.10.","9018","acerifolia","Control",20,6.864,4.064200557,2.547799443,"12/04",6.07,0.539220056,1,6.609220056,6.6,NA,NA,NA,0.944829038999999,0.9,0.79236984223644,"acerifolia_9018"
"31","9018.10.","9018","acerifolia","Control",20,6.864,4.064200557,2.547799443,"12/07",5.99,7.116874652,1,6.354440111,7.11,NA,NA,NA,1.68,0.9,0.826670019489442,"acerifolia_9018"
"32","9018.10.","9018","acerifolia","Control",20,6.864,4.064200557,2.547799443,"12/09",6.21,0.906874652,1,6.354440111,7.11,NA,NA,NA,1.242,0.9,1.0199309034467,"acerifolia_9018"
"33","9018.10.","9018","acerifolia","Control",20,6.864,4.064200557,2.547799443,"12/14",6.47,0.139220056,1,6.609220056,6.64,NA,NA,NA,1.155,0.9,0.872678372235597,"acerifolia_9018"
"34","9018.2","9018","acerifolia","Drought",47,6.2945,3.714145775,2.328354225,"10/28",5.492,0.325269267,1,5.967269266,NA,NA,NA,NA,0.19547121675,0.8,0.619069941559257,"acerifolia_9018"
"35","9018.2","9018","acerifolia","Drought",47,6.2945,3.714145775,2.328354225,"10/30",5.546,0.271269267,1,5.967269266,NA,NA,NA,NA,0.12597121675,0.8,0.607473767871382,"acerifolia_9018"
