"","ID","Genotype","Treatment","Date","LWP","SWP","PD","LWP.area","SWP.area","PD.area","species_geno"
"1","9018.5","9018","Drought",11.9,"10,000",NA,NA,13.865,NA,NA,"9018"
"2","9018.6","9018","Control",11.9,"6,900",NA,NA,17.65638889,NA,NA,"9018"
"3","b40-14.1","b40-14","Drought",11.9,"10,100",NA,NA,10.625,NA,NA,"b40-14"
"4","b40-14.10","b40-14","Control",11.9,"8,600",NA,NA,15.54694444,NA,NA,"b40-14"
"5","b42-34.2","b42-34","Drought",11.9,"8,000",NA,NA,14.11083333,NA,NA,"b42-34"
"6","b42-34.6","b42-34","Control",11.9,"8,900",NA,NA,12.33722222,NA,NA,"b42-34"
"7","NY1.1","NY1","Drought",11.9,"9,100",NA,NA,14.5675,NA,NA,"NY1"
"8","NY1.6","NY1","Control",11.9,"7,400",NA,NA,16.89472222,NA,NA,"NY1"
"9","T48.4","T48","Drought",11.9,"9,000",NA,NA,26.12222222,NA,NA,"T48"
"10","T48.7","T48","Control",11.9,"11,000",NA,NA,22.195,NA,NA,"T48"
"11","T52.3","T52","Drought",11.9,"10,500",NA,NA,16.80305556,NA,NA,"T52"
"12","T52.7","T52","Control",11.9,"9,600",NA,NA,19.12694444,NA,NA,"T52"
"13","TXNM0821.10","TXNM0821","Control",11.9,"10,400",NA,NA,22.07805556,NA,NA,"TXNM0821"
"14","TXNM0821.4","TXNM0821","Drought",11.9,"8,600",NA,NA,28.69305556,NA,NA,"TXNM0821"
"15","V60-96.3","V60-96","Drought",11.9,"8,100",NA,NA,22.3175,NA,NA,"V60-96"
"16","Vru42.1","Vru42","Drought",11.9,"9,200",NA,NA,13.06861111,NA,NA,"Vru42"
"17","Vru42.10","Vru42","Control",11.9,"11,000",NA,NA,11.25055556,NA,NA,"Vru42"
"18","9018.3","9018","Drought",11.1,"10,200",NA,NA,62.49277778,NA,NA,"9018"
"19","9018.8","9018","Control",11.1,"10,900",NA,NA,33.30666667,NA,NA,"9018"
"20","b40-14.2","b40-14","Drought",11.1,"11,900",NA,NA,46.63,NA,NA,"b40-14"
"21","b40-14.6","b40-14","Control",11.1,"10,800",NA,NA,52.86722222,NA,NA,"b40-14"
"22","b42-34.1","b42-34","Drought",11.1,"9,500",NA,NA,38.07166667,NA,NA,"b42-34"
"23","b42-34.9","b42-34","Control",11.1,"14,400",NA,NA,36.50555556,NA,NA,"b42-34"
"24","NY1.5","NY1","Drought",11.1,"11,700",NA,NA,36.89694444,NA,NA,"NY1"
"25","NY1.9","NY1","Control",11.1,"10,400",NA,NA,54.46138889,NA,NA,"NY1"
"26","T48.2","T48","Drought",11.1,"9,700",NA,NA,68.03972222,NA,NA,"T48"
"27","T48.6","T48","Control",11.1,"10,200",NA,NA,81.09805556,NA,NA,"T48"
"28","T52.1","T52","Drought",11.1,"8,400",NA,NA,59.03555556,NA,NA,"T52"
"29","T52.6","T52","Control",11.1,"12,000",NA,NA,47.10444444,NA,NA,"T52"
"30","TXNM0821.3","TXNM0821","Drought",11.1,"9,100",NA,NA,53.83472222,NA,NA,"TXNM0821"
"31","TXNM0821.7","TXNM0821","Control",11.1,"10,400",NA,NA,64.2225,NA,NA,"TXNM0821"
"32","Vru42.6","Vru42","Control",11.1,"12,300",NA,NA,NA,NA,NA,"Vru42"
"33","9018.10","9018","Control",11.1,"11,600",NA,NA,55.03861111,NA,NA,"9018"
"34","9018.4","9018","Drought",11.1,"13,600",NA,NA,51.08444444,NA,NA,"9018"
"35","b40-14.3","b40-14","Drought",11.1,"13,400",NA,NA,37.44277778,NA,NA,"b40-14"
"36","b40-14.9","b40-14","Control",11.1,"12,900",NA,NA,NA,NA,NA,"b40-14"
"37","b42-34.10","b42-34","Control",11.1,"12,100",NA,NA,8.789722222,NA,NA,"b42-34"
"38","b42-34.5","b42-34","Drought",11.1,"11,500",NA,NA,52.17583333,NA,NA,"b42-34"
"39","NY1.2","NY1","Drought",11.1,"12,000",NA,NA,52.78055556,NA,NA,"NY1"
"40","NY1.8","NY1","Control",11.1,"12,200",NA,NA,66.74083333,NA,NA,"NY1"
"41","T48.1","T48","Drought",11.1,"10,700",NA,NA,45.37138889,NA,NA,"T48"
"42","T52.10","T52","Control",11.1,"10,100",NA,NA,68.55694444,NA,NA,"T52"
"43","T52.4","T52","Drought",11.1,"12,500",NA,NA,68.58583333,NA,NA,"T52"
"44","TXNM0821.2","TXNM0821","Drought",11.1,"11,600",NA,NA,95.31805556,NA,NA,"TXNM0821"
"45","TXNM0821.9","TXNM0821","Control",11.1,"10,000",NA,NA,105.0425,NA,NA,"TXNM0821"
"46","Vru42.2","Vru42","Drought",11.1,"12,300",NA,NA,36.4,NA,NA,"Vru42"
"47","9018.1","9018","Drought",11.11,"9,500",NA,NA,17.58388889,NA,NA,"9018"
"48","9018.9","9018","Control",11.11,"9,000",NA,NA,24.24166667,NA,NA,"9018"
"49","b40-14.5","b40-14","Drought",11.11,"7,500",NA,NA,16.37777778,NA,NA,"b40-14"
"50","b40-14.7","b40-14","Control",11.11,"8,500",NA,NA,15.66444444,NA,NA,"b40-14"
"51","b42-34.4","b42-34","Drought",11.11,"12,000",NA,NA,19.22166667,NA,NA,"b42-34"
"52","b42-34.7","b42-34","Control",11.11,"11,500",NA,NA,12.79416667,NA,NA,"b42-34"
"53","NY1.10","NY1","Control",11.11,"11,500",NA,NA,34.20027778,NA,NA,"NY1"
"54","NY1.4","NY1","Drought",11.11,"10,000",NA,NA,23.61555556,NA,NA,"NY1"
