Date,Control,Drought,Day
23-Oct,0.80,0.80,1
26-Oct,0.80,0.80,4
28-Oct,0.80,0.80,6
30-Oct,0.80,0.80,8
2-Nov,0.80,0.80,11
4-Nov,0.80,0.50,13
6-Nov,0.80,0.50,15
9-Nov,0.80,0.50,18
11-Nov,0.80,0.40,20
13-Nov,0.80,0.40,22
15-Nov,0.80,0.40,24
16-Nov,0.80,0.30,25
18-Nov,0.80,0.30,27
20-Nov,0.90,0.30,29
23-Nov,0.90,0.30,32
25-Nov,0.90,0.30,34
27-Nov,0.90,0.30,36
29-Nov,0.90,0.30,38
30-Nov,0.90,0.30,39
2-Dec,0.90,0.30,41
4-Dec,0.90,0.20,43
5-Dec,0.90,0.20,44
6-Dec,0.90,0.20,45
7-Dec,0.90,0.20,46
8-Dec,0.90,0.20,47
9-Dec,0.90,0.30,48
9-Dec,0.90,0.30,48
10-Dec,0.90,0.30,49
11-Dec,0.90,0.30,50
13-Dec,0.90,0.30,52
14-Dec,0.90,0.30,53
15-Dec,0.90,0.30,54
16-Dec,0.90,0.20,55
17-Dec,0.90,0.20,56
