ID,Genotype,Species,Treatment,Order within block,mPot (kg),Dry weight of soil (kg),mH2O (kg),Date,PWW,WA,BB,TW,POWW,PD.WT,midday.WT,POWW.NOTES,WU,tgt_swc,SWC
1149.1,1149,treleasei,Drought,20,6.998,4.146566388,2.599433612,10/28,5.91,0.568113278,1,6.478113278,NA,NA,NA,NA,0.43831522775,0.8,0.6083762263823491
1149.1,1149,treleasei,Drought,20,6.998,4.146566388,2.599433612,10/30,5.84,0.638113278,1,6.478113278,NA,NA,NA,NA,0.49281522775,0.8,0.5679828116341212
1149.1,1149,treleasei,Drought,20,6.998,4.146566388,2.599433612,11/06,5.27,0.428283194,1,5.698283194,5.69,NA,NA,NA,0.2840000000000006,0.5,0.4164113316851271
1149.1,1149,treleasei,Drought,20,6.998,4.146566388,2.599433612,11/09,4.99,0.708283194,1,5.698283194,5.69,NA,NA,NA,0.5100000000000002,0.5,0.36216874616607847
1149.1,1149,treleasei,Drought,20,6.998,4.146566388,2.599433612,11/11,5.24,0.198339833,1,5.438339833,5.43,NA,NA,NA,0.3840000000000002,0.4,0.41025614463740356
1149.1,1149,treleasei,Drought,20,6.998,4.146566388,2.599433612,11/13,5,0.178396472,1,5.178396472,5.178396472,NA,NA,NA,0.3699999999999997,0.3,0.31408134754087347
1149.1,1149,treleasei,Drought,20,6.998,4.146566388,2.599433612,11/16,4.76,0.418396472,1,5.178396472,5.17,NA,NA,NA,0.15000000000000022,0.3,0.21952160846337476
1149.1,1149,treleasei,Drought,20,6.998,4.146566388,2.599433612,11/18,4.91,0.268396472,1,5.178396472,5.18,NA,NA,NA,0.22666666666666657,0.3,0.2467589895886905
1149.1,1149,treleasei,Drought,20,6.998,4.146566388,2.599433612,11/20,4.82,0.358396472,1,5.178396472,5.17,NA,NA,NA,0.29333333333333245,0.3,0.23137102206555607
1149.1,1149,treleasei,Drought,20,6.998,4.146566388,2.599433612,11/23,4.76,0.418396472,1,5.178396472,5.17,NA,NA,NA,0.30400000000000016,0.3,0.21790655048281338
1149.1,1149,treleasei,Drought,20,6.998,4.146566388,2.599433612,11/25,4.84,0.338396472,1,5.178396472,5.17,NA,NA,NA,0.26999999999999996,0.3,0.23329451800594783
1149.1,1149,treleasei,Drought,20,6.998,4.146566388,2.599433612,11/27,4.8575,0.320896472,1,5.178396472,5.2015,NA,NA,NA,0.3047500000000001,0.3,0.2366606359016335
1149.1,1149,treleasei,Drought,20,6.998,4.146566388,2.599433612,11/30,4.75,0.428396472,1,5.178396472,5.17,NA,NA,NA,0.3392000000000002,0.3,0.22204206675465588
1149.1,1149,treleasei,Drought,20,6.998,4.146566388,2.599433612,12/02,4.91,0.268396472,1,5.178396472,4.91,NA,NA,NA,0.2281499999999998,0.3,0.2467589895886905
1149.1,1149,treleasei,Drought,20,6.998,4.146566388,2.599433612,12/04,4.74,0.178453111,1,4.918453111,4.91,NA,NA,NA,0.13814999999999994,0.2,0.1640486641133731
