"","ID","Genotype","Species","Treatment","TotalLeafArea"
"1","T52.6","T52","aestivalis","Control",9870.327082
"2","UT12-075.1","UT12-075","girdiana","Drought",839.71
"3","255189.01.9","255189.01","riparia","Control",11577.17087
"4","C56-94.3","C56-94","rotundifolia var. munsoniana","Drought",3344.396835
"5","b40-14.6","b40-14","arizonica","Control",16561.11439
"6","V60-96.7","V60-96","vulpina","Control",6372.029907
"7","9035.7","9035","berlandieri","Control",4455.560615
"8","9025.5","9025","cinerea","Drought",1135.85
"9","NY1.5","NY1","riparia","Drought",6346.792707
"10","Vru42.5","Vru42","rupestris","Drought",1494.83
"11","2214.4.9","2214.4","bloodworthiana","Control",6344.15215
"12","b42-24.6","b42-24","peninsularis","Control",9474.720672
"13","9018.8","9018","acerifolia","Control",7606.237241
"14","1149.8","1149","treleasei","Control",11677.98094
"15","T48.2","T48","mustangensis","Drought",954.4
"16","Haines2.2","Hanes2","shuttleworthii","Drought",1972.75
"17","TXNM0821.3","TXNM0821","riparia","Drought",1742.87
"18","b42-34.9","b42-34","cinerea","Control",5880.467708
"19","CC12.8","CC12","californica","Control",9635.65283
"20","9031.7","9031","berlandieri","Control",4233.101183
"21","588155.01.10","588155.01","palmata","Control",1170.950827
"22","588155.01.1","588155.01","palmata","Drought",2088.55
"23","2214.4.4","2214.4","bloodworthiana","Drought",819.71
"24","TX6704.9","TX6704","monticola","Control",3040.462219
"25","1149.3","1149","treleasei","Drought",2821.73776
"26","TXNM0821.7","TXNM0821","riparia","Control",5499.96894
"27","9018.3","9018","acerifolia","Drought",1318.33
"28","V57-96.2","V57-96","vulpina","Drought",636.91
"29","V57-96.6","V57-96","vulpina","Control",5436.664968
"30","V60-96.1","V60-96","vulpina","Drought",156.64
"31","b40-14.2","b40-14","arizonica","Drought",1198.98
"32","9025.10.","9025","cinerea","Control",6503.337778
"33","C56-94.6","C56-94","rotundifolia var. munsoniana","Control",7158.728889
"34","9031.4","9031","berlandieri","Drought",1134.52
"35","ANU65.3","ANU65","arizonica","Drought",3642.347459
"36","Haines2.10","Hanes2","shuttleworthii","Drought",1081.65
"37","b42-34.1","b42-34","cinerea","Drought",719.19
"38","SC2.9","SC2","girdiana","Drought",410.81
"39","Vru42.6","Vru42","rupestris","Control",10496.32272
"40","ANU65.9","ANU65","arizonica","Control",6955.47684
"41","T48.6","T48","mustangensis","Control",5906.512218
"42","CC12.3","CC12","californica","Drought",2253.18
"43","255189.01.2","255189.01","riparia","Drought",1461.32
"44","Haines2.9","Hanes2","shuttleworthii","Control",9620.758579
"45","OCK1-S02.8","OCK1-S02","acerifolia","Control",14795.42114
"46","TX6704.3","TX6704","monticola","Drought",2090.03
"47","9035.2","9035","berlandieri","Drought",743.02
"48","T52.1","T52","aestivalis","Drought",1019.49
"49","b40-14.9","b40-14","arizonica","Control",15575.09477
"50","Vru42.8","Vru42","rupestris","Control",8529.627308
"51","ANU65.1","ANU65","arizonica","Drought",2527.965
"52","ANU65.10","ANU65","arizonica","Control",10906.9343
"53","1149.2","1149","treleasei","Drought",2220.550939
"54","b42-34.10","b42-34","cinerea","Control",5679.824052
"55","9025.9","9025","cinerea","Control",4688.756293
"56","V57-96.4","V57-96","vulpina","Drought",1954.1
"57","255189.01.5","255189.01","riparia","Drought",1988.63
"58","9018.4","9018","acerifolia","Drought",2353.282516
"59","9035.8","9035","berlandieri","Control",5320.96063
"60","SC2.4","SC2","girdiana","Drought",1126.71
"61","CC12.6","CC12","californica","Control",12138.77466
"62","b42-24.5","b42-24","peninsularis","Drought",3773.614706
"63","2214.4.1","2214.4","bloodworthiana","Drought",2237.679091
"64","Haines2.5","Hanes2","shuttleworthii","Drought",3037.571576
"65","UT12-075.8","UT12-075","girdiana","Control",6586.137832
"66","b40-14.3","b40-14","arizonica","Drought",3763.422765
"67","9018.10.","9018","acerifolia","Control",8130.608302
"68","588155.01.9","588155.01","palmata","Control",5242.114057
"69","V60-96.2","V60-96","vulpina","Drought",271.82
"70","9025.4","9025","cinerea","Drought",951.54
"71","255189.01.8","255189.01","riparia","Control",8111.151311
"72","TXNM0821.2","TXNM0821","riparia","Drought",1834.841647
"73","b42-24.10","b42-24","peninsularis","Control",9015.243656
"74","TX6704.5","TX6704","monticola","Drought",1793.47
"75","NY1.8","NY1","riparia","Control",4642.821206
"76","TXNM0821.9","TXNM0821","riparia","Control",5701.947288
"77","T52.4","T52","aestivalis","Drought",1808.980616
"78","Haines2.6","Hanes2","shuttleworthii","Control",10378.75548
"79","Haines2.8","Hanes2","shuttleworthii","Control",12881.75198
"80","SC2.8","SC2","girdiana","Control",4765.618776
"81","C56-94.1","C56-94","rotundifolia var. munsoniana","Drought",2891.736946
"82","C56-94.8","C56-94","rotundifolia var. munsoniana","Control",6239.610568
"83","V57-96.8","V57-96","vulpina","Control",3741.456324
"84","CC12.2","CC12","californica","Drought",1872.55
"85","T48.8","T48","mustangensis","Control",3016.842794
"86","9031.2","9031","berlandieri","Drought",1598.23
"87","588155.01.2","588155.01","palmata","Drought",1082.71
"88","V60-96.6","V60-96","vulpina","Control",3941.207589
"89","OCK1-S02.1","OCK1-S02","acerifolia","Drought",3463.658053
"90","9031.9","9031","berlandieri","Control",4108.670543
"91","NY1.2","NY1","riparia","Drought",1520.51
"92","2970.3","2970","popenoi","Control",1312.88
"93","2214.4.6","2214.4","bloodworthiana","Control",6944.561512
"94","T52.10","T52","aestivalis","Control",7265.738182
"95","1149.7","1149","treleasei","Control",11429.83323
"96","b42-34.5","b42-34","cinerea","Drought",996.78
"97","T48.1","T48","mustangensis","Drought",797.84
"98","Vru42.2","Vru42","rupestris","Drought",1315.46
"99","9035.1","9035","berlandieri","Drought",1090.43
"100","OCK1-S02.6","OCK1-S02","acerifolia","Control",13333.72393
"101","UT12-075.3","UT12-075","girdiana","Drought",135.71
"102","TX6704.8","TX6704","monticola","Control",7799.309781
"103","9025.7","9025","cinerea","Control",5462.924926
"104","C56-94.10","C56-94","rotundifolia var. munsoniana","Control",7856.227448
"105","Haines.8","Haines","shuttleworthii","Control",3621.5214
"106","9018.9","9018","acerifolia","Control",7502.01863
"107","NY1.4","NY1","riparia","Drought",1366.19
"108","9031.1","9031","berlandieri","Drought",419.28
"109","T52.8","T52","aestivalis","Control",9182.839267
"110","Haines2.4","Hanes2","shuttleworthii","Control",9185.286655
"111","TX6704.2","TX6704","monticola","Drought",757.7
"112","9025.1","9025","cinerea","Drought",750.6
"113","SC2.1","SC2","girdiana","Control",3489.051484
