ID,Genotype,Species,Treatment,Order within block,m`Pot (kg),Dry weight of soil (kg),m`H2O (kg),10/23 Pre Watering Weight (kg),10/23 Water added for 80%SW,10/26 Pre Watering Weight,10/26 Water added for 80%SW,mpot @ 80% SW,10/28 pre water weight,10/28 Water added for 80%SW,mpot @ 80% SW,10/30 pre water weight,10/30 Water added for 80%SW,88,11/2 pre water weight,11/2 Water added for 80%SW,mpot @ 80% SW,11/2 post water weight,11/4 pre water,11/4 Water added,mpot target weight (80% for control and 50% for treatment),11/4 post water,11/6 pre water,11/6 water added,mpot target,11/6 post water,11/9 pre water,11/9 water added,mpot target,11/9 post water,11/11 pre water weight,11/11 water added,11/11 target weights,11/11 post water weight,11/13 pre water weight,11/13 water added,11/13 target weight,11/13 post water weight,11/15 control drained weight,11/16 pre water weight,11/16 water added,11/16 target weight,11/16 post water weight,11/18 pre water weight,11/18 water added,11/18 target weight,11/18 post water,11/20 pre water weight,11/20 water added,11/20 target weight,11/20 post water weight,11/23 pre water weight,11/23 water added,11/23 target weight,11/23 post water weight,11/25 pre water weight,11/25 water added,11/25 target weight,11/25 post water weight,11/27 pre water weight,11/27 water added,11/27 target weight,11/27 post water weight,11/30 pre water weight,11/30 water added,11/30 target weight,11/30 post water weight,12/2 pre water weight,12/2 water added,12/2 target weight,12/2 post water weight,12/4 pre water weight,12/4 water added,12/4 target weight,12/4 post water weight,12/7 pre water weight,12/7 water added,12/7 target weight,12/7 corrected target weights 90/20,12/9 pre water weight,12/9 water added,12/9 target weight,12/9 corrected target weights 90/20,12/9 post water weight,12/9 rewater Pre water weight,12/9 rewater water needed,12/9 Treatment rewater to 30%,12/9 rewater post water weight,12/11 pre-water weight,12/11 water added,12/11 target weights,12/11 post-water weight,12/11 Pre-Dawn Bench 1 Pot Weights,midday pot weights,12/13 pre-water weight,12/13 water added,12/13 target weight,12/13 post-water weight,Notes,12/14 pre-water weight,12/14 water added,12/14 target weight,12/14 post water weight,12/15 midday weight,12/15 Pre water weight,12/15 target weight,12/15 post water weight,12/16 pre-water weight,12/16 water added,12/16 target weight,12/16 post-water weight,12/16 Pre Dawn Pot Weights,12/16 midday weight,12/17 Pre Dawn Pot Weights,12/17 pre water weight,12/17 target weight,12/17 post water weight,12/18 Pre Dawn Pot Weights,12/18 Mid Day weight,,,
9018.6,9018,acerifolia,Control,21,7.116,4.219097493,2.644902507,6.0455,0.541519499,6.1735,0.413519499,6.587019499,6.19,0.397019499,6.587019499,6.218,0.369019499,6.587019499,6.1205,0.466519499,6.587019499,6.5875,6.2795,0.307519499,6.587019499,6.592,6.286,0.301019499,6.587019499,6.5815,5.9565,0.630519499,6.587019499,6.6005,6.14,0.447019499,6.587019499,6.58,6.19,0.397019499,6.587019499,6.59,7.38,7.27,-0.682980501,6.587019499,,,6.851509749,6.851509749,,6.75,0.101509749,6.851509749,6.96,6.498,0.353509749,6.851509749,6.97,6.31,0.541509749,6.851509749,6.95,6.298,0.553509749,6.851509749,6.8715,6.66,0.191509749,6.851509749,6.85,6.8,0.051509749,6.851509749,6.86,6.54,0.311509749,6.851509749,6.86,6.615,6.595759517,6.595759517,6.619519499,6.4,0.195759517,6.595759517,6.619519499,6.59,,0.261509749,6.851509749,,,,,,6.71,6.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9018.8,9018,acerifolia,Control,16,6.846,4.05313649,2.54086351,5.467,0.870827298,5.822,0.515827298,6.337827298,5.79,0.547827298,6.337827298,5.77,0.567827298,6.337827298,5.5415,0.796327298,6.337827298,6.369,5.8455,0.492327298,6.337827298,6.3355,5.7525,0.585327298,6.337827298,6.348,5.32,1.017827298,6.337827298,6.33,5.76,0.577827298,6.337827298,6.33,5.65,0.687827298,6.337827298,6.33,6.97,,6.337827298,6.337827298,,,6.591913649,6.591913649,,6.13,0.461913649,6.591913649,6.6,5.5705,1.021413649,6.591913649,6.6025,5.59,1.001913649,6.591913649,6.59,5.3635,1.228413649,6.591913649,6.6995,5.94,0.651913649,6.591913649,6.59,6.02,0.571913649,6.591913649,6.6,5.8,0.791913649,6.591913649,6.59,5.9205,6.236170845,6.236170845,6.370327298,5.68,0.556170845,6.236170845,6.370327298,6.23,,0.394413649,6.624413649,,6.23,0.394413649,6.624413649,6.63,,,5.4255,1.198913649,6.624413649,6.7305,,5.77,0.854413649,6.624413649,6.67,6.23,,,,,,,,,,,,,,,,,,
9018.10,9018,acerifolia,Control,20,6.864,4.064200557,2.547799443,5.4395,0.914940111,5.89,0.464440111,6.354440111,5.82,0.534440111,6.354440111,6.06,0.294440111,6.354440111,5.529,0.825440111,6.354440111,6.363,5.86,0.494440111,6.354440111,6.35,6.34,0.014440111,6.354440111,6.35,4.93,1.424440111,6.354440111,6.38,5.66,0.694440111,6.354440111,6.35,5.59,0.764440111,6.354440111,6.35,6.9115,,6.354440111,6.354440111,,,6.609220056,6.609220056,,6.09,0.519220056,6.609220056,6.61,5.4,1.209220056,6.609220056,6.6,5.8,0.809220056,6.609220056,6.6,5.3895,1.219720056,6.609220056,6.635,5.97,0.639220056,6.609220056,6.6,6.29,0.319220056,6.609220056,6.6,6.07,0.539220056,6.609220056,6.6,5.99,7.116874652,7.116874652,6.354440111,6.21,0.906874652,7.116874652,6.354440111,7.11,,-0.500779944,6.609220056,,6.79,-0.180779944,6.609220056,6.79,,,,6.609220056,6.609220056,,Added 1000 ml,6.47,0.139220056,6.609220056,6.64,,5.56,6.609220056,6.61,,,,,6.4615,,,,,,,,,,
9018.9,9018,acerifolia,Control,4,6.858,4.060512535,2.545487465,5.71,0.638902507,5.8055,0.543402507,6.348902507,5.82,0.528902507,6.348902507,5.81,0.538902507,6.348902507,5.51,0.838902507,6.348902507,6.34,5.88,0.468902507,6.348902507,6.35,5.84,0.508902507,6.348902507,6.34,5.32,1.028902507,6.348902507,6.34,5.71,0.638902507,6.348902507,6.34,5.54,0.808902507,6.348902507,6.35,6.9185,,6.348902507,6.348902507,,,6.603451253,6.603451253,,6.04,0.563451253,6.603451253,6.61,5.5,1.103451253,6.603451253,6.6,5.6,1.003451253,6.603451253,6.6,5.14,1.463451253,6.603451253,6.688,5.97,0.633451253,6.603451253,6.6,6.3,0.303451253,6.603451253,6.6,5.94,0.663451253,6.603451253,6.6,6.13,6.701520891,6.701520891,6.348902507,6.02,0.681520891,6.701520891,6.348902507,6.7,,-0.096548747,6.603451253,,6.39,0.213451253,6.603451253,6.6,,,,6.603451253,6.603451253,,1000 ml,6.23,0.373451253,6.603451253,6.6,,,6.603451253,,5.48,1.123451253,6.603451253,6.62,,,6.21,,,,,,,,
9018.7,9018,acerifolia,Control,36,5.923,3.485795729,2.185204271,5.204,0.270399257,4.992,0.482399257,5.624399257,5.038,0.436399257,5.624399257,5.072,0.402399257,5.624399257,4.99,0.634399257,5.624399257,5.62,5.21,0.414399257,5.624399257,5.62,5.27,0.215959146,5.485959146,5.48,4.86,0.625959146,5.485959146,5.48,5.05,0.435959146,5.485959146,5.48,5,0.485959146,5.485959146,5.48,6.491,,5.485959146,5.485959146,,5.74,-0.035520427,5.704479573,6.2,5.44,0.264479573,5.704479573,5.7,4.71,0.994479573,5.704479573,5.7,4.92,0.784479573,5.704479573,5.7,4.8445,0.859979573,5.704479573,5.764,5.57,0.134479573,5.704479573,5.7,5.51,0.194479573,5.704479573,5.71,5.3,0.404479573,5.704479573,5.71,5.44,6.338086351,6.338086351,5.485959146,5.63,0.708086351,6.338086351,5.485959146,6.33,,-0.625520427,5.704479573,,5.93,-0.225520427,5.704479573,5.93,,,,5.704479573,5.704479573,,1000 ml,4.77,0.934479573,5.704479573,,,,5.704479573,,4.95,0.754479573,5.704479573,5.7,,,,4.93,5.704479573,5.71,5.7,5.26,,,
9018.5,9018,acerifolia,Drought,29,7.242,4.296545961,2.693454039,5.977,0.726309192,6.16,0.543309192,6.703309192,6.392,0.311309192,6.703309192,6.304,0.399309192,6.703309192,6.242,,Dont Water Today,,5.9655,-0.070227019,5.895272981,5.9655,5.737,0.158272981,5.895272981,5.8955,5.4315,0.463772981,5.895272981,5.895,5.58,0.045927577,5.625927577,5.64,5.36,-0.003417827,5.356582173,,,5.06,0.296582173,5.356582173,5.35,,5.356582173,5.356582173,,4.99,0.366582173,5.356582173,5.39,5.1065,0.250082173,5.356582173,5.4095,5.17,0.186582173,5.356582173,5.37,5.1555,0.201082173,5.356582173,5.3895,5.06,0.296582173,5.356582173,5.37,5.13,0.226582173,5.356582173,5.13,4.97,0.117236769,5.087236769,5.1,4.872,4.980709378,4.980709378,5.087236769,4.85,0.130709378,4.980709378,5.087236769,4.98,4.94,0.376582173,5.356582173,5.36,,,,,5.05,5.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9018.3,9018,acerifolia,Drought,33,6.732,3.983064067,2.496935933,5.2665,0.966112813,5.673,0.559612813,6.232612813,5.619,0.613612813,6.232612813,5.61,0.622612813,6.232612813,5.3175,,Dont Water Today,,4.9375,0.546032033,5.483532033,5.48,4.982,0.501532033,5.483532033,5.4845,4.72,0.763532033,5.483532033,5.48,5.02,0.21383844,5.23383844,5.26,4.8,0.184144847,4.984144847,,,4.48,0.504144847,4.984144847,4.98,,4.984144847,4.984144847,,4.51,0.474144847,4.984144847,5,4.68,0.304144847,4.984144847,5.029,4.7,0.284144847,4.984144847,5,4.649,0.335144847,4.984144847,4.9855,4.6,0.384144847,4.984144847,4.98,4.69,0.294144847,4.984144847,4.69,4.54,0.194451254,4.734451254,4.73,4.44,5.240802228,5.240802228,4.734451254,4.89,0.350802228,5.240802228,4.734451254,5.25,,-0.265855153,4.984144847,4.98,4.96,0.024144847,4.984144847,4.99,,,,4.984144847,4.984144847,,,4.6625,0.321644847,4.984144847,4.9785,4.74,,,,,,,,,,,,,,,,,,
9018.4,9018,acerifolia,Drought,10,6.712,3.970770659,2.489229341,5.1545,1.059654132,5.27,0.944154132,6.214154132,5.46,0.754154132,6.214154132,5.65,0.564154132,6.214154132,5.338,,Dont Water Today,,5,0.46738533,5.46738533,5.46,5.06,0.40738533,5.46738533,5.46,4.819,0.64838533,5.46738533,5.46,5.03,0.188462396,5.218462396,5.21,4.82,0.149539462,4.969539462,,,4.6,0.369539462,4.969539462,4.99,,4.969539462,4.969539462,,4.58,0.389539462,4.969539462,,4.59,0.379539462,4.969539462,4.96,4.74,0.229539462,4.969539462,4.97,4.6625,0.307039462,4.969539462,5.071,4.62,0.349539462,4.969539462,4.96,4.71,0.259539462,4.969539462,4.71,4.56,0.160616527,4.720616527,4.73,4.5,5.023597029,5.023597029,4.720616527,4.74,0.283597029,5.023597029,4.720616527,5.03,5.01,-0.060460538,4.969539462,5.01,4.86,0.109539462,4.969539462,4.97,,,,4.969539462,4.969539462,,,4.73,0.239539462,4.969539462,4.96,,,4.969539462,,,,,,4.711,4.6555,,,,,,,,,
9018.1,9018,acerifolia,Drought,32,7.006,4.151483751,2.602516249,6.114,0.359936862,6.01,0.613936862,6.623936862,6.2,0.423936862,6.623936862,6.24,0.383936862,6.623936862,6,,Dont Water Today,6,5.727,0.098842154,5.825842154,5.8315,5.53,0.174741876,5.704741876,5.71,5.2,0.504741876,5.704741876,5.7,5.38,0.064490251,5.444490251,5.45,5.15,0.034238626,5.184238626,,,4.89,0.294238626,5.184238626,5.18,,5.184238626,5.184238626,,4.92,0.264238626,5.184238626,5.2,4.94,0.244238626,5.184238626,5.19,4.93,0.254238626,5.184238626,5.24,4.957,0.227238626,5.184238626,5.235,4.83,0.354238626,5.184238626,5.18,4.98,0.204238626,5.184238626,4.98,4.81,0.113987001,4.923987001,4.92,4.71,5.303404364,5.303404364,4.923987001,5.03,0.273404364,5.303404364,4.923987001,5.3,5.22,-0.115761374,5.184238626,5.22,5.06,0.124238626,5.184238626,5.19,,,,5.184238626,5.184238626,,,4.94,0.244238626,5.184238626,5.18,,,5.184238626,,4.96,-0.036012999,4.923987001,4.96,,,4.8915,,,,,,,,
9018.2,9018,acerifolia,Drought,47,6.2945,3.714145775,2.328354225,5.94,-0.122730734,5.6,0.217269266,5.967269266,5.492,0.325269266,5.967269266,5.546,0.271269266,5.967269266,5.48,,Dont Water Today,5.48,5.31,-0.058576834,5.251423166,5.25,5.22,-0.089677112,5.130322888,5.22,5.04,0.090322888,5.130322888,5.13,4.99,-0.092512535,4.897487465,4.89,4.99,-0.325347957,4.664652043,4.99,,4.78,-0.115347957,4.664652043,4.78,4.72,-0.055347957,4.664652043,4.72,4.68,-0.015347957,4.664652043,,4.57,0.094652043,4.664652043,4.67,4.57,0.094652043,4.664652043,4.66,4.5855,0.079152043,4.664652043,4.7635,4.58,0.084652043,4.664652043,4.66,4.57,0.094652043,4.664652043,4.57,4.51,-0.07818338,4.43181662,4.51,4.45,4.510328691,4.510328691,4.43181662,4.47,0.040328691,4.510328691,4.43181662,4.52,4.46,0.144652043,4.664652043,4.66,4.57,0.094652043,4.664652043,4.66,,,,4.664652043,4.664652043,,,4.54,0.124652043,4.664652043,,,,4.664652043,,4.56,-0.12818338,4.43181662,4.56,,,,4.51,4.43181662,,4.52,watered bfore weighed,,,
