"","X","Date","Code_Date","Genotype","rep","A","Ci","E","CO2_s","gsw_6800","Pa","Qin","RHcham","Tleaf","Fo","Fm","Fv.Fm","Adark","Fs","Fm.","X6800_licor_id","ID","Treatment","Time","Rep","species_geno"
"1",10,"10/26-29","b42-34.1_10.26","b42-34","_1",1.44743034586977e-05,209.136388613635,0.00245099899345712,381.574322580645,0.14428266383449,101.881548387097,1300.00225806452,70.2808551204363,35.6151806451613,715.476923076923,3262.08,0.780668492778558,-0.577747479816223,954.07168,1429.26,"68C-812148|68H-982138","b42-34.1","Drought","15:02:27",1,"b42-34"
"2",14,"10/26-29","Vru42.5_10.26","Vru42","_5",8.93240687358316e-06,268.653257854421,0.0071033325259104,385.989733333333,0.157377588837038,101.9561,1300.00733333333,20.0832886557249,35.5545433333333,715.476923076923,3262.08,0.780668492778558,-0.577747479816223,650.80588,908.82,"68C-811897|68H-711887","Vru42.5","Drought","15:08:25",1,"Vru42"
"3",15,"10/26-29","NY1.5_10.26","NY1","_5",1.30554841878825e-05,268.949827932878,0.00970984050826064,379.908967741936,0.242757313646848,101.962483870968,1299.97838709677,25.2032714172274,35.0812548387097,715.476923076923,3262.08,0.780668492778558,-0.577747479816223,755.393,1130.45,"68C-811897|68H-711887","NY1.5","Drought","15:10:06",1,"NY1"
"4",20,"10/26-29","Vru42.6_10.26","Vru42","_6",1.51408007949586e-05,253.553410374,0.0032694169990655,380.351709677419,0.211030134469388,101.874935483871,1300.00258064516,71.5420231297542,35.7330096774194,715.476923076923,3262.08,0.780668492778558,-0.577747479816223,871.60944,1211.79,"68C-812148|68H-982138","Vru42.6","Control","15:15:36",1,"Vru42"
"5",21,"10/26-29","b42-34.9_10.26","b42-34","_9",1.14433712373359e-05,274.242407851073,0.00900365147216136,382.136580645161,0.221073418534485,101.939096774194,1299.9835483871,23.6277832600124,34.9936193548387,715.476923076923,3262.08,0.780668492778558,-0.577747479816223,744.93316,998.23,"68C-811897|68H-711887","b42-34.9","Control","15:17:14",1,"b42-34"
"6",23,"10/26-29","TXNM0821.7_10.26","TXNM0821","_7",4.43502202024279e-06,235.891926264173,0.00102746071407374,394.199451612903,0.0484701067055579,101.862,1300.00258064516,64.9205101065,36.3045193548387,715.476923076923,3262.08,0.780668492778558,-0.577747479816223,751.83468,903.32,"68C-812148|68H-982138","TXNM0821.7","Control","15:21:21",1,"TXNM0821"
"7",24,"10/26-29","TXNM0821.3_10.26","TXNM0821","_3",8.00027441804723e-06,252.62375455807,0.00578240493945146,387.715,0.11890478820143,101.929612903226,1299.98967741935,17.0166717825268,36.0329129032258,715.476923076923,3262.08,0.780668492778558,-0.577747479816223,657.580769230769,909.26,"68C-811897|68H-711887","TXNM0821.3","Drought","15:22:00",1,"TXNM0821"
"8",25,"10/26-29","9018.3_10.26","9018","_3",1.26300774616425e-05,268.30587330706,0.00347507404068757,383.2098,0.197705476409547,101.854633333333,1299.98866666667,69.4216365210874,36.1886233333333,715.476923076923,3262.08,0.780668492778558,-0.577747479816223,1133.87,1493.29,"68C-812148|68H-982138","9018.3","Drought","15:23:02",1,"9018"
"9",26,"10/26-29","V60-96.7_10.26","V60-96","_7",4.44518196776326e-06,269.43573167777,0.00413636039849629,392.708566666667,0.076394403245057,101.929466666667,1299.97133333333,13.544006062778,36.9576866666667,715.476923076923,3262.08,0.780668492778558,-0.577747479816223,600.2604,747.21,"68C-811897|68H-711887","V60-96.7","Control","15:24:01",1,"V60-96"
"10",29,"10/26-29","T48.6_10.26","T48","_6",2.36567140568965e-05,281.155673491686,0.00590749776223231,369.012935483871,0.503225128041827,101.861870967742,1300.00838709677,74.1493037932001,35.5210419354839,715.476923076923,3262.08,0.780668492778558,-0.577747479816223,1142.37461538462,1870.91,"68C-812148|68H-982138","T48.6","Control","15:28:44",1,"T48"
"11",30,"10/26-29","b40-14.6_10.26","b40-14","_6",1.14770498255866e-05,264.732466542421,0.00915507224770118,382.122870967742,0.20318791800215,101.943741935484,1299.99838709677,22.8084781171632,36.3683064516129,715.476923076923,3262.08,0.780668492778558,-0.577747479816223,649.82564,977.11,"68C-811897|68H-711887","b40-14.6","Control","15:29:37",1,"b40-14"
"12",31,"10/26-29","NY1.9_10.26","NY1","_9",1.24393701549113e-05,211.509277364339,0.00232816035736057,383.9983,0.124243877555431,101.861,1299.99266666667,66.2872487578644,35.9716833333333,715.476923076923,3262.08,0.780668492778558,-0.577747479816223,808.548807692308,1073.34,"68C-812148|68H-982138","NY1.9","Control","15:30:43",1,"NY1"
