"Date","Treatment","Genotype","mean_value_6800_A","sem_6800_A","p_value"
"10-28","Control","9018",12.258869903,2.30664943949903,0.393124052047954
"10-28","Control","NY1",11.0880036542,1.15367386055549,0.849853211932006
"10-28","Control","T48",17.2817276804286,2.46210934340694,0.407635619523423
"10-28","Control","T52",11.9316148672222,1.13813563922745,0.134953078721509
"10-28","Control","TXNM0821",6.85870257963636,1.06432646044893,0.623907197152708
"10-28","Control","V60-96",9.84242309633333,0.994891660573456,0.671244141704813
"10-28","Control","Vru42",13.1742396331,1.09762859841256,0.654222384638236
"10-28","Control","b40-14",9.0866834017,1.366558471686,0.640410296658315
"10-28","Control","b42-34",11.44337124,NA,NA
"10-28","Drought","9018",9.80447293485714,1.53279479728639,0.393124052047954
"10-28","Drought","NY1",11.4161809302222,1.25788211342579,0.849853211932006
"10-28","Drought","T48",14.8238773731,1.42063985678529,0.407635619523423
"10-28","Drought","T52",9.80030923944445,0.706379922762961,0.134953078721509
"10-28","Drought","TXNM0821",6.21058946014286,0.739579879305708,0.623907197152708
"10-28","Drought","V60-96",10.45597204525,1.00914008104572,0.671244141704813
"10-28","Drought","Vru42",12.229204507,1.74116488845953,0.654222384638236
"10-28","Drought","b40-14",9.84868266911111,0.82719931662215,0.640410296658315
"10-28","Drought","b42-34",14.300680686,0.244696205554264,NA
"11-13","Control","9018",15.13646626975,1.54144027759799,0.00123858404404851
"11-13","Control","NY1",10.2063601166667,1.9546746446204,0.339279111923646
"11-13","Control","T48",19.728557875,0.834663974594778,0.013095538381265
"11-13","Control","T52",9.5560883075,1.39186794177653,0.262653059700965
"11-13","Control","TXNM0821",12.2709633595,1.37611648233574,0.00175252316223537
"11-13","Control","V60-96",12.5303590805,1.16121798214599,0.00274495394258952
"11-13","Control","Vru42",14.8468060916667,1.0810156322243,0.0194658462644455
"11-13","Control","b40-14",4.4202364626,0.899205901370589,0.0312644742828314
"11-13","Control","b42-34",10.2086680155,1.3141549080408,0.112224629178798
"11-13","Drought","9018",6.063364271,1.49835831361276,0.00123858404404851
"11-13","Drought","NY1",8.0871624675,0.574540267110515,0.339279111923646
"11-13","Drought","T48",8.0221305102,2.88767521682864,0.013095538381265
"11-13","Drought","T52",7.098557142,1.53114190217195,0.262653059700965
"11-13","Drought","TXNM0821",4.91365061866667,0.931276445868026,0.00175252316223537
"11-13","Drought","V60-96",6.43670034283333,1.0024112474316,0.00274495394258952
"11-13","Drought","Vru42",10.448517901625,1.22144962227462,0.0194658462644455
"11-13","Drought","b40-14",1.56773233783333,0.251083346554115,0.0312644742828314
"11-13","Drought","b42-34",7.460629555,0.819436009497227,0.112224629178798
"12-08","Control","9018",11.5329018605,0.901671597887164,0.00266267933378507
"12-08","Control","NY1",11.9312610078333,1.19442951387212,1.81797204926503e-05
"12-08","Control","T48",13.6123319818,1.2391617951307,1.31084906172867e-06
"12-08","Control","T52",8.4760140074,1.00637167800954,0.00362328418323829
"12-08","Control","TXNM0821",9.1216385663,0.903900218115215,0.00244379702213957
"12-08","Control","V60-96",10.2907571867,1.30443223316901,0.000334355348326143
"12-08","Control","Vru42",11.9569011842,0.714332733335897,8.85460157768725e-10
"12-08","Control","b40-14",3.874970143,0.588621073657755,0.0628771449266717
"12-08","Control","b42-34",11.4120305536,0.779421250277812,2.16649429751865e-08
"12-08","Drought","9018",1.82904158033333,2.30692304993285,0.00266267933378507
"12-08","Drought","NY1",3.8858503271,0.523724750326086,1.81797204926503e-05
"12-08","Drought","T48",0.136764949666667,0.198691380376394,1.31084906172867e-06
"12-08","Drought","T52",2.79683308888889,1.31668533293201,0.00362328418323829
"12-08","Drought","TXNM0821",4.5998617756,0.9125693489655,0.00244379702213957
"12-08","Drought","V60-96",3.223144632,0.759172786283832,0.000334355348326143
"12-08","Drought","Vru42",0.9756197917,0.570652547013043,8.85460157768725e-10
"12-08","Drought","b40-14",-4.212422536,3.54116147456089,0.0628771449266717
"12-08","Drought","b42-34",1.5667846925,0.459381010245116,2.16649429751865e-08
