"Date","Treatment","Genotype","mean_value_6800","sem_6800","p_value"
"10-28","Control","9018",0.192038944,0.0488627454240559,0.462578894944608
"10-28","Control","NY1",0.1326079536,0.021099448453216,0.32283004030796
"10-28","Control","T48",0.321527443142857,0.0712870784402649,0.129888572862342
"10-28","Control","T52",0.174367275444444,0.027527813235433,0.111919611780855
"10-28","Control","TXNM0821",0.0730392803636364,0.014998595272795,0.735835912816577
"10-28","Control","V60-96",0.187320346666667,0.0390310911155241,0.202951959860182
"10-28","Control","Vru42",0.2084422029,0.0200277079418025,0.861119853335047
"10-28","Control","b40-14",0.0969027235,0.0219164979979409,0.989655155884819
"10-28","Control","b42-34",0.221073419,NA,NA
"10-28","Drought","9018",0.146534174714286,0.0348234042451123,0.462578894944608
"10-28","Drought","NY1",0.171076000888889,0.0310864983135977,0.32283004030796
"10-28","Drought","T48",0.190461205,0.0318491147122748,0.129888572862342
"10-28","Drought","T52",0.119313062555556,0.0169763023557093,0.111919611780855
"10-28","Drought","TXNM0821",0.0664662665714286,0.0118999056390288,0.735835912816577
"10-28","Drought","V60-96",0.129091364,0.0182143608190141,0.202951959860182
"10-28","Drought","Vru42",0.217356179375,0.0453958293195508,0.861119853335047
"10-28","Drought","b40-14",0.0972391707777778,0.013044282639062,0.989655155884819
"10-28","Drought","b42-34",0.1814047088,0.0147455260574621,NA
"11-13","Control","9018",0.196426491375,0.0299724562758038,0.00255116453089891
"11-13","Control","NY1",0.129904841,0.0374417782482853,0.200029881358756
"11-13","Control","T48",0.4022523445,0.0189777637223419,9.51757724035361e-05
"11-13","Control","T52",0.100057743,0.0244072916684629,0.328625287787262
"11-13","Control","TXNM0821",0.154579386333333,0.0264642528450693,0.00653621761571412
"11-13","Control","V60-96",0.148388865,0.0209012813430368,0.00953938128145728
"11-13","Control","Vru42",0.236930720333333,0.0421979136276309,0.0487922338065459
"11-13","Control","b40-14",0.0321247334,0.00623954837850492,0.0148799351666583
"11-13","Control","b42-34",0.124928276,0.020683908392425,0.0514634096034801
"11-13","Drought","9018",0.0568402141666667,0.0207527223812051,0.00255116453089891
"11-13","Drought","NY1",0.0725172388333333,0.0147805283905141,0.200029881358756
"11-13","Drought","T48",0.0727616458,0.0335433677980476,9.51757724035361e-05
"11-13","Drought","T52",0.066676973,0.0214229516792204,0.328625287787262
"11-13","Drought","TXNM0821",0.0424948825,0.0099584848004417,0.00653621761571412
"11-13","Drought","V60-96",0.0648700518333333,0.0143805048255539,0.00953938128145728
"11-13","Drought","Vru42",0.122957050375,0.026508012412092,0.0487922338065459
"11-13","Drought","b40-14",0.00842459866666667,0.00290055903634832,0.0148799351666583
"11-13","Drought","b42-34",0.0651152465,0.017252049026104,0.0514634096034801
"12-08","Control","9018",0.1370464954,0.0168021418652699,7.82775691713816e-05
"12-08","Control","NY1",0.132164731916667,0.0193421712123901,0.000213889978901637
"12-08","Control","T48",0.2059923921,0.0444792598672934,0.00144894720959139
"12-08","Control","T52",0.0958795874,0.0177198692496791,0.00314169732159321
"12-08","Control","TXNM0821",0.088100489,0.0125773387452333,0.0204547220326501
"12-08","Control","V60-96",0.1172344093,0.0220548850947259,0.00264435471086524
"12-08","Control","Vru42",0.1317118318,0.0164505878795837,4.08998253781338e-05
"12-08","Control","b40-14",0.0297372269,0.00414012263145195,0.0361464236419602
"12-08","Control","b42-34",0.1433070221,0.0144751536814326,6.89920331890355e-06
"12-08","Drought","9018",0.0310594388888889,0.007873111570403,7.82775691713816e-05
"12-08","Drought","NY1",0.0290143465,0.00445299023592755,0.000213889978901637
"12-08","Drought","T48",0.00501197411111111,0.000831985592200193,0.00144894720959139
"12-08","Drought","T52",0.0239122138888889,0.00953969224380453,0.00314169732159321
"12-08","Drought","TXNM0821",0.0422956864,0.0129056960981847,0.0204547220326501
"12-08","Drought","V60-96",0.0272762047777778,0.00529823586591223,0.00264435471086524
"12-08","Drought","Vru42",0.0174099751,0.00524181235774865,4.08998253781338e-05
"12-08","Drought","b40-14",0.00985868357142857,0.00710039911455628,0.0361464236419602
"12-08","Drought","b42-34",0.0159454048,0.00314250805573244,6.89920331890355e-06
