"Date","Treatment","Genotype","mean_value_gsw","sem_gsw","p_value_gsw","mean_value_A","sem_A","p_value_A","mean_value_E","sem_E","p_value_E","mean_value_intrWUE_AE","sem_intrWUE_AE","p_value_intrWUE_AE","mean_value_instWUE_AGs","sem_instWUE_AGs","p_value_instWUE_AGs"
"10-28","Control","9018",0.192038943973014,0.0488627454588138,0.462578895359557,12.258869902881,2.30664943949656,0.393124052182132,0.00505837967193455,0.000963559994519179,0.539807093690773,76.2288452960149,7.64459042136766,0.95931449785184,2514.38926763351,276.459350660349,0.92131051863544
"10-28","Control","NY1",0.132607953528215,0.0210994484556322,0.322830039369553,11.0880036560985,1.15367386098238,0.849853213010449,0.00353602902157813,0.000647543673772841,0.191116303212623,90.04213218473,5.34289441557048,0.0496853949927341,3568.84490634057,327.422981267124,0.0197731075399137
"10-28","Control","T48",0.32152744314227,0.0712870784943744,0.129888573290217,17.2817276782119,2.46210934300506,0.407635619907077,0.00604066562601607,0.00103644016013647,0.921098058411089,69.5452567544058,12.2004492828445,0.214387973594185,3045.80248704388,247.604432430583,0.670710974577718
"10-28","Control","T52",0.174367275478409,0.027527813261817,0.111919610775902,11.931614867199,1.13813563940468,0.134953078704038,0.00521901701633585,0.000731439425614378,0.0642791673844106,77.4354197241028,8.2013349860481,0.332057475282538,2446.7064888501,169.403453888361,0.108786676017014
"10-28","Control","TXNM0821",0.0730392802326001,0.0149985952463037,0.735835912462603,6.85870257950608,1.06432646029257,0.623907197194805,0.00223875324889269,0.000476214451644294,0.446909089477212,101.11921357201,8.04305726460501,0.871626340837828,3465.78218263668,382.486493791381,0.0425634156151526
"10-28","Control","V60-96",0.18732034679617,0.0390310910929729,0.202951958678798,9.84242309575482,0.994891660556776,0.67124414106148,0.00554431150877222,0.00105032341739759,0.186573105216307,62.1954091077126,8.83956072897359,0.0492240497357277,2249.63811668618,480.680645626307,0.228287298400782
"10-28","Control","Vru42",0.208442202897951,0.0200277079434035,0.861119854953621,13.1742396339281,1.09762859821905,0.654222384668255,0.00592156007428705,0.000602614203194407,0.840701426223771,64.7102100399758,3.99917411199775,0.962357027380205,2395.91636454053,300.22878390212,0.491812677302781
"10-28","Control","b40-14",0.0969027234451297,0.021916498007487,0.989655155430483,9.08668340081589,1.36655847144183,0.640410296386619,0.00323500765280954,0.000875596001014649,0.908781554956022,109.670837298552,10.1771730682686,0.85451814597085,3619.70260608051,613.2579847074,0.404973858511979
"10-28","Control","b42-34",0.221073418534485,NA,NA,11.4433712373359,NA,NA,0.00900365147216136,NA,NA,51.76276421288,NA,NA,1270.97003618121,NA,NA
"10-28","Drought","9018",0.146534174715206,0.0348234042293664,0.462578895359557,9.80447293541054,1.5327947973902,0.393124052182132,0.00422351672289848,0.000910681570475629,0.539807093690773,75.6948182223232,6.85560708517742,0.95931449785184,2558.74017547566,341.841766424721,0.92131051863544
"10-28","Drought","NY1",0.171076000835275,0.0310864982445911,0.322830039369553,11.4161809297819,1.25788211338627,0.849853213010449,0.00508179652390562,0.000923332525421586,0.191116303212623,73.9665336376919,5.41156974007387,0.0496853949927341,2518.74127406557,239.561380354497,0.0197731075399137
"10-28","Drought","T48",0.190461205055778,0.0318491147643371,0.129888573290217,14.8238773732017,1.42063985699621,0.407635619907077,0.00589401932387334,0.00102067076606547,0.921098058411089,88.5491460399205,7.61478706080981,0.214387973594185,2890.09692242948,259.786172018358,0.670710974577718
"10-28","Drought","T52",0.119313062351727,0.0169763023919741,0.111919610775902,9.80030923919654,0.706379922581222,0.134953078704038,0.00356239131636432,0.000344996041763365,0.0642791673844106,86.9293863790509,4.61674077084194,0.332057475282538,2835.21898496035,153.52231436241,0.108786676017014
"10-28","Drought","TXNM0821",0.066466266433252,0.0118999056627526,0.735835912462603,6.21058946014355,0.739579879351193,0.623907197194805,0.00283411430502499,0.000591172162949688,0.446909089477212,99.3981084051081,6.71941535770906,0.871626340837828,2432.43751711033,270.867336929066,0.0425634156151526
