"Species","Genotype","species_geno","Total_Water_Use","WU"
"acerifolia","9018","acerifolia_9018","Control",59.198769266
"aestivalis","T52","aestivalis_T52","Control",55.692107239
"arizonica","b40-14","arizonica_b40-14","Control",73.733771308
"cinerea","b42-34","cinerea_b42-34","Control",44.5373631832
"mustangensis","T48","mustangensis_T48","Control",51.034487096
"riparia","NY1","riparia_NY1","Control",56.569553388
"riparia","TXNM0821","riparia_TXNM0821","Control",45.7305561732
"rupestris","Vru42","rupestris_Vru42","Control",62.07854666
"vulpina","V60-96","vulpina_V60-96","Control",30.7230383936
"acerifolia","9018","acerifolia_9018","Drought",16.7426922011667
"aestivalis","T52","aestivalis_T52","Drought",14.8554435918333
"arizonica","b40-14","arizonica_b40-14","Drought",19.4271446155
"cinerea","b42-34","cinerea_b42-34","Drought",15.5831355621667
"mustangensis","T48","mustangensis_T48","Drought",18.1631490235
"riparia","NY1","riparia_NY1","Drought",18.6790879761667
"riparia","TXNM0821","riparia_TXNM0821","Drought",20.3162119295
"rupestris","Vru42","rupestris_Vru42","Drought",21.4481692205
"vulpina","V60-96","vulpina_V60-96","Drought",7.4923285525
