"Date_group","Treatment","species_geno","mean_value_LWP","sem_LWP","mean_value_PD","sem_PD","mean_value_SWP","sem_SWP","mean_value_leafwp_predawn","sem_leafwp_predawn"
"11/1","Control","9018",11.25,0.35,NA,NA,NA,NA,NA,NA
"11/1","Control","NY1",11.3,0.9,NA,NA,NA,NA,NA,NA
"11/1","Control","T48",10.2,NA,NA,NA,NA,NA,NA,NA
"11/1","Control","T52",11.05,0.95,NA,NA,NA,NA,NA,NA
"11/1","Control","TXNM0821",10.2,0.2,NA,NA,NA,NA,NA,NA
"11/1","Control","Vru42",12.3,NA,NA,NA,NA,NA,NA,NA
"11/1","Control","b40-14",11.85,1.05,NA,NA,NA,NA,NA,NA
"11/1","Control","b42-34",13.25,1.15,NA,NA,NA,NA,NA,NA
"11/1","Drought","9018",11.9,1.7,NA,NA,NA,NA,NA,NA
"11/1","Drought","NY1",11.85,0.15,NA,NA,NA,NA,NA,NA
"11/1","Drought","T48",10.2,0.5,NA,NA,NA,NA,NA,NA
"11/1","Drought","T52",10.45,2.05,NA,NA,NA,NA,NA,NA
"11/1","Drought","TXNM0821",10.35,1.25,NA,NA,NA,NA,NA,NA
"11/1","Drought","Vru42",12.3,NA,NA,NA,NA,NA,NA,NA
"11/1","Drought","b40-14",12.65,0.75,NA,NA,NA,NA,NA,NA
"11/1","Drought","b42-34",10.5,1,NA,NA,NA,NA,NA,NA
"11/13","Control","9018",7.63333333333333,0.683942817622773,7.66666666666667,0.426354052141853,NA,NA,NA,NA
"11/13","Control","NY1",8.86666666666667,1.31951169419263,8.94,0.445645599103144,NA,NA,NA,NA
"11/13","Control","T48",9.4,0.832666399786453,9.65,0.51720402163943,NA,NA,NA,NA
"11/13","Control","T52",8.73333333333333,0.448454134902457,7.8,0.506951674225463,NA,NA,NA,NA
"11/13","Control","TXNM0821",7.8,1.3,5.9,0.504975246918104,NA,NA,NA,NA
"11/13","Control","V60-96",NA,NA,9.1,0,NA,NA,NA,NA
"11/13","Control","Vru42",9.83333333333333,0.726483157256779,10.74,0.631347764706584,NA,NA,NA,NA
