"species_geno","Treatment","mean_value_TotalLeafArea","sd_value_TotalLeafArea","p.value_TotalLeafArea","mean_value_canopy_biomass","sd_value_canopy_biomass","p.value_canopy_biomass","mean_value_root_biomass","sd_value_root_biomass","p.value_root_biomass"
"acerifolia_9018","Control",7746.28805766667,336.885614672127,0.000766682036320695,61.52,19.9231523610095,0.00422786273906943,17.70785,6.96773080923768,0.604444430735786
"acerifolia_9018","Drought",1598.634172,660.706797850951,0.000766682036320695,16.28,9.4774469135944,0.00422786273906943,15.37808,5.43575169935125,0.604444430735786
"aestivalis_T52","Control",8772.968177,1349.8024178798,0.00346316297724849,54.26,11.6420788521638,0.000436862155471001,23.07238,6.24580513360768,0.144579330693736
"aestivalis_T52","Drought",1108.836872,660.021569588262,0.00346316297724849,9.42,4.32458090455017,0.000436862155471001,17.38348,4.67267556673904,0.144579330693736
"arizonica_b40-14","Control",15815.6671666667,658.963288588604,0.00056569575465371,102.72,9.20798566462828,9.05340821208473e-07,11.93092,2.69071499549841,0.0152343659769796
"arizonica_b40-14","Drought",2555.11641966667,1288.59690046898,0.00056569575465371,23.76,6.25243952389785,9.05340821208473e-07,7.2325,1.97476918524672,0.0152343659769796
"cinerea_b42-34","Control",5607.241788,315.835311933759,NA,46.58,14.2347110964712,0.00676415294702322,5.98458,0.651028964025411,0.567393129343647
"cinerea_b42-34","Drought",857.985,196.285771389574,NA,16.72,5.30773021168183,0.00676415294702322,6.59334,2.11901005967409,0.567393129343647
"mustangensis_T48","Control",4639.821997,1477.41454034441,0.0481484527617219,45.86,16.1478481538563,0.00865474750124885,17.9715,3.563853929386,0.428090474165698
"mustangensis_T48","Drought",931.22,123.433335853812,0.0481484527617219,13.32,4.88333902161216,0.00865474750124885,15.97296,3.99026431994173,0.428090474165698
"riparia_NY1","Control",6162.883747,2149.69306113751,0.267351386538203,54.375,20.3277109713153,0.0440376652365652,16.18496,6.43523309546748,0.452158247343969
"riparia_NY1","Drought",3077.83090233333,2832.05528298393,0.267351386538203,20.72,19.8827060532514,0.0440376652365652,13.65146,2.74093388245685,0.452158247343969
"riparia_TXNM0821","Control",5638.44616133333,120.061960436272,9.62476941398536e-05,50.06,6.01855464376623,2.8192136817495e-05,14.74844,4.14285335282339,0.105916335117866
"riparia_TXNM0821","Drought",1733.997967,403.527626969005,9.62476941398536e-05,19.3,4.2573465914816,2.8192136817495e-05,10.72638,2.38187527528206,0.105916335117866
"rupestris_Vru42","Control",9259.101048,1077.18553774787,0.0028511130882085,52.25,21.6305108585073,0.00687117005095486,22.7076,4.68422446889557,0.0404191204861412
"rupestris_Vru42","Drought",1635.72181966667,409.31700249047,0.0028511130882085,13.8,3.26802692767364,0.00687117005095486,16.5118,0.85442587449117,0.0404191204861412
"vulpina_V60-96","Control",5792.91370333333,1640.68220444109,0.0272682373460567,32.26,12.3736817479681,0.00566365231395899,5.9905,NA,NA
"vulpina_V60-96","Drought",214.23,81.4445590570665,0.0272682373460567,4.76,4.04573849871689,0.00566365231395899,4.9356,NA,NA
