"","E","A","Ci","gsw","intrinsic","inst","Vcmax","Amax","J","LWP","PD","Porosity","Mesophyll_SV.Total_MesophyllV","Mesophyll_PV.Total.mesophyllV","Mesophyll_SV.Mesophyll_PV","Leaf_Width_um","Mesophyll_Width_um","SA.Spongy..SAWMES","SA.Palisade.SAWMES.","SA.SPOnGY.Palisade..SAWMES","Lat","Long","Annual.Mean.Temperature","Mean.Diurnal.Range..Mean.of.monthly..max.temp...min.temp..","Isothermality..BIO2.BIO7.....100.","Temperature.Seasonality..standard.deviation..100.","Max.Temperature.of.Warmest.Month","Min.Temperature.of.Coldest.Month","Temperature.Annual.Range..BIO5.BIO6.","Mean.Temperature.of.Wettest.Quarter","Mean.Temperature.of.Driest.Quarter","Mean.Temperature.of.Warmest.Quarter","Mean.Temperature.of.Coldest.Quarter","Annual.Precipitation","Precipitation.of.Wettest.Month","Precipitation.of.Driest.Month","Precipitation.Seasonality..Coefficient.of.Variation.","Precipitation.of.Wettest.Quarter","Precipitation.of.Driest.Quarter","Precipitation.of.Warmest.Quarter","Precipitation.of.Coldest.Quarter"
"E","","**0.7**","**0.94**","**0.91**","**-0.94**","-0.51","0.29","**0.67**","0.29","0.57","0.08","0.04","-0.52","0.41","-0.56","-0.02","-0.03","-0.52","0.41","-0.04","0.53","0.57","-0.26","-0.64","**-0.68**","0.6","-0.12","-0.31","0.39","-0.33","-0.55","0","-0.42","0.38","-0.59","**0.77**","**-0.83**","-0.51","**0.77**","-0.44","0.57"
"A","**0.7**","","0.59","**0.88**","-0.57","0.07","0.3","**0.82**","0.21","0.57","-0.31","0.14","-0.15","-0.01","-0.05","0.24","0.21","-0.15","-0.01","-0.14","0.11","0.21","0.31","-0.52","-0.56","0.46","0.53","0.14","0.29","0.21","-0.13","0.6","0.06","-0.04","-0.65","0.31","-0.6","**-0.68**","0.33","**-0.76**","0.07"
"Ci","**0.94**","0.59","","**0.87**","**-1**","**-0.67**","0.28","0.57","0.29","0.35","-0.1","-0.02","-0.49","0.45","-0.57","-0.16","-0.14","-0.49","0.45","0.02","0.59","**0.71**","-0.31","**-0.68**","**-0.69**","0.62","-0.18","-0.36","0.41","-0.4","-0.58","-0.05","-0.47","0.58","-0.42","**0.83**","**-0.81**","-0.31","**0.81**","-0.23","**0.67**"
"gsw","**0.91**","**0.88**","**0.87**","","**-0.86**","-0.37","0.19","**0.69**","0.14","0.48","-0.13","0.04","-0.38","0.29","-0.4","0.05","0.03","-0.38","0.29","-0.04","0.34","0.44","0.01","-0.58","-0.63","0.55","0.2","-0.11","0.37","-0.15","-0.35","0.3","-0.2","0.3","-0.55","0.61","**-0.75**","-0.5","0.62","-0.49","0.43"
"intrinsic","**-0.94**","-0.57","**-1**","**-0.86**","","**0.68**","-0.28","-0.56","-0.29","-0.35","0.08","0.01","0.51","-0.46","0.58","0.16","0.14","0.51","-0.46","-0.01","-0.59","**-0.7**","0.33","**0.67**","**0.68**","-0.61","0.21","0.38","-0.41","0.41","0.59","0.08","0.48","-0.58","0.41","**-0.83**","**0.8**","0.31","**-0.81**","0.22","**-0.67**"
"inst","-0.51","0.07","**-0.67**","-0.37","**0.68**","","-0.01","0.01","-0.08","0.09","-0.15","0.33","0.5","**-0.8**","**0.82**","0.62","0.6","0.5","**-0.8**","-0.33","-0.41","-0.62","0.36","0.34","0.23","-0.2","0.42","0.29","-0.06","0.41","0.31","0.34","0.36","**-0.83**","-0.24","**-0.68**","0.39","-0.39","**-0.67**","-0.5","**-0.81**"
"Vcmax","0.29","0.3","0.28","0.19","-0.28","-0.01","","0.53","**0.97**","0.18","-0.31","-0.17","-0.06","0.24","-0.17","-0.2","-0.15","-0.06","0.24","0.17","0.46","**0.67**","-0.12","**-0.75**","**-0.71**","0.58","0.03","-0.22","0.38","0.27","-0.39","0.14","-0.31","0.08","-0.5","0.43","-0.61","-0.53","0.4","-0.52","0.21"
"Amax","**0.67**","**0.82**","0.57","**0.69**","-0.56","0.01","0.53","","0.51","**0.78**","-0.35","0.12","-0.18","0.03","-0.06","0.04","0.02","-0.18","0.03","-0.12","0.04","0.32","0.33","**-0.68**","-0.52","0.3","0.44","0.25","0.02","0.36","-0.07","0.54","0.13","0.05","-0.5","0.37","-0.55","-0.59","0.37","**-0.71**","0.07"
"J","0.29","0.21","0.29","0.14","-0.29","-0.08","**0.97**","0.51","","0.24","-0.23","-0.13","-0.17","0.29","-0.24","-0.26","-0.21","-0.17","0.29","0.13","0.5","**0.73**","-0.18","**-0.75**","**-0.7**","0.57","-0.05","-0.26","0.36","0.29","-0.43","0.06","-0.36","0.16","-0.45","0.48","-0.59","-0.47","0.44","-0.42","0.27"
"LWP","0.57","0.57","0.35","0.48","-0.35","0.09","0.18","**0.78**","0.24","","0.22","0.27","-0.34","0.01","-0.13","0.15","0.11","-0.34","0.01","-0.27","-0.05","0.03","0.18","-0.35","-0.24","0.07","0.21","0.21","-0.13","0.27","-0.03","0.28","0.13","-0.12","-0.46","0.23","-0.33","-0.52","0.24","-0.58","0"
