,E,A,Ci,gsw,Intrinsic,Instantaneous,Vcmax,Amax,J,LWP,PD,,,,,,,,,,,
E,,0.9*,0.66,0.95*,-0.52,-0.69*,0.96*,0.86*,0.92*,0.14,0.53,,,,,,,,,,,
A,0.9*,,0.45,0.91*,-0.26,-0.47,0.89*,0.87*,0.83*,0.25,0.54,,,,,,,,,,,
Ci,0.66,0.45,,0.78*,-0.83*,-1*,0.49,0.34,0.4,0.23,0.41,,,,,,,,,,,
gsw,0.95*,0.91*,0.78*,,-0.58,-0.8*,0.86*,0.77*,0.78*,0.27,0.57,,,,,,,,,,,
Intrinsic,-0.52,-0.26,-0.83*,-0.58,,0.84*,-0.3,-0.07,-0.23,-0.12,-0.16,,,,,,,,,,,
Instantaneous,-0.69*,-0.47,-1*,-0.8*,0.84*,,-0.51,-0.36,-0.43,-0.23,-0.43,,,,,,,,,,,
Vcmax,0.96*,0.89*,0.49,0.86*,-0.3,-0.51,,0.94*,0.99*,0.01,0.47,,,,,,,,,,,
Amax,0.86*,0.87*,0.34,0.77*,-0.07,-0.36,0.94*,,0.94*,0.03,0.45,,,,,,,,,,,
J,0.92*,0.83*,0.4,0.78*,-0.23,-0.43,0.99*,0.94*,,-0.07,0.41,,,,,,,,,,,
LWP,0.14,0.25,0.23,0.27,-0.12,-0.23,0.01,0.03,-0.07,,0.84*,,,,,,,,,,,
PD,0.53,0.54,0.41,0.57,-0.16,-0.43,0.47,0.45,0.41,0.84*,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Porosity,MSV/TMV,MPV/TMV,MSV/MPV,Lwidth,Mwidth,SAS/SATM,SAP/SATM,SASP/SATM,,,,,,,,,,,,,
E,0.36,-0.5,0.09,-0.29,0.27,0.28,-0.5,0.09,-0.36,,,,,,,,,,,,,
A,0.46,-0.51,-0.01,-0.3,0.43,0.42,-0.51,-0.01,-0.46,,,,,,,,,,,,,
Ci,-0.04,-0.45,0.49,-0.41,-0.16,-0.14,-0.45,0.49,0.04,,,,,,,,,,,,,
gsw,0.29,-0.56,0.22,-0.4,0.21,0.22,-0.56,0.22,-0.29,,,,,,,,,,,,,
Intrinsic,0.32,0.32,-0.67*,0.49,0.48,0.48,0.32,-0.67*,-0.32,,,,,,,,,,,,,
Instantaneous,0.01,0.47,-0.48,0.43,0.15,0.13,0.47,-0.48,-0.01,,,,,,,,,,,,,
Vcmax,0.45,-0.39,-0.12,-0.11,0.41,0.43,-0.39,-0.12,-0.45,,,,,,,,,,,,,
Amax,0.43,-0.22,-0.27,0.06,0.49,0.51,-0.22,-0.27,-0.43,,,,,,,,,,,,,
