"","ID","Genotype","Treatment","Date","LWP.area","species_geno","SWP.area","PD.area","WPType","WP"
"1","1149.1","1149","Drought","11/9-11",23.59888889,"1149",NA,NA,"SWP",NA
"2","1149.1","1149","Drought","11/9-11",23.59888889,"1149",NA,NA,"LWP",9
"3","1149.1","1149","Drought","11/9-11",23.59888889,"1149",NA,NA,"PD",NA
"4","1149.1","1149","Drought","11/16-17",61.05375,"1149",NA,NA,"SWP",NA
"5","1149.1","1149","Drought","11/16-17",61.05375,"1149",NA,NA,"LWP",11.6
"6","1149.1","1149","Drought","11/16-17",61.05375,"1149",NA,NA,"PD",NA
"7","1149.1","1149","Drought","12/11-18",NA,"1149",49.96263889,60.72916667,"SWP",14.6
"8","1149.1","1149","Drought","12/11-18",NA,"1149",49.96263889,60.72916667,"LWP",13.5
"9","1149.1","1149","Drought","12/11-18",NA,"1149",49.96263889,60.72916667,"PD",11
"10","1149.10","1149","Control","11/9-11",24.34777778,"1149",NA,NA,"SWP",NA
"11","1149.10","1149","Control","11/9-11",24.34777778,"1149",NA,NA,"LWP",8.1
"12","1149.10","1149","Control","11/9-11",24.34777778,"1149",NA,NA,"PD",NA
"13","1149.10","1149","Control","11/16-17",67.15395833,"1149",NA,NA,"SWP",NA
"14","1149.10","1149","Control","11/16-17",67.15395833,"1149",NA,NA,"LWP",13.6
"15","1149.10","1149","Control","11/16-17",67.15395833,"1149",NA,NA,"PD",NA
"16","1149.10","1149","Control","12/11-18",38.66715278,"1149",NA,48.64784722,"SWP",10.5
"17","1149.10","1149","Control","12/11-18",38.66715278,"1149",NA,48.64784722,"LWP",12.4
"18","1149.10","1149","Control","12/11-18",38.66715278,"1149",NA,48.64784722,"PD",6.8
"19","1149.2","1149","Drought","11/01",66.39305556,"1149",NA,NA,"SWP",NA
"20","1149.2","1149","Drought","11/01",66.39305556,"1149",NA,NA,"LWP",10.7
"21","1149.2","1149","Drought","11/01",66.39305556,"1149",NA,NA,"PD",NA
