"species_geno","Treatment","Species","Genotype","mean_Porosity","sem_Porosity","mean_SpongyV_TotalMesophyllV","sem_SpongyV_TotalMesophyllV","mean_PalisadeV_TotalMesophyllV","sem_PalisadeV_TotalMesophyllV","mean_SpongyV_PalisadeV","sem_SpongyV_PalisadeV","mean_Leaf_Width_um","sem_Leaf_Width_um","mean_Mesophyll_Width_um","sem_Mesophyll_Width_um","p_value_Porosity","p_value_SpongyV_TotalMesophyllV","p_value_PalisadeV_TotalMesophyllV","p_value_SpongyV_PalisadeV","p_value_Leaf_Width_um","p_value_Mesophyll_Width_um"
"acerifolia_9018","Control","acerifolia","9018",0.40789494985,0.0083629440942979,0.341993987525,0.00790300303972646,0.250111062625,0.00822259444041968,1.37314153425,0.0649490818159573,218.10019165,5.62833241529109,180.110592675,4.8980070478829,0.330910323573817,0.00230113723557816,0.0011997619716921,0.000833250098783576,0.345971549365094,0.475808744970261
"acerifolia_9018","Drought","acerifolia","9018",0.419986973175,0.00778767032496044,0.264858423975,0.0116212799487382,0.315154602875,0.00471745666501412,0.842384597575,0.0472458268783274,224.9891308,3.49591796096438,184.532448725,2.98295738764722,0.330910323573817,0.00230113723557816,0.0011997619716921,0.000833250098783576,0.345971549365094,0.475808744970261
"aestivalis_T52","Control","aestivalis","T52",0.2313690321,0.00388404715269539,0.402020209375,0.0077358161063858,0.366610758525,0.0104883405244138,1.100994536775,0.0516702235365907,152.765527175,2.48492599156162,119.3964541,2.20970451735684,0.836957874826339,0.0075997909190419,0.0444505514616158,0.0258742097045651,0.789921143600078,0.774328597653606
"aestivalis_T52","Drought","aestivalis","T52",0.234507822475,0.0136181909786051,0.3628366581,0.00521457145896868,0.4026555194,0.00956528223289837,0.901999879125,0.0159796542308057,154.85163945,6.85921361941883,121.40311195,6.12813733281563,0.836957874826339,0.0075997909190419,0.0444505514616158,0.0258742097045651,0.789921143600078,0.774328597653606
"arizonica_b40-14","Control","arizonica","b40-14",0.299135165066667,0.00743471790860566,0.3397622516,0.00803402778774995,0.361102583333333,0.0134733757144169,0.945004918266667,0.0564059908834485,154.4511991,3.58771145682283,122.638422,3.86573831178367,0.364395258079273,0.246380091559459,0.926679270626362,0.522341232032531,0.0105948288370136,0.0307652950069526
"arizonica_b40-14","Drought","arizonica","b40-14",0.3146320106,0.0134447362145308,0.322439677,0.0104639798384483,0.3629283124,0.0131405001037135,0.8930628392,0.0492904265704259,134.302490575,2.74418807813254,106.79169895,2.54894699371611,0.364395258079273,0.246380091559459,0.926679270626362,0.522341232032531,0.0105948288370136,0.0307652950069526
"cinerea_b42-34","Control","cinerea","b42-34",0.37226682155,0.0158662499623638,0.359076179775,0.0146942223197406,0.268656998625,0.00674602423252388,1.33923814125,0.0662490754899344,175.3761956,9.12021586866619,143.345779825,9.20734345927068,0.00305148141948052,0.011708836128011,0.0125862607877304,0.295809098735278,0.655832557396883,0.57873269286662
"cinerea_b42-34","Drought","cinerea","b42-34",0.26261222735,0.016516372849915,0.435156746775,0.0153680329107931,0.302231025875,0.00675988221973392,1.44197795525,0.0604077683890912,180.88777685,7.38240833216498,150.1926125,7.09840163359959,0.00305148141948052,0.011708836128011,0.0125862607877304,0.295809098735278,0.655832557396883,0.57873269286662
"hybrid_TXNM0821","Control","hybrid","TXNM0821",0.4606828695,0.0102189473590434,0.279385453175,0.0106676961681819,0.259931677325,0.00357108515486954,1.07593102175,0.047282517649775,236.194770925,3.20309797847581,196.022422,3.40939939259249,0.787174190658514,0.0068914838480873,0.0625874531087052,0.00381508844191241,0.835782902269353,0.77399608434608
"hybrid_TXNM0821","Drought","hybrid","TXNM0821",0.4656954082,0.0144123567266244,0.22398179615,0.00664674181259921,0.3103227956,0.0177052982645465,0.730981370975,0.0570978108720651,237.97428925,7.39250337550622,198.171584925,6.18541463494811,0.787174190658514,0.0068914838480873,0.0625874531087052,0.00381508844191241,0.835782902269353,0.77399608434608
"mustangensis_T48","Control","mustangensis","T48",0.37923059,0.0165875329354966,0.2716553969,0.0132265313503786,0.3491140131,0.00979296335791431,0.780077287,0.0440023996358914,203.76658695,8.29711375892433,161.922278375,6.75879341655704,0.743646473974038,0.84698565040715,0.789631221967322,0.99722427294171,0.840128640518594,0.6845250724629
"mustangensis_T48","Drought","mustangensis","T48",0.372099180975,0.0124607686075107,0.2747854518,0.00785768732409006,0.3531153672,0.0104756994126519,0.780275741775,0.0321945374784978,201.4381582,7.29105788394128,158.20965005,5.45082835003045,0.743646473974038,0.84698565040715,0.789631221967322,0.99722427294171,0.840128640518594,0.6845250724629
