Species,Treatment,Rep,Slices_per_stack,Porosity,Mesophyll_SV/Total_MesophyllV,Mesophyll_PV/Total mesophyllV,Mesophyll_SV/Mesophyll_PV,Leaf_Width_pixel,Leaf_Width_um,Mesophyll_Width_pixel,Mesophyll_Width_um
TXNM0821,C,1,275,0.4309892874,0.3104432053,0.2585675073,1.200627289,361.4042595,234.9127687,295.0753661,191.798988
TXNM0821,C,2,275,0.4747362681,0.2629252668,0.2623384651,1.002236812,374.2311532,243.2502496,314.5836052,204.4793434
TXNM0821,C,3,275,0.473582731,0.2755167383,0.2509005307,1.098111421,350.8656054,228.0626435,291.3363273,189.3686127
TXNM0821,C,4,275,0.4634231915,0.2686566023,0.2679202062,1.002748565,367.0052645,238.5534219,305.2965291,198.4427439
TXNM0821,D,1,275,0.4753302689,0.2419014501,0.282768281,0.8554759016,399.0412664,259.3768231,331.7067907,215.6094139
TXNM0821,D,2,275,0.4685918271,0.2105535844,0.3208545885,0.6562274375,350.2950976,227.6918134,293.2254869,190.5965665
TXNM0821,D,3,275,0.4254234745,0.2186838033,0.3558927221,0.614465511,351.5857335,228.5307268,289.6763486,188.2896266
TXNM0821,D,4,275,0.4934360623,0.2247883468,0.2817755908,0.7977566338,363.5350672,236.2977937,304.9088195,198.1907327
Vru42,C,1,500,0.3245197485,0.3777062333,0.2977740183,1.268432469,279.7730868,181.8525064,226.6160387,147.3004251
Vru42,C,2,500,0.3274831817,0.3556714339,0.3168453845,1.122539419,293.1978864,190.5786262,241.7603738,157.144243
Vru42,C,3,500,0.257619214,0.3458980091,0.3964827769,0.8724162289,263.0126026,170.9581917,215.5385363,140.1000486
Vru42,C,4,500,0.3395747977,0.3479671978,0.3124580045,1.113644691,275.0970143,178.8130593,223.9998407,145.5998964
Vru42,D,1,500,0.3144491174,0.3461976115,0.3393532712,1.020168777,288.2909885,187.3891425,239.9855455,155.9906046
Vru42,D,2,500,0.3579266531,0.2938024822,0.3482708647,0.8436033902,300.1405695,195.0913702,247.0568167,160.5869308
Vru42,D,3,500,0.3226470054,0.3895771531,0.2877758416,1.353752111,298.5835163,194.0792856,247.3869888,160.8015427
Vru42,D,4,500,0.3174626083,0.3369600823,0.3455773094,0.9750642565,282.7820343,183.8083223,229.9859032,149.4908371
V60_96,C,1,275,0.3618184159,0.2427109973,0.3954705868,0.6137270518,201.1805224,130.7673395,160.361213,104.2347884
V60_96,C,2,275,0.3560041997,0.2104134988,0.4335823016,0.4852907926,244.7675814,159.0989279,199.7494381,129.8371348
V60_96,C,3,275,0.3298767875,0.22221478,0.4479084324,0.4961165362,213.8993105,139.0345518,172.5333978,112.1467086
V60_96,C,4,275,0.2979122506,0.2454259252,0.4566618242,0.5374347321,198.7423449,129.1825242,156.7173662,101.866288
V60_96,D,1,500,0.2630929083,0.2104830554,0.5264240363,0.3998355714,221.0541899,143.6852234,182.5829594,118.6789236
V60_96,D,2,500,0.2818296598,0.2289965025,0.4891738377,0.4681290879,241.599636,157.0397634,202.5664925,131.6682201
V60_96,D,3,500,0.2906072183,0.1976023663,0.5117904154,0.3861001699,270.3471085,175.7256205,229.8053446,149.373474
V60_96,D,4,500,0.3076802683,0.2085476082,0.4837721235,0.4310864519,257.5415293,167.401994,213.4793762,138.7615945
9018,C,1,500,0.4250145889,0.3426098198,0.2323755913,1.47437955,332.5603333,216.1642167,277.4878243,180.3670858
9018,C,2,500,0.3952153623,0.3333472407,0.271437397,1.228081482,313.3610044,203.6846528,256.5879652,166.7821774
9018,C,3,500,0.3919717311,0.3639272601,0.2441010088,1.490887981,354.5430982,230.4530138,292.5589944,190.1633463
9018,C,4,500,0.4193781171,0.3280916295,0.2525302534,1.299217124,341.6905897,222.0988833,281.7380941,183.1297612
9018,D,1,500,0.4253914595,0.2665543987,0.3080541419,0.8652842551,335.3928938,218.005381,274.7028026,178.5568217
9018,D,2,500,0.4394352255,0.2320988858,0.3284658887,0.706614884,338.792335,220.2150177,278.7095869,181.1612315
9018,D,3,500,0.4051625412,0.2859630691,0.3088743897,0.9258231779,352.5238954,229.140532,286.7316137,186.3755489
9018,D,4,500,0.4099586665,0.2748173423,0.3152239912,0.8718160733,357.8393731,232.5955925,295.4402966,192.0361928
b40-14,C,1,500,0.2843022842,0.3305181223,0.3851795935,0.8580883512,247.1706025,160.6608916,199.5678952,129.7191319
b40-14,C,2,500,0.3074540051,0.3330024727,0.3595435222,0.9261812606,228.0503137,148.2327039,179.0912335,116.4093018
b40-14,C,3,500,0.3056492059,0.3557661598,0.3385846343,1.050745143,237.630772,154.4600018,187.3643574,121.7868323
b40-14,D,1,500,0.2769806596,0.3409557295,0.3820636109,0.8924056616,198.2937912,128.8909643,157.5660044,102.4179029
b40-14,D,2,500,0.3230147806,0.3331470015,0.3438382179,0.9689062594,217.6548533,141.4756546,173.6355317,112.8630956
b40-14,D,3,500,0.340511549,0.3224813944,0.3370070566,0.9568980473,202.1725612,131.4121648,158.0596684,102.7387844
b40-14,D,4,500,0.3180210532,0.2931745826,0.3888043642,0.7540413885,208.3556593,135.4311786,167.9184814,109.1470129
b42-34,C,1,500,0.3420925532,0.3966832447,0.261224202,1.518554719,252.4542419,164.0952572,206.654396,134.3253574
b42-34,C,2,500,0.3928110343,0.3494845166,0.2577044491,1.356144676,270.7662545,175.9980654,226.0874042,146.9568127
b42-34,C,3,500,0.3484293231,0.3636738455,0.2878968313,1.263208921,309.04012,200.876078,257.4782227,167.3608448
b42-34,C,4,500,0.4057343756,0.3264631123,0.2678025121,1.219044249,246.9775105,160.5353818,191.907853,124.7401044
b42-34,D,1,500,0.3099776957,0.4002913131,0.2897309912,1.381596465,256.9557852,167.0212604,211.8023016,137.6714961
b42-34,D,2,500,0.2459387394,0.4530845268,0.3009767338,1.505380569,271.1886846,176.272645,222.9465297,144.9152443
b42-34,D,3,500,0.2591194064,0.4196081694,0.3212724242,1.306082122,274.6423501,178.5175276,227.160786,147.6545109
b42-34,D,4,500,0.2354130679,0.4676429778,0.2969439543,1.574852665,310.3687299,201.7396744,262.3526133,170.5291987
T48,C,1,500,0.3311709738,0.3018875915,0.3669414347,0.8227132808,309.5845318,201.2299456,246.4632397,160.2011058
T48,C,2,500,0.3980253609,0.2805892978,0.3213853413,0.8730619036,320.0215775,208.0140254,255.5582644,166.1128719
T48,C,3,500,0.404123843,0.2390627011,0.3568134559,0.6699935137,281.3986273,182.9091077,222.2951449,144.4918442
T48,C,4,500,0.3836021823,0.2650819972,0.3513158205,0.7545404499,342.9434909,222.9132691,272.128141,176.8832916
T48,D,1,500,0.3796939187,0.2759856047,0.3443204766,0.8015370083,300.2099532,195.1364696,235.3013729,152.9458924
T48,D,2,500,0.3500937823,0.2664883277,0.38341789,0.6950336294,283.9533393,184.5696706,224.3108427,145.8020478
T48,D,3,500,0.3546316735,0.2962985257,0.3490698008,0.8488231437,320.4119939,208.267796,252.2829946,163.9839465
T48,D,4,185,0.4039773494,0.2603693491,0.3356533014,0.7757091857,335.0441486,217.7786966,261.7026361,170.1067135
NY1,C,1,500,0.3210319499,0.3261489463,0.3528191038,0.9244084088,267.5253963,173.8915076,229.4979833,149.1736891
NY1,C,2,500,0.3344360528,0.3196390436,0.3459249035,0.9240128143,241.9877303,157.2920247,207.4598668,134.8489134
NY1,C,3,500,0.335101072,0.2755138293,0.3893850987,0.7075613069,275.6672169,179.183691,229.5459452,149.2048644
NY1,C,4,500,0.3332092781,0.2885541602,0.3782365617,0.7628933567,265.4467858,172.5404108,220.9154695,143.5950552
NY1,D,1,500,0.3807263936,0.2940785889,0.3251950175,0.904314559,250.49226,162.819969,206.9594713,134.5236563
NY1,D,2,500,0.3406590811,0.3155263228,0.3438145961,0.9177223026,241.4355137,156.9330839,197.6172792,128.4512315
NY1,D,3,500,0.3619168554,0.3018683782,0.3362147664,0.8978439032,266.3830009,173.1489506,222.3409325,144.5216061
NY1,D,4,500,0.3262153553,0.2373395853,0.4364450594,0.5438017459,292.8628189,190.3608323,239.8063995,155.8741597
T52,C,1,500,0.2338088142,0.4169017211,0.3492894647,1.193570844,229.7888363,149.3627436,178.6496124,116.1222481
T52,C,2,500,0.2405167012,0.4114186186,0.3480646803,1.182017717,231.318491,150.3570192,181.3002239,117.8451455
T52,C,3,500,0.2290583345,0.3823447515,0.388596914,0.9839109311,246.359934,160.1339571,193.7255637,125.9216164
T52,C,4,500,0.2220922785,0.3974157463,0.3804919751,1.044478655,232.6282905,151.2083888,181.0720099,117.6968064
T52,D,1,500,0.2411480958,0.355450208,0.4034016961,0.8811321604,237.6572147,154.4771896,187.8837808,122.1244575
T52,D,2,477,0.2592503219,0.3529347581,0.38781492,0.910059773,252.6571242,164.2271307,201.5615542,131.0150103
T52,D,3,500,0.1956136584,0.3749629498,0.4294233918,0.873177747,254.0254719,165.1165567,197.8037721,128.5724519
T52,D,4,500,0.2420192138,0.3679987165,0.3899820697,0.9436298361,208.5933551,135.5856808,159.8469663,103.9005281
