Genotype,Treatment,Rep,Vcmax,J
9018,Control,1,90.73792423,166.35884
9018,Control,2,180.0243794,236.7960508
9018,Control,3,196.4097249,237.4436201
9018,Drought,1,122.6666512,190.259038
9018,Drought,2,169.9331619,245.9484409
9018,Drought,3,67.02898731,122.2266223
T52,Control,1,205.2954502,296.6524052
T52,Control,2,222.9557198,249.1169728
T52,Control,3,113.0466906,165.5103991
T52,Drought,1,10.27448892,46.72661508
T52,Drought,2,17.61688964,50.57819104
T52,Drought,3,13.27691593,29.46316071
Vru42,Control,1,220.6178844,291.6838817
Vru42,Control,2,166.0130739,267.3939921
Vru42,Control,3,143.6209096,172.8488501
Vru42,Control,4,81.44096606,111.2585696
Vru42,Control,5,78.27268754,90.23321318
Vru42,Control,6,105.5020845,136.1567881
Vru42,Drought,1,73.3076098,117.8822643
Vru42,Drought,2,89.71794361,149.1461572
Vru42,Drought,3,58.61309284,83.93456242
b42-34,Control,1,134.6315164,223.4154917
b42-34,Control,2,184.1847294,235.8806548
b42-34,Control,3,162.3781698,204.0924246
b42-34,Drought,1,130.9654841,229.6927155
b42-34,Drought,2,102.954326,178.2569405
b42-34,Drought,3,94.2017467,87.34617032
b40-14,Control,1,97.96480957,121.8465309
b40-14,Control,2,103.0147931,166.5871066
b40-14,Control,3,136.2922918,194.4610569
b40-14,Drought,1,7.364815867,44.41027959
b40-14,Drought,2,6.647478588,33.82198249
b40-14,Drought,3,13.63121677,1.535788698
V90-96,Control,1,164.5332783,295.0440125
V90-96,Control,2,188.4985845,266.4406916
V90-96,Control,3,146.3548998,168.3431649
V90-96,Drought,1,105.7952242,169.4728622
V90-96,Drought,2,64.29089008,65.48830873
V90-96,Drought,3,133.8186789,174.4612628
V90-96,Drought,4,133.4834926,177.6941077
NY1,Control,1,204.7606988,288.5208084
NY1,Control,2,224.4367377,285.5060204
NY1,Control,3,186.1916044,240.9808539
NY1,Drought,1,157.3116573,253.120283
NY1,Drought,2,105.3831996,170.5173107
NY1,Drought,3,160.6666071,197.447407
NY1,Drought,4,142.0486607,242.7479548
TXNM0821,Control,1,153.8083998,245.1105211
TXNM0821,Control,2,114.4787501,121.8273725
TXNM0821,Control,3,150.7784019,263.013392
TXNM0821,Control,4,118.818483,150.4787342
TXNM0821,Control,5,162.2093148,224.5274128
TXNM0821,Control,6,146.7739252,176.4690622
TXNM0821,Drought,1,48.69639016,91.62561834
TXNM0821,Drought,2,71.40156597,104.7960356
TXNM0821,Drought,3,77.09120905,107.7281686
TXNM0821,Drought,4,63.96270835,86.17444875
TXNM0821,Drought,5,67.40646074,155.3011666
TXNM0821,Drought,6,85.1016808,90.81113495
T48,Control,1,159.1589779,184.4583943
T48,Control,2,139.2774786,193.7235707
T48,Control,3,193.223463,244.5527986
T48,Control,4,124.506918,186.5170349
T48,Control,5,154.4103247,197.1518877
T48,Drought,1,159.2964367,188.4975462
T48,Drought,2,104.8276545,163.7899381
T48,Drought,3,148.9635786,199.3287015
