A,Ci,gsw,E,intrWUE_AE,instWUE_AGs,Vcmax,J,LWP,PD,Porosity,Mesophyll_SV/Total_MesophyllV,Mesophyll_PV/Total mesophyllV,Mesophyll_SV/Mesophyll_PV,Leaf_Width_um,Mesophyll_Width_um,SASP/SAWM,SAPa/SAWM,SA(SP+PA)/SAWM,Lat,Long,Annual.Mean.Temperature,Mean.Diurnal.Range..Mean.of.monthly..max.temp...min.temp..,Isothermality..BIO2.BIO7.....100.,Temperature.Seasonality..standard.deviation..100.,Max.Temperature.of.Warmest.Month,Min.Temperature.of.Coldest.Month,Temperature.Annual.Range..BIO5.BIO6.,Mean.Temperature.of.Wettest.Quarter,Mean.Temperature.of.Driest.Quarter,Mean.Temperature.of.Warmest.Quarter,Mean.Temperature.of.Coldest.Quarter,Annual.Precipitation,Precipitation.of.Wettest.Month,Precipitation.of.Driest.Month,Precipitation.Seasonality..Coefficient.of.Variation.,Precipitation.of.Wettest.Quarter,Precipitation.of.Driest.Quarter,Precipitation.of.Warmest.Quarter,Precipitation.of.Coldest.Quarter
2.222529131,136.1332143,0.014656753,0.607382577,3.659191449,151.6385711,122.6666512,190.259038,-11.3,-8.1,0.475330269,0.24190145,0.282768281,0.855475902,259.3768231,215.6094139,0.24190145,0.282768281,0.524669731,34.0083,-100.282,16.5,15,38,853.6,35.8,-3.5,39.3,25.2,5.2,27.3,5.2,565,83,17,49,213,61,191,61
2.382073838,145.217179,0.01637403,0.686423616,3.470267899,145.4787777,169.9331619,245.9484409,-14.9,-9.5,0.468591827,0.210553584,0.320854589,0.656227438,227.6918134,190.5965665,0.210553584,0.320854589,0.531408173,30.6327,-97.6772,19.2,12.4,38,705,35,2.5,32.5,23.1,10.9,27.9,9.8,837,114,43,31,278,163,182,163
2.022276146,213.9428157,0.021346494,1.345785142,1.502673854,94.73575065,67.02898731,122.2266223,-14.5,-7.1,0.425423475,0.218683803,0.355892722,0.614465511,228.5307268,188.2896266,0.218683803,0.355892722,0.574576526,27.4525,-107.712,15.5,18.1,59,438.6,30.6,0,30.6,20.3,14.9,20.9,9.9,891,226,10,92,549,45,503,128
5.037318763,187.9307592,0.045575271,2.597135269,1.939567347,110.5274569,10.27448892,46.72661508,-14,-11.5,0.493436062,0.224788347,0.281775591,0.797756634,236.2977937,198.1907327,0.224788347,0.281775591,0.506563938,25.1085528,-99.8062,22.1,13.9,48,516,35.9,7.1,28.8,25.7,15.1,28.2,15.1,849,180,19,68,393,65,297,65
-0.185704721,518.5170929,0.002014936,0.080128879,-2.317575415,-92.16405654,17.61688964,50.57819104,-14.5,-11.5,0.314449117,0.346197612,0.339353271,1.020168777,187.3891425,155.9906046,0.346197612,0.339353271,0.685550883,30.7592,-98.7003,18.8,14.5,41,720.9,35.6,0.7,34.9,22.9,9.1,27.7,9.1,701,101,30,35,240,113,179,113
-0.102868973,389.7782849,0.005368552,0.346963158,-0.296483849,-19.16139911,13.27691593,29.46316071,-14,-10.3,0.357926653,0.293802482,0.348270865,0.84360339,195.0913702,160.5869308,0.293802482,0.348270865,0.642073347,43.841723,-73.387025,7.2,12.3,29,996.8,27.8,-13.6,41.4,18.4,-5,19.5,-6.3,919,104,53,18,275,172,273,178
-0.084388288,428.2759894,0.002128269,0.11399871,-0.740256524,-39.65113241,73.3076098,117.8822643,-14.6,-11.2,0.322647005,0.389577153,0.287775842,1.353752111,194.0792856,160.8015427,0.389577153,0.287775842,0.677352995,35.6689,-105.3361,6.7,16.8,47,667.1,25.2,-10.5,35.7,14.8,-0.4,15.5,-1.5,526,100,21,60,251,69,244,69
4.204011708,178.0934752,0.033436732,1.028887345,4.085978635,125.7303395,89.71794361,149.1461572,-13,-8.6,0.317462608,0.336960082,0.345577309,0.975064257,183.8083223,149.4908371,0.336960082,0.345577309,0.682537392,37.76774,-90.3835,12.4,13.1,34,892.4,31.4,-6.9,38.3,12.4,0.4,23.6,0.4,1105,117,62,18,330,215,290,215
3.005834464,156.1407514,0.021269927,0.632878904,4.74946225,141.3185107,58.61309284,83.93456242,-14,-10.9,0.263092908,0.210483055,0.526424036,0.399835571,143.6852234,118.6789236,0.210483055,0.526424036,0.736907092,40.380579,-75.032293,10.7,11.7,32,877,29.5,-6.8,36.3,21,-0.8,21.9,-0.8,1172,117,75,12,329,254,325,254
2.956705345,203.6067444,0.028074892,1.337401016,2.210784432,105.3149303,130.9654841,229.6927155,-12.9,-9.7,0.28182966,0.228996503,0.489173838,0.468129088,157.0397634,131.6682201,0.228996503,0.489173838,0.71817034,34.0083,-100.282,16.5,15,38,853.6,35.8,-3.5,39.3,25.2,5.2,27.3,5.2,565,83,17,49,213,61,191,61
4.280005297,40.50761007,0.020161238,0.742751173,5.762367602,212.2888092,102.954326,178.2569405,-11.6,-8.3,0.290607218,0.197602366,0.511790415,0.38610017,175.7256205,149.373474,0.197602366,0.511790415,0.709392782,30.6327,-97.6772,19.2,12.4,38,705,35,2.5,32.5,23.1,10.9,27.9,9.8,837,114,43,31,278,163,182,163
4.020725736,141.3927284,0.026974414,0.906638233,4.43476305,149.0570162,94.2017467,87.34617032,-11.9,-9,0.307680268,0.208547608,0.483772124,0.431086452,167.401994,138.7615945,0.208547608,0.483772124,0.692319732,27.4525,-107.712,15.5,18.1,59,438.6,30.6,0,30.6,20.3,14.9,20.9,9.9,891,226,10,92,549,45,503,128
2.013886531,163.505265,0.01571826,0.982010129,2.050779795,128.124014,7.364815867,44.41027959,-14.1,-6.3,0.42539146,0.266554399,0.308054142,0.865284255,218.005381,178.5568217,0.266554399,0.308054142,0.574608541,25.1085528,-99.8062,22.1,13.9,48,516,35.9,7.1,28.8,25.7,15.1,28.2,15.1,849,180,19,68,393,65,297,65
3.714468342,220.4520754,0.037819488,1.257076366,2.95484701,98.21572328,6.647478588,33.82198249,-11.5,-7.1,0.439435226,0.232098886,0.328465889,0.706614884,220.2150177,181.1612315,0.232098886,0.328465889,0.560564775,30.7592,-98.7003,18.8,14.5,41,720.9,35.6,0.7,34.9,22.9,9.1,27.7,9.1,701,101,30,35,240,113,179,113
