E,A,Ci,gsw,intrinsic,inst,Vcmax,J,Amax,Lat,Long,Annual.Mean.Temperature,Mean.Diurnal.Range..Mean.of.monthly..max.temp...min.temp..,Isothermality..BIO2.BIO7.....100.,Temperature.Seasonality..standard.deviation..100.,Max.Temperature.of.Warmest.Month,Min.Temperature.of.Coldest.Month,Temperature.Annual.Range..BIO5.BIO6.,Mean.Temperature.of.Wettest.Quarter,Mean.Temperature.of.Driest.Quarter,Mean.Temperature.of.Warmest.Quarter,Mean.Temperature.of.Coldest.Quarter,Annual.Precipitation,Precipitation.of.Wettest.Month,Precipitation.of.Driest.Month,Precipitation.Seasonality..Coefficient.of.Variation.,Precipitation.of.Wettest.Quarter,Precipitation.of.Driest.Quarter,Precipitation.of.Warmest.Quarter,Precipitation.of.Coldest.Quarter,Porosity,Mesophyll_SV/Total_MesophyllV,Mesophyll_PV/Total mesophyllV,Mesophyll_SV/Mesophyll_PV,Leaf_Width_um,Mesophyll_Width_um,SA(Spongy)/SAWMES,SA(Palisade/SAWMES),SA(SPOnGY+Palisade)/SAWMES,LWP,PD
0.00318585,10.9119004,241.273178,0.12304935,88.67905763,3425.114302,122.6666512,190.259038,21.98849304,34.0083,-100.282,16.5,15,38,853.6,35.8,-3.5,39.3,25.2,5.2,27.3,5.2,565,83,17,49,213,61,191,61,0.475330269,0.24190145,0.282768281,0.855475902,259.3768231,215.6094139,0.24190145,0.282768281,0.524669731,-11.3,-8.1
0.00357416,8.6527644,246.669591,0.10423642,83.01095145,2420.92251,169.9331619,245.9484409,20.62148137,30.6327,-97.6772,19.2,12.4,38,705,35,2.5,32.5,23.1,10.9,27.9,9.8,837,114,43,31,278,163,182,163,0.468591827,0.210553584,0.320854589,0.656227438,227.6918134,190.5965665,0.210553584,0.320854589,0.531408173,-14.9,-9.5
0.0008169,7.79425013,111.728987,0.04474125,174.2072501,9541.253679,67.02898731,122.2266223,11.25872441,27.4525,-107.712,15.5,18.1,59,438.6,30.6,0,30.6,20.3,14.9,20.9,9.9,891,226,10,92,549,45,503,128,0.425423475,0.218683803,0.355892722,0.614465511,228.5307268,188.2896266,0.218683803,0.355892722,0.574576526,-14.5,-8.3
0.00034695,1.82220611,68.2287921,0.00919998,198.0663121,5252.071221,10.27448892,46.72661508,5.826350655,25.1085528,-99.8062,22.1,13.9,48,516,35.9,7.1,28.8,25.7,15.1,28.2,15.1,849,180,19,68,393,65,297,65,0.493436062,0.224788347,0.281775591,0.797756634,236.2977937,198.1907327,0.224788347,0.281775591,0.506563938,-14.5,-7.1
0.0005045,2.04473075,233.591106,0.02161196,94.61107415,4052.984638,17.61688964,50.57819104,7.27062076,30.7592,-98.7003,18.8,14.5,41,720.9,35.6,0.7,34.9,22.9,9.1,27.7,9.1,701,101,30,35,240,113,179,113,0.314449117,0.346197612,0.339353271,1.020168777,187.3891425,155.9906046,0.346197612,0.339353271,0.685550883,-14,-11.5
0.00020482,1.4162288,187.930609,0.01117015,126.7869098,6914.504443,13.27691593,29.46316071,6.477831768,43.841723,-73.387025,7.2,12.3,29,996.8,27.8,-13.6,41.4,18.4,-5,19.5,-6.3,919,104,53,18,275,172,273,178,0.357926653,0.293802482,0.348270865,0.84360339,195.0913702,160.5869308,0.293802482,0.348270865,0.642073347,-14.5,-10.3
0.00387964,15.3908046,275.631597,0.22362721,68.82348798,3967.070295,73.3076098,117.8822643,15.46191078,35.6689,-105.3361,6.7,16.8,47,667.1,25.2,-10.5,35.7,14.8,-0.4,15.5,-1.5,526,100,21,60,251,69,244,69,0.322647005,0.389577153,0.287775842,1.353752111,194.0792856,160.8015427,0.389577153,0.287775842,0.677352995,-14,-11.2
0.00149272,8.33351267,184.803382,0.0659148,126.4285513,5582.770158,89.71794361,149.1461572,22.42134326,37.76774,-90.3835,12.4,13.1,34,892.4,31.4,-6.9,38.3,12.4,0.4,23.6,0.4,1105,117,62,18,330,215,290,215,0.317462608,0.336960082,0.345577309,0.975064257,183.8083223,149.4908371,0.336960082,0.345577309,0.682537392,-14.6,-10.9
0.00187732,11.5245989,196.766172,0.09696058,118.8586011,6138.856934,58.61309284,83.93456242,13.26194713,40.380579,-75.032293,10.7,11.7,32,877,29.5,-6.8,36.3,21,-0.8,21.9,-0.8,1172,117,75,12,329,254,325,254,0.263092908,0.210483055,0.526424036,0.399835571,143.6852234,118.6789236,0.210483055,0.526424036,0.736907092,-13,-9.7
0.00048595,4.28049472,133.861642,0.02685822,159.3737306,8808.50853,130.9654841,229.6927155,31.86526308,34.0083,-100.282,16.5,15,38,853.6,35.8,-3.5,39.3,25.2,5.2,27.3,5.2,565,83,17,49,213,61,191,61,0.28182966,0.228996503,0.489173838,0.468129088,157.0397634,131.6682201,0.228996503,0.489173838,0.71817034,-14,-8.3
