E,A,Ci,gsw,intrinsic,inst,Porosity,Mesophyll_SV/Total_MesophyllV,Mesophyll_PV/Total mesophyllV,Mesophyll_SV/Mesophyll_PV,Leaf_Width_um,Mesophyll_Width_um,SA(Spongy)/SAWMES,SA(Palisade/SAWMES),SA(SPOnGY+Palisade)/SAWMES
0.00318585,10.9119004,241.273178,0.12304935,88.67905763,3425.114302,0.475330269,0.24190145,0.282768281,0.855475902,259.3768231,215.6094139,0.24190145,0.282768281,0.524669731
0.00357416,8.6527644,246.669591,0.10423642,83.01095145,2420.92251,0.468591827,0.210553584,0.320854588,0.656227437,227.6918134,190.5965665,0.210553584,0.320854588,0.531408173
0.0008169,7.79425013,111.728987,0.04474125,174.2072501,9541.253679,0.425423475,0.218683803,0.355892722,0.614465511,228.5307268,188.2896266,0.218683803,0.355892722,0.574576525
0.00034695,1.82220611,68.2287921,0.00919998,198.0663121,5252.071221,0.493436062,0.224788347,0.281775591,0.797756634,236.2977937,198.1907327,0.224788347,0.281775591,0.506563938
0.0005045,2.04473075,233.591106,0.02161196,94.61107415,4052.984638,0.314449117,0.346197611,0.339353271,1.020168777,187.3891425,155.9906046,0.346197611,0.339353271,0.685550883
0.00020482,1.4162288,187.930609,0.01117015,126.7869098,6914.504443,0.357926653,0.293802482,0.348270865,0.84360339,195.0913702,160.5869308,0.293802482,0.348270865,0.642073347
0.00387964,15.3908046,275.631597,0.22362721,68.82348798,3967.070295,0.322647005,0.389577153,0.287775842,1.353752111,194.0792856,160.8015427,0.389577153,0.287775842,0.677352995
0.00149272,8.33351267,184.803382,0.0659148,126.4285513,5582.770158,0.317462608,0.336960082,0.345577309,0.975064257,183.8083223,149.4908371,0.336960082,0.345577309,0.682537392
0.00187732,11.5245989,196.766172,0.09696058,118.8586011,6138.856934,0.263092908,0.210483055,0.526424036,0.399835571,143.6852234,118.6789236,0.210483055,0.526424036,0.736907092
0.00048595,4.28049472,133.861642,0.02685822,159.3737306,8808.50853,0.28182966,0.228996502,0.489173838,0.468129088,157.0397634,131.6682201,0.228996502,0.489173838,0.71817034
0.00501904,10.5117222,271.897078,0.15679431,67.04147746,2094.369083,0.290607218,0.197602366,0.511790415,0.38610017,175.7256205,149.373474,0.197602366,0.511790415,0.709392782
0.00186535,6.95464945,247.765896,0.08071282,86.1653632,3728.33487,0.307680268,0.208547608,0.483772123,0.431086452,167.401994,138.7615945,0.208547608,0.483772123,0.692319732
0.00040546,3.88940738,112.957586,0.02235721,173.9665808,9592.579737,0.425391459,0.266554399,0.308054142,0.865284255,218.005381,178.5568217,0.266554399,0.308054142,0.574608541
0.000703456,2.805456351,219.4916851,0.026921558,104.2085437,3988.106496,0.439435225,0.232098886,0.328465889,0.706614884,220.2150177,181.1612315,0.232098886,0.328465889,0.560564775
0.000214786,2.124521779,36.25203308,0.009576951,221.8369712,9891.348874,0.405162541,0.285963069,0.30887439,0.925823178,229.140532,186.3755489,0.285963069,0.30887439,0.594837459
0.000115152,0.271590933,228.7928854,0.002881826,94.24266407,2358.541945,0.409958667,0.274817342,0.315223991,0.871816073,232.5955925,192.0361928,0.274817342,0.315223991,0.590041333
0.003264392,7.485331792,240.6363918,0.088029216,85.03235802,2293.024925,0.27698066,0.340955729,0.382063611,0.892405662,128.8909643,102.4179029,0.340955729,0.382063611,0.72301934
0.00166341,6.588316869,274.6039221,0.092588584,71.15690282,3960.729273,0.323014781,0.333147002,0.343838218,0.968906259,141.4756546,112.8630956,0.333147002,0.343838218,0.676985219
0.003973913,13.53880413,291.408744,0.228405497,59.2752991,3406.919823,0.340511549,0.322481394,0.337007057,0.956898047,131.4121648,102.7387844,0.322481394,0.337007057,0.659488451
0.00232394,13.52529388,218.750228,0.128375376,105.3573847,5819.984486,0.318021053,0.293174583,0.388804364,0.754041388,135.4311786,109.1470129,0.293174583,0.388804364,0.681978947
0.00647641,11.79432792,244.0355162,0.145942115,80.815109,1821.121272,0.309977696,0.400291313,0.289730991,1.381596465,167.0212604,137.6714961,0.400291313,0.289730991,0.690022304
0.003045586,11.7117939,164.9151662,0.086833537,134.8763891,3845.49742,0.245938739,0.453084527,0.300976734,1.505380569,176.272645,144.9152443,0.453084527,0.300976734,0.754061261
0.000718559,6.677625881,123.9818411,0.040136225,166.3740375,9293.081332,0.259119406,0.419608169,0.321272424,1.306082122,178.5175276,147.6545109,0.419608169,0.321272424,0.740880594
0.001662515,10.63888855,165.5708358,0.076843418,138.4489242,6399.274019,0.235413068,0.467642978,0.296943954,1.574852665,201.7396744,170.5291987,0.467642978,0.296943954,0.764586932
0.000854708,6.438131115,170.8453747,0.047266542,136.2090578,7532.546507,0.379693919,0.275985605,0.344320477,0.801537008,195.1364696,152.9458924,0.275985605,0.344320477,0.620306081
0.00403265,5.445783486,247.0278938,0.071463762,76.20342613,1350.42317,0.350093782,0.266488328,0.38341789,0.695033629,184.5696706,145.8020478,0.266488328,0.38341789,0.649906218
