Genotype,A,Ci,gsw,Treatment,E,intrWUE_AE,instWUE_AGs,Species
9018,2.22252913056905,136.133214312243,0.0146567533190701,Drought,0.607382576523539,3.65919144946516,151.638571120474,acerifolia
9018,2.38207383790106,145.217178983113,0.0163740297740776,Drought,0.686423615537098,3.47026789868992,145.47877772106,acerifolia
9018,12.9295675112286,201.721628371101,0.128514229217436,Control,4.43075926599415,2.91813811922989,100.608061768419,acerifolia
9018,15.4388592261667,227.795075349026,0.187574584914154,Control,5.78425550516241,2.66911778229499,82.3078416152832,acerifolia
9018,10.6052549867719,204.168521107032,0.105755685381413,Control,3.98654846195946,2.66025989348169,100.280707826946,acerifolia
9018,13.3624256593466,209.37517138304,0.141076139255084,Control,5.04611721632349,2.64806089246619,94.7178291800683,acerifolia
9018,8.39844987913762,198.120138369878,0.0832309530883349,Drought,4.56995971103859,1.837751404865,100.90536714417,acerifolia
9018,NA,NA,0.038939772669449,Drought,2.09434192102676,NA,NA,acerifolia
9018,2.02227614607408,213.942815652287,0.021346494140148,Drought,1.34578514200624,1.50267385405917,94.7357506481888,acerifolia
9018,5.03731876344087,187.930759154571,0.0455752706455635,Drought,2.59713526908164,1.93956734691839,110.52745693198,acerifolia
9018,10.6380380556634,204.95632031143,0.105763948651778,Control,3.72004474180077,2.85965325527612,100.582837453323,acerifolia
9018,16.1314727936891,255.864671601408,0.250712482829665,Control,6.9227511454826,2.33021127795639,64.3425194135582,acerifolia
9018,7.55869989682499,42.896964214232,0.035749512855618,Drought,0.768925113766466,9.83021592284822,211.435046048107,acerifolia
9018,9.58231565895432,254.20925486375,0.14963870455652,Control,7.41260780198776,1.29270506614214,64.0363446566392,acerifolia
9018,2.89202488344079,150.576180841915,0.0198248586826323,Drought,0.521623320408803,5.54427835238324,145.8787136765,acerifolia
9018,10.318548383262,236.280505199466,0.13793101976893,Control,7.00440351941756,1.47315161878624,74.8094837589706,acerifolia
9018,7.2143568468044,156.74241176791,0.0533472465039011,Control,1.8639082017847,3.87055373215088,135.233912143466,acerifolia
9018,1.29402997606708,NA,0.00383730394180553,Drought,0.106925393626369,NA,337.223737210198,acerifolia
9018,9.10817947880776,236.861670073227,0.110150912238002,Control,3.41543089245784,2.66677317316564,82.6881892646319,acerifolia
b40-14,1.22493357857226,229.342528679469,0.0132436781499806,Control,0.542636466439151,2.25737423548113,92.4919470784673,arizonica
b40-14,2.5052853161686,220.230728254889,0.0256012913923252,Control,0.98515713977621,2.54303117240535,97.8577712263232,arizonica
b40-14,7.01549731022483,164.602169592317,0.054230613541228,Control,2.08324953495079,3.36757416359656,129.364151576331,arizonica
b40-14,3.74855030800477,161.107068435174,0.0277692913693547,Control,1.10860597144015,3.38131888567692,134.989051688281,arizonica
b40-14,0.0081411514988651,377.458658406756,0.00256730635907453,Drought,0.0719271051447593,0.113186141475878,3.17108687480517,arizonica
b40-14,6.57856435625088,161.887188657623,0.0500963211919603,Control,1.96518380042423,3.34755678060787,131.318312397491,arizonica
