Porosity,Mesophyll_SV/Total_MesophyllV,Mesophyll_PV/Total mesophyllV,Mesophyll_SV/Mesophyll_PV,Leaf_Width_pixel,Leaf_Width_um,Mesophyll_Width_pixel,Mesophyll_Width_um,SA(Spongy)/SAWMES,SA(Palisade/SAWMES),SA(SPOnGY+Palisade)/SAWMES,Vcmax,J
0.475330269,0.24190145,0.282768281,0.855475902,399.0412664,259.3768231,331.7067907,215.6094139,0.24190145,0.282768281,0.524669731,122.6666512,190.259038
0.468591827,0.210553584,0.320854588,0.656227437,350.2950976,227.6918134,293.2254869,190.5965665,0.210553584,0.320854588,0.531408173,169.9331619,245.9484409
0.425423475,0.218683803,0.355892722,0.614465511,351.5857335,228.5307268,289.6763486,188.2896266,0.218683803,0.355892722,0.574576525,67.02898731,122.2266223
0.493436062,0.224788347,0.281775591,0.797756634,363.5350672,236.2977937,304.9088195,198.1907327,0.224788347,0.281775591,0.506563938,10.27448892,46.72661508
0.314449117,0.346197611,0.339353271,1.020168777,288.2909885,187.3891425,239.9855455,155.9906046,0.346197611,0.339353271,0.685550883,17.61688964,50.57819104
0.357926653,0.293802482,0.348270865,0.84360339,300.1405695,195.0913702,247.0568167,160.5869308,0.293802482,0.348270865,0.642073347,13.27691593,29.46316071
0.322647005,0.389577153,0.287775842,1.353752111,298.5835163,194.0792856,247.3869888,160.8015427,0.389577153,0.287775842,0.677352995,73.3076098,117.8822643
0.317462608,0.336960082,0.345577309,0.975064257,282.7820343,183.8083223,229.9859032,149.4908371,0.336960082,0.345577309,0.682537392,89.71794361,149.1461572
0.263092908,0.210483055,0.526424036,0.399835571,221.0541899,143.6852234,182.5829594,118.6789236,0.210483055,0.526424036,0.736907092,58.61309284,83.93456242
0.28182966,0.228996502,0.489173838,0.468129088,241.599636,157.0397634,202.5664925,131.6682201,0.228996502,0.489173838,0.71817034,130.9654841,229.6927155
0.290607218,0.197602366,0.511790415,0.38610017,270.3471085,175.7256205,229.8053446,149.373474,0.197602366,0.511790415,0.709392782,102.954326,178.2569405
0.307680268,0.208547608,0.483772123,0.431086452,257.5415293,167.401994,213.4793762,138.7615945,0.208547608,0.483772123,0.692319732,94.2017467,87.34617032
0.425391459,0.266554399,0.308054142,0.865284255,335.3928938,218.005381,274.7028026,178.5568217,0.266554399,0.308054142,0.574608541,7.364815867,44.41027959
0.439435225,0.232098886,0.328465889,0.706614884,338.792335,220.2150177,278.7095869,181.1612315,0.232098886,0.328465889,0.560564775,6.647478588,33.82198249
0.405162541,0.285963069,0.30887439,0.925823178,352.5238954,229.140532,286.7316137,186.3755489,0.285963069,0.30887439,0.594837459,13.63121677,1.535788698
0.409958667,0.274817342,0.315223991,0.871816073,357.8393731,232.5955925,295.4402966,192.0361928,0.274817342,0.315223991,0.590041333,105.7952242,169.4728622
0.27698066,0.340955729,0.382063611,0.892405662,198.2937912,128.8909643,157.5660044,102.4179029,0.340955729,0.382063611,0.72301934,64.29089008,65.48830873
0.323014781,0.333147002,0.343838218,0.968906259,217.6548533,141.4756546,173.6355317,112.8630956,0.333147002,0.343838218,0.676985219,133.8186789,174.4612628
0.340511549,0.322481394,0.337007057,0.956898047,202.1725612,131.4121648,158.0596684,102.7387844,0.322481394,0.337007057,0.659488451,133.4834926,177.6941077
0.318021053,0.293174583,0.388804364,0.754041388,208.3556593,135.4311786,167.9184814,109.1470129,0.293174583,0.388804364,0.681978947,157.3116573,253.120283
0.309977696,0.400291313,0.289730991,1.381596465,256.9557852,167.0212604,211.8023016,137.6714961,0.400291313,0.289730991,0.690022304,105.3831996,170.5173107
0.245938739,0.453084527,0.300976734,1.505380569,271.1886846,176.272645,222.9465297,144.9152443,0.453084527,0.300976734,0.754061261,160.6666071,197.447407
0.259119406,0.419608169,0.321272424,1.306082122,274.6423501,178.5175276,227.160786,147.6545109,0.419608169,0.321272424,0.740880594,142.0486607,242.7479548
0.235413068,0.467642978,0.296943954,1.574852665,310.3687299,201.7396744,262.3526133,170.5291987,0.467642978,0.296943954,0.764586932,48.69639016,91.62561834
0.379693919,0.275985605,0.344320477,0.801537008,300.2099532,195.1364696,235.3013729,152.9458924,0.275985605,0.344320477,0.620306081,71.40156597,104.7960356
0.350093782,0.266488328,0.38341789,0.695033629,283.9533393,184.5696706,224.3108427,145.8020478,0.266488328,0.38341789,0.649906218,77.09120905,107.7281686
0.354631674,0.296298526,0.349069801,0.848823144,320.4119939,208.267796,252.2829946,163.9839465,0.296298526,0.349069801,0.645368326,63.96270835,86.17444875
0.403977349,0.260369349,0.335653301,0.775709186,335.0441486,217.7786966,261.7026361,170.1067135,0.260369349,0.335653301,0.596022651,67.40646074,155.3011666
0.380726394,0.294078589,0.325195018,0.904314559,250.49226,162.819969,206.9594713,134.5236563,0.294078589,0.325195018,0.619273606,85.1016808,90.81113495
0.340659081,0.315526323,0.343814596,0.917722303,241.4355137,156.9330839,197.6172792,128.4512315,0.315526323,0.343814596,0.659340919,159.2964367,188.4975462
0.361916855,0.301868378,0.336214766,0.897843903,266.3830009,173.1489506,222.3409325,144.5216061,0.301868378,0.336214766,0.638083145,104.8276545,163.7899381
0.326215355,0.237339585,0.436445059,0.543801746,292.8628189,190.3608323,239.8063995,155.8741597,0.237339585,0.436445059,0.673784645,148.9635786,199.3287015
