ID;Genotype;Treatment;Date;LWP;SWP;PD;LWP.area;SWP.area;PD.area
1149.10;1149;Control;11.9;8,100;NA;NA;24.34777778;NA;NA
1149.5;1149;Drought;11.9;9,300;NA;NA;19.08055556;NA;NA
2214.4.3;2214.4;Drought;11.9;7,600;NA;NA;12.20694444;NA;NA
2214.4.8;2214.4;Control;11.9;9,800;NA;NA;12.90222222;NA;NA
255189.01.1;255189.01;Drought;11.9;11,700;NA;NA;21.70777778;NA;NA
255189.01.7;255189.01;Control;11.9;10,300;NA;NA;30.58361111;NA;NA
2970.1;2970;Drought;11.9;9,000;NA;NA;15.40138889;NA;NA
2970.9;2970;Control;11.9;7,100;NA;NA;12.35138889;NA;NA
588155.01.4;588155.01;Drought;11.9;7,700;NA;NA;8.648055556;NA;NA
588155.01.8;588155.01;Control;11.9;12,800;NA;NA;NA;NA;NA
9018.5;9018;Drought;11.9;10,000;NA;NA;13.865;NA;NA
9018.6;9018;Control;11.9;6,900;NA;NA;17.65638889;NA;NA
9025.3;9025;Drought;11.9;9,100;NA;NA;11.30555556;NA;NA
9025.8;9025;Control;11.9;9,500;NA;NA;15.06861111;NA;NA
9031.10;9031;Control;11.9;13,600;NA;NA;14.97527778;NA;NA
9031.11;9031;Control;11.9;13,400;NA;NA;14.3775;NA;NA
9031.5;9031;Drought;11.9;12,700;NA;NA;25.18777778;NA;NA
ANU65.2;ANU65;Drought;11.9;7,900;NA;NA;14.4475;NA;NA
ANU65.8;ANU65;Control;11.9;13,200;NA;NA;NA;NA;NA
b40-14.1;b40-14;Drought;11.9;10,100;NA;NA;10.625;NA;NA
b40-14.10;b40-14;Control;11.9;8,600;NA;NA;15.54694444;NA;NA
b42-24.1;b42-24;Drought;11.9;9,900;NA;NA;14.69638889;NA;NA
b42-24.7;b42-24;Control;11.9;12,000;NA;NA;13.12055556;NA;NA
b42-34.2;b42-34;Drought;11.9;8,000;NA;NA;14.11083333;NA;NA
b42-34.6;b42-34;Control;11.9;8,900;NA;NA;12.33722222;NA;NA
C56-94.5;C56-94;Drought;11.9;9,400;NA;NA;18.53055556;NA;NA
C56-94.7;C56-94;Control;11.9;9,500;NA;NA;16.92166667;NA;NA
CC12.1;CC12;Drought;11.9;11,500;NA;NA;19.87861111;NA;NA
CC12.9;CC12;Control;11.9;7,100;NA;NA;26.99083333;NA;NA
Haines.1;Haines;Control;11.9;8,500;NA;NA;16.84194444;NA;NA
Haines2.1;Hanes2;Drought;11.9;5,400;NA;NA;32.70138889;NA;NA
Haines2.7;Hanes2;Control;11.9;8,000;NA;NA;22.0575;NA;NA
NY1.1;NY1;Drought;11.9;9,100;NA;NA;14.5675;NA;NA
NY1.6;NY1;Control;11.9;7,400;NA;NA;16.89472222;NA;NA
OCK1-S02.10;OCK1-S02;Control;11.9;7,900;NA;NA;36.50805556;NA;NA
OCK1-S02.2;OCK1-S02;Drought;11.9;7,400;NA;NA;23.12416667;NA;NA
SC2.5;SC2;Drought;11.9;10,200;NA;NA;14.59694444;NA;NA
SC2.7;SC2;Control;11.9;8,100;NA;NA;15.35638889;NA;NA
T48.4;T48;Drought;11.9;9,000;NA;NA;26.12222222;NA;NA
T48.7;T48;Control;11.9;11,000;NA;NA;22.195;NA;NA
T52.3;T52;Drought;11.9;10,500;NA;NA;16.80305556;NA;NA
T52.7;T52;Control;11.9;9,600;NA;NA;19.12694444;NA;NA
TX6704.1;TX6704;Drought;11.9;9,600;NA;NA;13.63305556;NA;NA
TX6704.6;TX6704;Control;11.9;7,800;NA;NA;23.57916667;NA;NA
TXNM0821.10;TXNM0821;Control;11.9;10,400;NA;NA;22.07805556;NA;NA
TXNM0821.4;TXNM0821;Drought;11.9;8,600;NA;NA;28.69305556;NA;NA
UT12-075.6;UT12-075;Control;11.9;10,400;NA;NA;23.12527778;NA;NA
V57-96.10;V57-96;Control;11.9;10,300;NA;NA;17.26555556;NA;NA
V57-96.5;V57-96;Drought;11.9;7,800;NA;NA;16.14916667;NA;NA
V60-96.3;V60-96;Drought;11.9;8,100;NA;NA;22.3175;NA;NA
Vru42.1;Vru42;Drought;11.9;9,200;NA;NA;13.06861111;NA;NA
Vru42.10;Vru42;Control;11.9;11,000;NA;NA;11.25055556;NA;NA
1149.3;1149;Drought;11.10;13,800;NA;NA;50.55611111;NA;NA
1149.8;1149;Control;11.10;12,000;NA;NA;12.91777778;NA;NA
2214.4.4;2214.4;Drought;11.10;9,600;NA;NA;5.886944444;NA;NA
2214.4.9;2214.4;Control;11.10;11,800;NA;NA;38.11416667;NA;NA
255189.01.2;255189.01;Drought;11.10;9,800;NA;NA;97.05416667;NA;NA
255189.01.9;255189.01;Control;11.10;9,600;NA;NA;65.86833333;NA;NA
588155.01.1;588155.01;Drought;11.10;11,700;NA;NA;15.28;NA;NA
588155.01.10;588155.01;Control;11.10;10,900;NA;NA;28.90972222;NA;NA
9018.3;9018;Drought;11.10;10,200;NA;NA;62.49277778;NA;NA
9018.8;9018;Control;11.10;10,900;NA;NA;33.30666667;NA;NA
9025.10;9025;Control;11.10;10,400;NA;NA;31.21305556;NA;NA
9025.5;9025;Drought;11.10;11,900;NA;NA;31.62416667;NA;NA
9031.4;9031;Drought;11.10;14,100;NA;NA;54.32888889;NA;NA
9031.7;9031;Control;11.10;13,900;NA;NA;52.60027778;NA;NA
9035.2;9035;Drought;11.10;8,700;NA;NA;54.87555556;NA;NA
9035.7;9035;Control;11.10;10,300;NA;NA;72.56611111;NA;NA
ANU65.3;ANU65;Drought;11.10;8,700;NA;NA;53.83055556;NA;NA
ANU65.9;ANU65;Control;11.10;8,800;NA;NA;58.32694444;NA;NA
b40-14.2;b40-14;Drought;11.10;11,900;NA;NA;46.63;NA;NA
b40-14.6;b40-14;Control;11.10;10,800;NA;NA;52.86722222;NA;NA
b42-24.3;b42-24;Drought;11.10;9,800;NA;NA;43.89305556;NA;NA
b42-24.6;b42-24;Control;11.10;9,800;NA;NA;49.35944444;NA;NA
b42-34.1;b42-34;Drought;11.10;9,500;NA;NA;38.07166667;NA;NA
b42-34.9;b42-34;Control;11.10;14,400;NA;NA;36.50555556;NA;NA
C56-94.3;C56-94;Drought;11.10;9,800;NA;NA;58.75944444;NA;NA
C56-94.6;C56-94;Control;11.10;11,000;NA;NA;NA;NA;NA
CC12.3;CC12;Drought;11.10;8,600;NA;NA;69.455;NA;NA
CC12.8;CC12;Control;11.10;7,900;NA;NA;52.92166667;NA;NA
Haines.7;Haines;Drought;11.10;10,400;NA;NA;53.23916667;NA;NA
Haines2.10;Hanes2;Drought;11.10;12,900;NA;NA;89.17166667;NA;NA
Haines2.2;Hanes2;Drought;11.10;11,100;NA;NA;57.41611111;NA;NA
Haines2.9;Hanes2;Control;11.10;8,700;NA;NA;66.10722222;NA;NA
NY1.5;NY1;Drought;11.10;11,700;NA;NA;36.89694444;NA;NA
NY1.9;NY1;Control;11.10;10,400;NA;NA;54.46138889;NA;NA
OCK1-S02.8;OCK1-S02;Control;11.10;9,800;NA;NA;139.4094444;NA;NA
T48.2;T48;Drought;11.10;9,700;NA;NA;68.03972222;NA;NA
T48.6;T48;Control;11.10;10,200;NA;NA;81.09805556;NA;NA
T52.1;T52;Drought;11.10;8,400;NA;NA;59.03555556;NA;NA
T52.6;T52;Control;11.10;12,000;NA;NA;47.10444444;NA;NA
TX6704.3;TX6704;Drought;11.10;12,100;NA;NA;39.73583333;NA;NA
TX6704.9;TX6704;Control;11.10;12,700;NA;NA;41.15861111;NA;NA
TXNM0821.3;TXNM0821;Drought;11.10;9,100;NA;NA;53.83472222;NA;NA
TXNM0821.7;TXNM0821;Control;11.10;10,400;NA;NA;64.2225;NA;NA
UT12-075.1;UT12-075;Drought;11.10;8,700;NA;NA;40.67138889;NA;NA
UT12-075.10;UT12-075;Control;11.10;8,400;NA;NA;50.03666667;NA;NA
V57-96.6;V57-96;Control;11.10;11,800;NA;NA;41.86472222;NA;NA
Vru42.6;Vru42;Control;11.10;12,300;NA;NA;NA;NA;NA
1149.2;1149;Drought;11.10;10,700;NA;NA;66.39305556;NA;NA
1149.7;1149;Control;11.10;10,000;NA;NA;55.3075;NA;NA
2214.4.1;2214.4;Drought;11.10;11,500;NA;NA;32.72944444;NA;NA
2214.4.6;2214.4;Control;11.10;13,100;NA;NA;58.35277778;NA;NA
255189.01.8;255189.01;Control;11.10;12,500;NA;NA;56.35222222;NA;NA
2970.3;2970;Control;11.10;9,100;NA;NA;14.80444444;NA;NA
588155.01.2;588155.01;Drought;11.10;12,000;NA;NA;24.70444444;NA;NA
9018.10;9018;Control;11.10;11,600;NA;NA;55.03861111;NA;NA
9018.4;9018;Drought;11.10;13,600;NA;NA;51.08444444;NA;NA
9025.4;9025;Drought;11.10;10,500;NA;NA;29.23694444;NA;NA
9031.2;9031;Drought;11.10;14,000;NA;NA;14.48277778;NA;NA
9031.9;9031;Control;11.10;13,500;NA;NA;54.63361111;NA;NA
9035.1;9035;Drought;11.10;10,500;NA;NA;26.39888889;NA;NA
9035.8;9035;Control;11.10;11,000;NA;NA;96.77777778;NA;NA
ANU65.1;ANU65;Drought;11.10;13,000;NA;NA;60.02388889;NA;NA
ANU65.10;ANU65;Control;11.10;11,300;NA;NA;45.22194444;NA;NA
b40-14.3;b40-14;Drought;11.10;13,400;NA;NA;37.44277778;NA;NA
b40-14.9;b40-14;Control;11.10;12,900;NA;NA;NA;NA;NA
b42-24.10;b42-24;Control;11.10;10,500;NA;NA;44.36361111;NA;NA
b42-24.5;b42-24;Drought;11.10;11,000;NA;NA;48.36444444;NA;NA
b42-34.10;b42-34;Control;11.10;12,100;NA;NA;8.789722222;NA;NA
b42-34.5;b42-34;Drought;11.10;11,500;NA;NA;52.17583333;NA;NA
C56-94.1;C56-94;Drought;11.10;10,400;NA;NA;56.70805556;NA;NA
C56-94.8;C56-94;Control;11.10;11,000;NA;NA;41.25333333;NA;NA
CC12.2;CC12;Drought;11.10;9,000;NA;NA;54.15083333;NA;NA
CC12.6;CC12;Control;11.10;11,500;NA;NA;96.76638889;NA;NA
Haines2.5;Hanes2;Drought;11.10;10,000;NA;NA;44.66916667;NA;NA
Haines2.6;Hanes2;Control;11.10;10,200;NA;NA;75.44111111;NA;NA
Haines2.8;Hanes2;Control;11.10;10,000;NA;NA;56.8225;NA;NA
NY1.2;NY1;Drought;11.10;12,000;NA;NA;52.78055556;NA;NA
NY1.8;NY1;Control;11.10;12,200;NA;NA;66.74083333;NA;NA
OCK1-S02.1;OCK1-S02;Drought;11.10;13,000;NA;NA;89.85027778;NA;NA
OCK1-S02.6;OCK1-S02;Control;11.10;11,200;NA;NA;127.3947222;NA;NA
SC2.4;SC2;Drought;11.10;11,200;NA;NA;86.83361111;NA;NA
SC2.8;SC2;Control;11.10;9,000;NA;NA;61.97944444;NA;NA
T48.1;T48;Drought;11.10;10,700;NA;NA;45.37138889;NA;NA
T52.10;T52;Control;11.10;10,100;NA;NA;68.55694444;NA;NA
T52.4;T52;Drought;11.10;12,500;NA;NA;68.58583333;NA;NA
