SYS,SYS,SYS,SYS,SYS,USERDEF,USERDEF,USERDEF,USERDEF,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,MATCH,MATCH,MATCH,STABILITY,STABILITY,STABILITY,STABILITY,STABILITY,STABILITY,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,META,META,META,META,META,META,META
Obs#,Time,Date,configName,configAuthor,remark,Sample ID,,,gsw,gbw,gtw,E_apparent,VPcham,VPref,VPleaf,VPDleaf,H2O_r,H2O_s,H2O_leaf,leaf_area,flashID,Fo,Fm,Fv/Fm,Fs,Fm',PhiPS2,PS2/1,abs,ETR,rh_s,rh_r,Tref,Tleaf,P_atm,flow,flow_s,leak_pct,Qamb,batt,match_time,match_date,rh_adj,gsw1sec,gsw2sec,gsw4sec,flr1sec,flr2sec,flr4sec,auto,flow_set,gsw_limit,gsw_period,dark,flash_type,flash_intensity,modrate,flr_limit,flr_period,P1_dur,P2_dur,P3_dur,P1_Fmax,P2_ramp,P2_slp,P3_Fmax,P3_Pred,P3_DeltaF,v_humA,v_humB,v_flowIn,v_flowOut,v_temp,v_irt,v_pres,v_par,v_F,i_LED,b_rhr,m_rhr,span_rhr,b_rhs,m_rhs,span_rhs,z_flowIn,z_flowOut,z_quantum,z_flr,flashId,lciSerNum,lcpSerNum,lcfSerNum,lcrhSerNum,version,configUpdatedAt
,HHMMSS,YYYYMMDD,,,,,,,mol+1m-2s-1,mol+1m-2s-1,mol+1m-2s-1,mmol+1m-2s-1,kPa,kPa,kPa,kPa,mmol+1mol-1,mmol+1mol-1,mmol+1mol-1,cm+2,,,,,,,,,,umol+1m-2s-1,%,%,C,C,kPa,umol+1sec-1,umol+1sec-1,%,umol+1m-2s-1,V,HHMMSS,YYYYMMDD,%,,,,,,,,umol+1sec-1,(umol+1m-2s-1)s-1,s,,,umol+1m-2s-1,Hz,s-1,s,ms,ms,ms,,%,,,,,V,V,V,V,V,V,V,V,V,A,,,,,,,,,,,,,,,,,
1,12:07:56,10/26/2020,auto g+f+bcode ,Niko,,Haines2.1,,,0.412881,2.924793,0.361806,11.111146,1.130354,0.814945,4.183211,3.052857,7.984548,11.074817,40.985657,0.441786,PSF-00177_20201026120756,0,0,0,167.027237,218.0103,0.233856,0.5,0.8,165.15477,26.22,18.9,30.21,29.68,102.07,157.1,156.3,0.5,1766,4.13,11:58:01,10/26/2020,-0.03,0.001,0.001,-9999,-5.079,3.177,-9999,1,150,0.005,2,0,rectangular,10000,500,5,2,55537,55537,55537,0,-9999,0,0,0,0,2.412917,2.41801,1.644487,0.929423,0.221835,-0.006481,0.135476,1.626563,167.027237,0.000495,2.381104,-0.000086,1,2.374053,-0.000062,1,0.601405,0.601525,0.107465,0,PSF-00177_20201026120756,PFA-00163,PSA-00175,PSF-00177,RHS-00523,1.0.0,2020-10-22T17:44:00.745Z
2,12:09:38,10/26/2020,auto g+f+bcode ,Niko,,Haines2.1,,,0.377867,2.922606,0.334606,11.237846,1.185046,0.865613,4.517665,3.332619,8.479774,11.609023,44.256229,0.441786,PSF-00177_20201026120938,0,0,0,226.942062,213.330383,-0.063806,0.5,0.8,-43.859653,26.71,19.51,30.71,31.02,102.08,156.8,157.2,-0.3,1718,4.129,12:09:29,10/26/2020,-0.06,0.001,0.002,0.003,-1.088,-0.087,14.264,1,150,0.005,2,0,rectangular,10000,500,5,2,55537,55537,55537,0,-9999,0,0,0,0,2.41383,2.418717,1.642166,0.931736,0.217511,0.003903,0.149353,1.586062,226.942062,0.000479,2.381104,-0.000086,1,2.374053,-0.000062,1,0.601405,0.601525,0.107465,0,PSF-00177_20201026120938,PFA-00163,PSA-00175,PSF-00177,RHS-00523,1.0.0,2020-10-22T17:44:00.745Z
3,12:10:11,10/26/2020,auto g+f+bcode ,Niko,,Haines2.1,,,0.398377,2.922022,0.35058,9.919203,1.177271,0.895202,3.992,2.81473,8.770712,11.534263,39.111469,0.441786,PSF-00177_20201026121011,0,0,0,125.190498,228.108292,0.45118,0.5,0.8,72.319542,26.32,20.01,30.85,28.87,102.07,156.7,156,0.5,401,4.129,12:09:29,10/26/2020,-0.06,0.001,0,-9999,0.61,-0.055,-9999,1,150,0.005,2,0,rectangular,10000,500,5,2,55537,55537,55537,0,-9999,0,0,0,0,2.414616,2.418099,1.641549,0.92856,0.216279,-0.024331,0.153521,0.452251,125.190498,0.000484,2.381104,-0.000086,1,2.374053,-0.000062,1,0.601405,0.601525,0.107465,0,PSF-00177_20201026121011,PFA-00163,PSA-00175,PSF-00177,RHS-00523,1.0.0,2020-10-22T17:44:00.745Z
4,12:10:34,10/26/2020,auto g+f+bcode ,Niko,,Haines2.1,,,0.523613,2.921449,0.444029,11.714971,1.197578,0.864365,3.824173,2.626595,8.468683,11.73337,37.467648,0.441786,PSF-00177_20201026121034,0,0,0,193.827866,280.633453,0.30932,0.5,0.8,185.161728,26.65,19.24,30.93,28.13,102.07,156.7,156.3,0.3,1497,4.127,12:09:29,10/26/2020,-0.06,0,-0.001,-0.011,2.721,-1.711,53.422,1,150,0.005,2,0,rectangular,10000,500,5,2,55537,55537,55537,0,-9999,0,0,0,0,2.413354,2.418591,1.640944,0.929278,0.215607,-0.034253,0.156397,1.395082,193.827866,0.000484,2.381104,-0.000086,1,2.374053,-0.000062,1,0.601405,0.601525,0.107465,0,PSF-00177_20201026121034,PFA-00163,PSA-00175,PSF-00177,RHS-00523,1.0.0,2020-10-22T17:44:00.745Z
5,12:11:44,10/26/2020,auto g+f+bcode ,Niko,,Haines2.1,,,0.589603,2.922251,0.490615,12.826249,1.351122,0.987025,3.950603,2.599481,9.66882,13.235496,38.699818,0.441786,PSF-00177_20201026121144,0,0,0,160.935394,238.416199,0.324981,0.5,0.8,52.869396,29.65,21.66,31.17,28.69,102.08,156.8,157,-0.1,407,4.126,12:09:29,10/26/2020,-0.06,-0.002,-0.001,0.016,2.085,-2.352,-7.608,1,150,0.005,2,0,rectangular,10000,500,5,2,55537,55537,55537,0,-9999,0,0,0,0,2.417197,2.423051,1.641791,0.931174,0.213551,-0.030517,0.164566,0.457402,160.935394,0.000481,2.381104,-0.000086,1,2.374053,-0.000062,1,0.601405,0.601525,0.107465,0,PSF-00177_20201026121144,PFA-00163,PSA-00175,PSF-00177,RHS-00523,1.0.0,2020-10-22T17:44:00.745Z
6,12:12:16,10/26/2020,auto g+f+bcode ,Niko,,Haines2.1,,,0.458821,2.922237,0.396557,10.092159,1.370053,1.083594,3.901163,2.531109,10.613897,13.419792,38.212223,0.441786,PSF-00177_20201026121216,0,0,0,106.888176,190.524109,0.438978,0.5,0.8,300.349609,29.89,23.64,31.28,28.47,102.09,156.8,156.9,-0.1,1711,4.125,12:09:29,10/26/2020,-0.06,-0.003,0.003,-9999,0.139,0.84,-9999,1,150,0.005,2,0,rectangular,10000,500,5,2,55537,55537,55537,0,-9999,0,0,0,0,2.420282,2.423378,1.641777,0.930938,0.212654,-0.034472,0.168382,1.579193,106.888176,0.000491,2.381104,-0.000086,1,2.374053,-0.000062,1,0.601405,0.601525,0.107465,0,PSF-00177_20201026121216,PFA-00163,PSA-00175,PSF-00177,RHS-00523,1.0.0,2020-10-22T17:44:00.745Z
7,12:12:45,10/26/2020,auto g+f+bcode ,Niko,,Haines2.1,,,0.307354,2.921233,0.278094,9.209605,1.280072,1.018222,4.564264,3.284192,9.97357,12.538418,44.707359,0.441786,PSF-00177_20201026121245,0,0,0,154.021744,196.13385,0.214711,0.5,0.8,34.985298,27.75,22.08,31.39,31.2,102.09,156.6,156.5,0.1,407,4.124,12:09:29,10/26/2020,-0.06,-0.003,-0.003,0.007,-0.752,-1.459,-2.82,1,150,0.005,2,0,rectangular,10000,500,5,2,55537,55537,55537,0,-9999,0,0,0,0,2.417819,2.420181,1.640716,0.930006,0.211765,-0.002334,0.17153,0.457954,154.021744,0.000477,2.381104,-0.000086,1,2.374053,-0.000062,1,0.601405,0.601525,0.107465,0,PSF-00177_20201026121245,PFA-00163,PSA-00175,PSF-00177,RHS-00523,1.0.0,2020-10-22T17:44:00.745Z
8,12:14:03,10/26/2020,auto g+f+bcode ,Niko,,V57-96.10,,,0.381518,2.923263,0.337474,10.07809,1.401877,1.11617,4.364264,2.962387,10.934134,13.732952,42.752838,0.441786,PSF-00177_20201026121403,0,0,0,172.131653,222.33403,0.225797,0.5,0.8,141.5271,29.86,23.78,31.7,30.42,102.08,156.9,156,0.6,1567,4.122,12:09:29,10/26/2020,-0.06,0.008,0,-9999,-2.654,-0.059,-9999,1,150,0.005,2,0,rectangular,10000,500,5,2,55537,55537,55537,0,-9999,0,0,0,0,2.42043,2.42327,1.642862,0.928697,0.209186,-0.015951,0.179592,1.455698,172.131653,0.000486,2.381104,-0.000086,1,2.374053,-0.000062,1,0.601405,0.601525,0.107465,0,PSF-00177_20201026121403,PFA-00163,PSA-00175,PSF-00177,RHS-00523,1.0.0,2020-10-22T17:44:00.745Z
