SYS,SYS,SYS,SYS,SYS,USERDEF,USERDEF,USERDEF,USERDEF,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,MATCH,MATCH,MATCH,STABILITY,STABILITY,STABILITY,STABILITY,STABILITY,STABILITY,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,META,META,META,META,META,META,META
Obs#,Time,Date,configName,configAuthor,remark,Sample ID,,,gsw,gbw,gtw,E_apparent,VPcham,VPref,VPleaf,VPDleaf,H2O_r,H2O_s,H2O_leaf,leaf_area,flashID,Fo,Fm,Fv/Fm,Fs,Fm',PhiPS2,PS2/1,abs,ETR,rh_s,rh_r,Tref,Tleaf,P_atm,flow,flow_s,leak_pct,Qamb,batt,match_time,match_date,rh_adj,gsw1sec,gsw2sec,gsw4sec,flr1sec,flr2sec,flr4sec,auto,flow_set,gsw_limit,gsw_period,dark,flash_type,flash_intensity,modrate,flr_limit,flr_period,P1_dur,P2_dur,P3_dur,P1_Fmax,P2_ramp,P2_slp,P3_Fmax,P3_Pred,P3_DeltaF,v_humA,v_humB,v_flowIn,v_flowOut,v_temp,v_irt,v_pres,v_par,v_F,i_LED,b_rhr,m_rhr,span_rhr,b_rhs,m_rhs,span_rhs,z_flowIn,z_flowOut,z_quantum,z_flr,flashId,lciSerNum,lcpSerNum,lcfSerNum,lcrhSerNum,version,configUpdatedAt
,HHMMSS,YYYYMMDD,,,,,,,mol+1m-2s-1,mol+1m-2s-1,mol+1m-2s-1,mmol+1m-2s-1,kPa,kPa,kPa,kPa,mmol+1mol-1,mmol+1mol-1,mmol+1mol-1,cm+2,,,,,,,,,,umol+1m-2s-1,%,%,C,C,kPa,umol+1sec-1,umol+1sec-1,%,umol+1m-2s-1,V,HHMMSS,YYYYMMDD,%,,,,,,,,umol+1sec-1,(umol+1m-2s-1)s-1,s,,,umol+1m-2s-1,Hz,s-1,s,ms,ms,ms,,%,,,,,V,V,V,V,V,V,V,V,V,A,,,,,,,,,,,,,,,,,
2,11:04:42,11/30/2020,auto g+f+bcode ,Niko,,Haines2.1,,,0.016402,2.921336,0.016311,0.577791,1.024941,1.008417,4.554732,3.529791,9.844554,10.005866,44.465038,0.441786,PSF-00177_20201130110442,0,0,0,136.929993,115.322472,-0.187366,0.5,0.8,-119.741989,37.93,37.32,22.3,31.17,102.43,156.7,157.5,-0.5,1598,4.126,11:03:50,11/30/2020,-0.16,0.001,0.002,-9999,-0.421,1.316,-9999,1,150,0.005,2,0,rectangular,10000,500,5,2,55537,55537,55537,0,-9999,0,0,0,0,2.44267,2.437042,1.640825,0.93243,0.303834,0.107865,0.066793,1.482137,136.929993,0.000485,2.381104,-0.000086,1,2.374053,-0.000062,1,0.601405,0.601525,0.107465,0,PSF-00177_20201130110442,PFA-00163,PSA-00175,PSF-00177,RHS-00523,1.0.0,2020-10-27T22:20:53.801Z
3,11:04:55,11/30/2020,auto g+f+bcode ,Niko,,Haines2.1,,,0.00919,2.921299,0.009161,0.253554,0.997957,0.990704,3.766918,2.768962,9.672552,9.743362,36.777599,0.441786,PSF-00177_20201130110455,0,0,0,99.206688,94.671967,-0.047899,0.5,0.8,-30.142868,36.6,36.33,22.45,27.87,102.42,156.7,157.1,-0.3,1573,4.127,11:03:50,11/30/2020,-0.16,0.001,0.002,-9999,0.043,2.765,-9999,1,150,0.005,2,0,rectangular,10000,500,5,2,55537,55537,55537,0,-9999,0,0,0,0,2.441185,2.43507,1.640785,0.931536,0.302038,0.064772,0.069079,1.461092,99.206688,0.000481,2.381104,-0.000086,1,2.374053,-0.000062,1,0.601405,0.601525,0.107465,0,PSF-00177_20201130110455,PFA-00163,PSA-00175,PSF-00177,RHS-00523,1.0.0,2020-10-27T22:20:53.801Z
4,11:05:14,11/30/2020,auto g+f+bcode ,Niko,,NY1.1,,,0.129907,2.923535,0.124381,3.567593,1.018735,0.916891,3.886148,2.867413,8.952087,9.946445,37.942509,0.441786,PSF-00177_20201130110514,0,0,0,134.147293,158.869751,0.155615,0.5,0.8,94.720078,36.92,33.23,22.64,28.41,102.42,156.9,157.9,-0.6,1522,4.126,11:03:50,11/30/2020,-0.16,0,0.002,0.001,-2.629,-1.635,-7.413,1,150,0.005,2,0,rectangular,10000,500,5,2,55537,55537,55537,0,-9999,0,0,0,0,2.43652,2.435503,1.643151,0.93346,0.299693,0.069063,0.072346,1.416753,134.147293,0.000475,2.381104,-0.000086,1,2.374053,-0.000062,1,0.601405,0.601525,0.107465,0,PSF-00177_20201130110514,PFA-00163,PSA-00175,PSF-00177,RHS-00523,1.0.0,2020-10-27T22:20:53.801Z
5,11:05:22,11/30/2020,auto g+f+bcode ,Niko,,NY1.1,,,0.042771,2.923425,0.042154,1.510431,0.971243,0.928106,4.541928,3.570685,9.06274,9.483959,44.350864,0.441786,PSF-00177_20201130110522,0,0,0,103.641273,89.855789,-0.153418,0.5,0.8,-97.574303,35.01,33.46,22.73,31.12,102.41,156.9,157.6,-0.4,1590,4.07,11:03:50,11/30/2020,-0.16,0.001,0.004,-9999,-1.974,-2.116,-9999,1,150,0.005,2,0,rectangular,10000,500,5,2,55537,55537,55537,0,-9999,0,0,0,0,2.43684,2.432678,1.643034,0.932675,0.298624,0.102064,0.073652,1.475519,103.641273,0.000475,2.381104,-0.000086,1,2.374053,-0.000062,1,0.601405,0.601525,0.107465,0,PSF-00177_20201130110522,PFA-00163,PSA-00175,PSF-00177,RHS-00523,1.0.0,2020-10-27T22:20:53.801Z
6,11:05:38,11/30/2020,auto g+f+bcode ,Niko,,2970.9,,,0.063871,2.922112,0.062505,1.611687,0.949535,0.903449,3.532363,2.582828,8.822031,9.272053,34.49295,0.441786,PSF-00177_20201130110538,0,0,0,131.28949,290.317657,0.547773,0.5,0.8,36.183388,33.88,32.24,22.9,26.78,102.41,156.8,157.7,-0.6,165,4.125,11:03:50,11/30/2020,-0.16,-0.001,0.001,-9999,0.42,0.75,-9999,1,150,0.005,2,0,rectangular,10000,500,5,2,55537,55537,55537,0,-9999,0,0,0,0,2.43497,2.430973,1.641644,0.932868,0.296614,0.046091,0.076259,0.249551,131.28949,0.00049,2.381104,-0.000086,1,2.374053,-0.000062,1,0.601405,0.601525,0.107465,0,PSF-00177_20201130110538,PFA-00163,PSA-00175,PSF-00177,RHS-00523,1.0.0,2020-10-27T22:20:53.801Z
7,11:05:50,11/30/2020,auto g+f+bcode ,Niko,,2970.9,,,0.064112,2.922363,0.062736,2.075621,1.015127,0.955823,4.315257,3.30013,9.333135,9.912208,42.136349,0.441786,PSF-00177_20201130110550,0,0,0,173.054337,153.593307,-0.126705,0.5,0.8,-76.459282,35.9,33.81,23.05,30.22,102.41,156.8,157.4,-0.4,1509,4.124,11:03:50,11/30/2020,-0.16,0.002,0.004,-9999,1.794,-0.415,-9999,1,150,0.005,2,0,rectangular,10000,500,5,2,55537,55537,55537,0,-9999,0,0,0,0,2.437297,2.433926,1.64191,0.932189,0.294883,0.086916,0.078375,1.405482,173.054337,0.000497,2.381104,-0.000086,1,2.374053,-0.000062,1,0.601405,0.601525,0.107465,0,PSF-00177_20201130110550,PFA-00163,PSA-00175,PSF-00177,RHS-00523,1.0.0,2020-10-27T22:20:53.801Z
8,11:06:22,11/30/2020,auto g+f+bcode ,Niko,,V57-96.10,,,0.276134,2.921172,0.252286,5.087317,1.087181,0.941771,3.110308,2.023127,9.194468,10.6141,30.365795,0.441786,PSF-00177_20201130110622,0,0,0,98.022934,218.552826,0.551491,0.5,0.8,31.809223,37.73,32.69,23.36,24.63,102.43,156.6,157.7,-0.7,144,4.07,11:03:50,11/30/2020,-0.16,0.003,0,0.01,0.113,0.628,0.89,1,150,0.005,2,0,rectangular,10000,500,5,2,55537,55537,55537,0,-9999,0,0,0,0,2.435558,2.436539,1.640651,0.933034,0.291235,0.015167,0.083293,0.231533,98.022934,0.000483,2.381104,-0.000086,1,2.374053,-0.000062,1,0.601405,0.601525,0.107465,0,PSF-00177_20201130110622,PFA-00163,PSA-00175,PSF-00177,RHS-00523,1.0.0,2020-10-27T22:20:53.801Z
9,11:06:34,11/30/2020,auto g+f+bcode ,Niko,,V57-96.10,,,0.227867,2.921732,0.211382,4.125879,1.075506,0.957613,3.034692,1.959185,9.348928,10.499891,29.626909,0.441786,PSF-00177_20201130110634,0,0,0,138.747101,293.900024,0.527911,0.5,0.8,28.918774,37.1,33.03,23.46,24.22,102.43,156.7,157.8,-0.7,137,4.122,11:03:50,11/30/2020,-0.16,0,0,0.006,0.134,0.941,-10.531,1,150,0.005,2,0,rectangular,10000,500,5,2,55537,55537,55537,0,-9999,0,0,0,0,2.436056,2.435593,1.641243,0.933316,0.290045,0.009151,0.085002,0.225297,138.747101,0.000492,2.381104,-0.000086,1,2.374053,-0.000062,1,0.601405,0.601525,0.107465,0,PSF-00177_20201130110634,PFA-00163,PSA-00175,PSF-00177,RHS-00523,1.0.0,2020-10-27T22:20:53.801Z
