,m`Pot (kg),Dry weight of soil (kg),m`H2O (kg),10/23 Pre Watering Weight (kg),10/23 SWC,10/26 Pre Watering Weight,10/26 SWC,mpot @ 80% SW,10/28 pre water weight,10/28 SWC,mpot @ 80% SW_1,10/30 pre water weight,10/30 SWC,mpot @ 80% SW_2,11/2 pre water weight,11/2 SWC,mpot @ 80% SW_3,11/4 pre water,11/4 SWC,mpot target weight (80% for control and 50% for treatment),11/6 pre water,11/6 SWC,mpot target,11/9 pre water,11/9 SWC,mpot target_1,11/11 pre water weight,11/11 SWC,11/11 target weights,11/13 pre water weight,11/13 SWC,11/13 target weight,11/16 pre water weight,11/16 SWC,11/16 target weight,11/18 pre water weight,11/18 SWC,11/18 target weight,11/20 pre water weight,11/20 SWC,11/20 target weight,11/23 pre water weight,11/23 SWC,11/23 target weight,11/25 pre water weight,11/25 SWC,11/25 target weight,11/27 pre water weight,11/27 SWC,11/27 target weight,11/30 pre water weight,11/30 SWC,11/30 target weight,12/2 pre water weight,12/2 SWC,12/2 target weight,12/4 pre water weight,12/4 SWC,12/4 target weight,12/7 pre water weight,12/7 SWC,12/7 target weight (corrected post experiment),12/9 pre water weight,12/9 SWC,12/9 Treatment rewater to 30%,12/11 pre-water weight,12/11 SWC,12/11 target weights,12/11 Pre-Dawn Bench 1 Pot Weights,midday pot weights,12/13 pre-water weight,12/13 SWC,12/13 target weight,Notes,12/14 pre-water weight,12/14 SWC,12/14 target weight,12/15 midday weight,12/15 Pre water weight,12/15 SWC,12/15 target weight,12/16 pre-water weight,12/16 SWC,12/16 target weight,12/16 Pre Dawn Pot Weights,12/16 midday weight,12/17 Pre Dawn Pot Weights,12/17 pre water weight,12/17 SWC,12/17 target weight,12/18 Pre Dawn Pot Weights,12/18 Mid Day weight,ID,Genotype,Species,Treatment
1,7.496,4.452672238,2.791327762,6.6435,0.694589789,6.6255,0.688141245,6.937734448,6.767,0.738833966,6.937734448,6.659,0.700142702,6.937734448,6.6655,0.702471343,6.937734448,6.7225,0.722891732,6.937734448,6.747,0.731668917,6.937734448,6.5405,0.657689787,6.937734448,6.7305,0.725757752,6.937734448,6.69,0.711248528,6.937734448,7.41,0.969190289,6.937734448,NA,#VALUE!,7.216867224,7.12,0.86529708,7.216867224,6.695,0.71303979,7.216867224,6.72,0.721996101,7.216867224,6.653,0.697993187,7.216867224,7.12,0.86529708,7.216867224,7.1,0.858132031,7.216867224,6.99,0.818724262,7.216867224,6.8665,0.774480085,7.216867224,7.01,0.825889311,7.216867224,NA,#VALUE!,NA,7.124,6.973,NA,#VALUE!,NA,NA,NA,#VALUE!,NA,NA,NA,#VALUE!,NA,NA,#VALUE!,NA,NA,NA,NA,NA,#VALUE!,NA,NA,NA,V60-96.8,V60-96,vulpina,Control
2,6.652,3.933890436,2.466109564,5.4185,0.499819466,5.5295,0.544829631,6.158778087,5.723,0.623293298,6.158778087,5.759,0.63789119,6.158778087,5.6655,0.599977222,6.158778087,5.783,0.647623118,6.158778087,5.826,0.665059488,6.158778087,5.5585,0.556589044,6.158778087,5.743,0.631403238,6.158778087,5.75,0.634241717,6.158778087,6.6,0.978914157,6.158778087,NA,#VALUE!,6.405389044,6.11,0.780220632,6.405389044,5.424,0.502049699,6.405389044,5.5,0.53286747,6.405389044,5.592,0.570173193,6.405389044,6.03,0.747780873,6.405389044,6.29,0.85321009,6.405389044,6.01,0.739670934,6.405389044,6.1105,0.767244729,6.437889044,5.97,0.710272402,6.437889044,NA,#VALUE!,NA,6.465,6.178,NA,#VALUE!,NA,NA,NA,#VALUE!,NA,NA,NA,#VALUE!,NA,NA,#VALUE!,NA,NA,NA,NA,NA,#VALUE!,NA,NA,NA,TXNM0821.10,TXNM0821,riparia,Control
5,7.372,4.376453111,2.743546889,6.08,0.529076756,5.796,0.425561121,6.823290622,5.9855,0.494632293,6.823290622,6.0875,0.531810444,6.823290622,5.8515,0.445790409,6.823290622,6.0895,0.532539427,6.823290622,6.0785,0.528530019,6.823290622,5.5425,0.333162481,6.823290622,5.904,0.464926222,6.823290622,5.85,0.445243671,6.823290622,6.96,0.84982943,6.823290622,5.87,0.452533505,7.097645311,5.44,0.295802085,7.097645311,5.2885,0.240581596,7.097645311,5.57,0.343186002,7.097645311,5.6045,0.355760965,7.097645311,5.82,0.434308921,7.097645311,6.53,0.69309801,7.097645311,6.17,0.561881007,7.097645311,6.335,0.622022133,7.097645311,6.17,0.561881007,7.097645311,NA,#VALUE!,NA,6.2245,5.8345,NA,#VALUE!,NA,NA,NA,#VALUE!,NA,NA,NA,#VALUE!,NA,NA,#VALUE!,NA,NA,NA,NA,NA,#VALUE!,NA,NA,NA,255189.01.7,255189.01,riparia,Control
7,7.062,4.185905293,2.624094707,5.736,0.494682872,5.776,0.509926224,6.537181059,5.9455,0.57451993,6.537181059,5.9015,0.557752242,6.537181059,5.6285,0.453716363,6.537181059,5.933,0.569756382,6.537181059,5.847,0.536983175,6.537181059,5.4085,0.369877926,6.537181059,5.81,0.522883074,6.537181059,5.72,0.488585531,6.537181059,7.01,0.980183642,6.537181059,6.82,0.907777719,6.799590529,5.57,0.431422961,6.799590529,5.3765,0.357683244,6.799590529,5.64,0.458098827,6.799590529,5.5405,0.420180988,6.799590529,5.91,0.560991455,6.799590529,6.25,0.690559949,6.799590529,5.87,0.545748103,6.799590529,6.247,0.689416698,6.799590529,5.98,0.587667321,6.799590529,NA,#VALUE!,NA,6.443,6.096,NA,#VALUE!,NA,NA,NA,#VALUE!,NA,NA,NA,#VALUE!,NA,NA,#VALUE!,NA,NA,NA,NA,NA,#VALUE!,NA,NA,NA,1149.1,1149,treleasei,Control
8,7.474,4.439149489,2.782850511,6.143,0.521713439,6.441,0.628797883,6.917429898,6.65,0.703900732,6.917429898,6.6,0.685933543,6.917429898,6.5415,0.664911932,6.917429898,6.6755,0.713063998,6.917429898,6.688,0.717555795,6.917429898,6.4445,0.630055586,6.917429898,6.65,0.703900732,6.917429898,6.63,0.696713856,6.917429898,7.53,1.020123251,6.917429898,7.17,0.890759493,7.195714949,6.64,0.700307294,7.195714949,6.569,0.674793886,7.195714949,6.66,0.707494169,7.195714949,6.603,0.687011574,7.195714949,7.05,0.847638241,7.195714949,7.22,0.908726682,7.195714949,6.99,0.826077614,7.195714949,7.0145,0.834881537,7.195714949,6.97,0.818890739,7.195714949,NA,#VALUE!,NA,7.158,6.9135,NA,#VALUE!,NA,NA,NA,#VALUE!,NA,NA,NA,#VALUE!,NA,NA,#VALUE!,NA,NA,NA,NA,NA,#VALUE!,NA,NA,NA,9025.8,9025,cinerea,Control
9,7.056,4.18221727,2.62178273,5.815,0.526657955,5.9525,0.579103185,6.531643454,6.1375,0.649665859,6.531643454,6.0105,0.601225537,6.531643454,5.8295,0.532188543,6.531643454,6.106,0.637651134,6.531643454,6.082,0.628497057,6.531643454,5.726,0.492711587,6.531643454,5.99,0.59340643,6.531643454,5.97,0.585778033,6.531643454,7.16,1.039667665,6.531643454,NA,#VALUE!,6.793821727,6.7,0.86421453,6.793821727,6.2995,0.711455876,6.793821727,6.1,0.635362615,6.793821727,5.9285,0.569949109,6.793821727,6.66,0.848957736,6.793821727,6.84,0.91761331,6.793821727,6.46,0.772673764,6.793821727,6.0005,0.597411339,6.793821727,6.28,0.704018189,6.793821727,NA,#VALUE!,NA,6.6015,6.3425,NA,#VALUE!,NA,NA,NA,#VALUE!,NA,NA,NA,#VALUE!,NA,NA,#VALUE!,NA,NA,NA,NA,NA,#VALUE!,NA,NA,NA,b42-34.6,b42-34,cinerea,Control
11,6.854,4.058053853,2.543946147,5.491,0.464218218,5.626,0.517285379,6.345210771,5.678,0.537726063,6.345210771,5.685,0.540477694,6.345210771,5.434,0.441812083,6.345210771,5.701,0.546767135,6.345210771,5.6565,0.529274626,6.345210771,5.13,0.322312698,6.345210771,5.55,0.487410533,6.345210771,5.47,0.455963326,6.345210771,6.92,1.025943945,6.345210771,5.84,0.601406657,6.599605385,5.22,0.357690806,6.599605385,5.192,0.346684284,6.599605385,5.41,0.432377921,6.599605385,5.3365,0.4034858,6.599605385,6.03,0.676093772,6.599605385,5.91,0.628922963,6.599605385,5.71,0.550304946,6.599605385,6.0105,0.655653088,6.632105385,5.88,0.604354832,6.632105385,NA,#VALUE!,NA,6.35,6.0465,NA,#VALUE!,NA,NA,NA,#VALUE!,NA,NA,NA,#VALUE!,NA,NA,#VALUE!,NA,NA,NA,NA,NA,#VALUE!,NA,NA,NA,CC12.9,CC12,californica,Control
12,7.472,4.437920149,2.782079851,6.329,0.589156293,6.4365,0.627796449,6.91558403,6.5435,0.666256883,6.91558403,6.5605,0.67236742,6.91558403,6.553,0.669671595,6.91558403,6.6965,0.72125171,6.91558403,6.646,0.703099823,6.91558403,6.386,0.609644561,6.91558403,6.62,0.693754297,6.91558403,6.6,0.686565431,6.91558403,7.62,1.05319761,6.91558403,7.29,0.934581317,7.193792015,6.84,0.772831826,7.193792015,6.577,0.678298234,7.193792015,6.68,0.715320896,7.193792015,6.631,0.697708173,7.193792015,7.12,0.873475954,7.193792015,7.18,0.895042552,7.193792015,7.09,0.862692654,7.193792015,7.14,0.88066482,7.193792015,7.11,0.86988152,7.193792015,NA,#VALUE!,NA,7.25,7.1375,NA,#VALUE!,NA,NA,NA,#VALUE!,NA,NA,NA,#VALUE!,NA,NA,#VALUE!,NA,NA,NA,NA,NA,#VALUE!,NA,NA,NA,V57-96.10,V57-96,vulpina,Control
14,7.18,4.258436397,2.669563603,5.542,0.386416567,5.6015,0.408704854,6.646087279,5.85,0.50179123,6.646087279,5.7825,0.476506198,6.646087279,5.581,0.401025697,6.646087279,5.8625,0.506473643,6.646087279,5.806,0.485309135,6.646087279,5.502,0.371432845,6.646087279,5.89,0.516774952,6.646087279,5.81,0.486807507,6.646087279,7,0.932573249,6.646087279,NA,#VALUE!,6.91304364,6.47,0.734038927,6.91304364,5.9475,0.538314053,6.91304364,5.99,0.554234258,6.91304364,5.8965,0.519209807,6.91304364,6.39,0.704071482,6.91304364,6.61,0.786481955,6.91304364,6.17,0.621661009,6.91304364,6.692,0.817198586,6.91304364,6.6,0.782736025,6.91304364,NA,#VALUE!,NA,7.04,6.704,NA,#VALUE!,NA,NA,NA,#VALUE!,NA,NA,NA,#VALUE!,NA,NA,#VALUE!,NA,NA,NA,NA,NA,#VALUE!,NA,NA,NA,b40-14.10,b40-14,arizonica,Control
16,7.224,4.285481894,2.686518106,5.929,0.51796342,6.204,0.6203264,6.686696379,6.161,0.604320552,6.686696379,6.185,0.613254049,6.686696379,6.081,0.574542231,6.686696379,6.4875,0.725853327,6.686696379,6.292,0.653082554,6.686696379,5.9935,0.541972192,6.686696379,6.25,0.637448935,6.686696379,6.23,0.630004355,6.686696379,7.52,1.11017979,6.686696379,7.07,0.942676731,6.955348189,6.4,0.693283288,6.955348189,6.138,0.595759285,6.955348189,6.2,0.618837484,6.955348189,6.1665,0.606367812,6.955348189,6.85,0.860786347,6.955348189,7.05,0.935232151,6.955348189,6.68,0.797507414,6.955348189,6.793,0.839569293,6.955348189,6.9,0.879397798,6.955348189,NA,#VALUE!,NA,7.2165,6.91,NA,#VALUE!,NA,NA,NA,#VALUE!,NA,NA,NA,#VALUE!,NA,NA,#VALUE!,NA,NA,NA,NA,NA,#VALUE!,NA,NA,NA,UT12-075.6,UT12-075,girdiana,Control
