ID,Genotype,Species,Treatment,Block,11.9.lwp,11.9.lwp.area,11.10.lwp,11.10.lwp.area,11.11.pd,11.11.lwp,11.11.lwp.area,11.12.pd,11.13.pd,11.16.lwp,11.16.lwp.area,11.17.lwp,11.17.lwp.area,11.18.als.pd,12.1.pd,12.1.lwp,12.1.lwp.area,12.2.pd,12.2.lwp,12.2.lwp.area,12.3.pd,12.11.pd,12.11.pd.area,12.11.swp,12.11.swp.area,12.11.lwp,12.11.lwp.area,12.15.pd,12.15.pd.area,12.15.swp,12.15.swp.area,12.15.lwp,12.15.lwp.area,12.16.pd,12.16.pd.area,12.16.swp,12.16.swp.area,12.16.lwp,12.16.lwp.area,12.17.pd,12.17.pd.area,12.17.swp,12.17.swp.area,12.17.lwp,12.18.pd,12.18.pd.area,12.18.swp,12.18.swp.area,12.18.lwp,12.18.lwp.area
1149.10,1149,treleasei,Control,1,8.1,24.34777778,,,7.3,,,,,13.6,67.15395833,,,9.6,10.1,15,36.5525,,,,,6.8,48.64784722,10.5,MISSING,12.4,38.66715278,,,,,,,,,,,,,,,,,,,,,,,
1149.5,1149,treleasei,Drought,1,9.3,19.08055556,,,9.4,,,,,10,57.57743056,,,13.5,7.3,14.9,50.76104167,,,,,7.9,46.97930556,14.3,,15.2,41.08972222,,,,,,,,,,,,,,,,,,,,,,,
2214.4.3,2214.4,bloodworthiana,Drought,1,7.6,12.20694444,,,8.3,,,,,11.8,25.19708333,,,,,14.5,21.56444444,9.9,,,,5.2,42.93291667,13.5,26.14618056,12.6,MISSING,,,,,,,,,,,,,,,,,,,,,,,
2214.4.8,2214.4,bloodworthiana,Control,1,9.8,12.90222222,,,8.6,,,,,13.7,44.645,,,,8.6,11.8,53.91020833,,,,,5.7,51.53090278,10.9,MISSING,10.7,55.44361111,,,,,,,,,,,,,,,,,,,,,,,
255189.01.1,255189.01,riparia,Drought,1,11.7,21.70777778,,,8.2,,,,,10.7,58.54770833,,,,missing leaf,13.5,47.95736111,,,,,6.7,57.42604167,15.2,49.72451389,12.7,MISSING,,,,,,,,,,,,,,,,,,,,,,,
255189.01.7,255189.01,riparia,Control,1,10.3,30.58361111,,,8.1,,,,,13.9,84.32541667,,,,10,11,26.26881944,,,,,5.8,60.45388889,14,MISSING,12.6,101.5723611,,,,,,,,,,,,,,,,,,,,,,,
2970.1,2970,popenoi,Drought,1,9,15.40138889,,,6,,,,,11.1,36.45534722,,,,8.6,11.2,40.42256944,,,,,7.1,38.24326389,11.8,MISSING,12.3,37.82111111,,,,,,,,,,,,,,,,,,,,,,,
2970.9,2970,popenoi,Control,1,7.1,12.35138889,,,7.6,,,,,10.7,52.30430556,,,,8.4,13.7,76.44125,,,,,5.4,68.03576389,10,MISSING,9.6,61.26395833,,,,,,,,,,,,,,,,,,,,,,,
588155.01.4,588155.01,palmata,Drought,1,7.7,8.648055556,,,9.9,,,,,12.6,20.82388889,,,,missing bag,16.1,22.64888889,,,,8.6,7.5,20.79277778,15.5,14.98395833,18.6,30.350625,,,,,,,,,,,,,,,,,,,,,,,
588155.01.8,588155.01,palmata,Control,1,12.8,scrappy looking leaf,,,11.8,,,,,12.4,MISSING,,,,7.6,15.3,28.25277778,,,,,4.7,31.45458333,14,26.171875,,,,,,,,,,,,,,,,,,,,,,,,,
9018.5,9018,acerifolia,Drought,1,10,13.865,,,9.1,,,,,11.7,25.71104167,,,9.9,8.3,11.1,25.72770833,,,,,8.1,44.51444444,11,44.59826389,11.3,MISSING,,,,,,,,,,,,,,,,,,,,,,,
9018.6,9018,acerifolia,Control,1,6.9,17.65638889,,,6.3,,,,,10.9,58.88131944,,,12.5,9,13.8,90.75826389,,,,,6.7,36.60055556,9.4,40.23388889,7,MISSING,,,,,,,,,,,,,,,,,,,,,,,
9025.3,9025,cinerea,Drought,1,9.1,11.30555556,,,11.1,,,,8.6,,not enough leaves,,,,9.5,14,39.43256944,,,,,5.6,73.32354167,13.6,MISSING,11.3,MISSING,,,,,,,,,,,,,,,,,,,,,,,
9025.8,9025,cinerea,Control,1,9.5,15.06861111,,,10.7,,,,,16.3,48.99604167,,,,9.5,14.9,107.9316667,,,,,4.8,105.6864583,9.3,43.01631944,9.2,38.29902778,,,,,,,,,,,,,,,,,,,,,,,
9031.10,9031,berlandieri,Control,1,13.6,14.97527778,,,7.2,,,,,12.4,43.70430556,,,,,14.9,MISSING,8.4,,,,8.7,46.72618056,13.6,46.12208333,16,MISSING,,,,,,,,,,,,,,,,,,,,,,,
9031.11,9031,berlandieri,Control,1,13.4,14.3775,,,11.2,,,,,15,43.82229167,,,,10.2,14,30.74479167,,,,,7.3,63.40916667,11.2,45.31569444,13.4,MISSING,,,,,,,,,,,,,,,,,,,,,,,
9031.5,9031,berlandieri,Drought,1,12.7,25.18777778,,,8.9,,,,,11.1,64.74284722,,,,12.4,15,73.52083333,,,,,9.9,48.81916667,13.4,64.12090278,13.9,MISSING,,,,,,,,,,,,,,,,,,,,,,,
ANU65.2,ANU65,arizonica,Drought,1,7.9,14.4475,,,8.4,,,,,9.7,35.41701389,,,,7,,not enough leaves,,,,,5.1,57.57041667,13,46.70256944,11.4,MISSING,,,,,,,,,,,,,,,,,,,,,,,
ANU65.8,ANU65,arizonica,Control,1,13.2,MISSING,,,7.3,,,,,11.8,72.30826389,,,,8,10.8,58.23298611,,,,,5.8,77.42201389,8.5,78.92847222,8.3,MISSING,,,,,,,,,,,,,,,,,,,,,,,
b40-14.1,b40-14,arizonica,Drought,1,10.1,10.625,,,7.3,,,,,10.3,31.51347222,,,17.43,8.5,12,22.68951389,,,,,26,21.65909722,15.7,MISSING,24.3,15.90208333,,,,,,,,,,,,,,,,,,,,,,,
b40-14.10,b40-14,arizonica,Control,1,8.6,15.54694444,,,6.1,,,,,15.1,35.10222222,,,10.9,8.3,10.6,19.46965278,7.6,,,,7,23.37520833,10.4,MISSING,10.8,35.25944444,,,,,,,,,,,,,,,,,,,,,,,
b42-24.1,b42-24,peninsularis,Drought,1,9.9,14.69638889,,,6.1,,,,,10,39.58930556,,,,11,13.7,41.60159722,,,,,7.9,40.90659722,15.4,MISSING,14.8,36.19715278,,,,,,,,,,,,,,,,,,,,,,,
b42-24.7,b42-24,peninsularis,Control,1,12,13.12055556,,,5.3,,,,,10.5,47.86034722,,,,8.4,10.6,67.86173611,4.5,,,,6.2,60.43680556,9.5,MISSING,9.5,60.55944444,,,,,,,,,,,,,,,,,,,,,,,
b42-34.2,b42-34,cinerea,Drought,1,8,14.11083333,,,10.4,,,,,12.7,28.66465278,,,17.42,11,14.9,36.16215278,,,,,11.2,40.54125,14,28.35506944,19.1,MISSING,,,,,,,,,,,,,,,,,,,,,,,
b42-34.6,b42-34,cinerea,Control,1,8.9,12.33722222,,,9.2,,,,,14,37.10791667,,,11.5,11.5,14.9,46.99569444,,,,,5.8,33.01541667,11.5,MISSING,13.9,30.39694444,,,,,,,,,,,,,,,,,,,,,,,
C56-94.5,C56-94,rotundifolia var. munsoniana,Drought,1,9.4,18.53055556,,,8.2,,,,,12.7,44.44368056,,,8.3,9.4,11.8,43.19013889,,,,,6.4,52.26993056,11.8,56.511875,13.6,MISSING,,,,,,,,,,,,,,,,,,,,,,,
C56-94.7,C56-94,rotundifolia var. munsoniana,Control,1,9.5,16.92166667,,,8.9,,,,,9.6,57.82951389,,,7.3,9,9.9,40.92486111,,,,,7.1,38.87625,9.5,MISSING,12.6,47.37347222,,,,,,,,,,,,,,,,,,,,,,,
CC12.1,CC12,californica,Drought,1,11.5,19.87861111,,,7.3,,,,,9.1,39.35861111,,,,7.6,14.5,71.68354167,,,,,7.9,64.62701389,11.6,43.71090278,13.7,MISSING,,,,,,,,,,,,,,,,,,,,,,,
CC12.9,CC12,californica,Control,1,7.1,26.99083333,,,6.1,,,,,10.6,79.07270833,,,,9.5,13,108.0859028,,,,,4.4,70.15479167,9,MISSING,7.6,107.27125,,,,,,,,,,,,,,,,,,,,,,,
Haines.1,Haines,shuttleworthii,Control,1,8.5,16.84194444,,,9.5,,,,,7.9,63.73270833,,,,8.2,12.2,85.96104167,,,,,10,34.64680556,8.8,MISSING,9.7,75.26875,,,,,,,,,,,,,,,,,,,,,,,
Haines2.1,Hanes2,shuttleworthii,Drought,1,5.4,32.70138889,,,8.3,,,,,10,111.4082639,,,,7,12.3,124.5293056,,,,,6.4,117.3947222,12.4,MISSING,10.6,85.36479167,,,,,,,,,,,,,,,,,,,,,,,
Haines2.7,Hanes2,shuttleworthii,Control,1,8,22.0575,,,9.4,,,,,8.7,93.00076389,,,,8,,not enough leaves,,,,,5.5,148.7082639,9.2,69.56916667,8.9,85.58868056,,,,,,,,,,,,,,,,,,,,,,,
NY1.1,NY1,riparia,Drought,1,9.1,14.5675,,,9.9,,,,,12.9,49.27194444,,,9.1,9.9,18.6,73.09791667,,,,,7.1,61.74125,12,MISSING,11.6,33.53409722,,,,,,,,,,,,,,,,,,,,,,,
NY1.6,NY1,riparia,Control,1,7.4,16.89472222,,,8.3,,,,,12.3,43.54118056,,,,9.5,,not enough leaves,,,,,24.2,99.88951389,11.6,MISSING,10.7,93.96083333,,,,,,,,,,,,,,,,,,,,,,,
OCK1-S02.10,OCK1-S02,acerifolia,Control,1,7.9,36.50805556,,,5.7,,,,,11.5,123.6472222,,,,8.4,12,48.10319444,,,,,4.9,68.71243056,11.5,MISSING,8.9,89.01319444,,,,,,,,,,,,,,,,,,,,,,,
OCK1-S02.2,OCK1-S02,acerifolia,Drought,1,7.4,23.12416667,,,6.4,,,,,9.3,51.68791667,,,,6.8,15.4,78.05916667,,,,,4.8,88.47541667,10.2,MISSING,9.7,87.86402778,,,,,,,,,,,,,,,,,,,,,,,
SC2.5,SC2,girdiana,Drought,1,10.2,14.59694444,,,6.2,,,,,11.6,37.10347222,,,,7.8,14.1,45.56041667,,,,,6.6,48.46048611,11,48.63402778,11,MISSING,,,,,,,,,,,,,,,,,,,,,,,
SC2.7,SC2,girdiana,Control,1,8.1,15.35638889,,,7.5,,,,,8.5,54.30590278,,,,7.8,11.9,114.1809028,,,,,5.6,101.3915278,9.6,MISSING,7.8,123.0169444,,,,,,,,,,,,,,,,,,,,,,,
T48.4,T48,mustangensis,Drought,1,9,26.12222222,,,8.3,,,,,9.4,73.28659722,,,14.1,8.5,10.5,54.57826389,,,,,7,65.72638889,11.9,57.34263889,11.9,MISSING,,,,,,,,,,,,,,,,,,,,,,,
T48.7,T48,mustangensis,Control,1,11,22.195,,,8.3,,,,,12,51.755,,,10.92,8.5,9.7,67.65590278,,,,,4.8,102.85125,9.2,MISSING,9.9,66.94722222,,,,,,,,,,,,,,,,,,,,,,,
T52.3,T52,aestivalis,Drought,1,10.5,16.80305556,,,7.7,,,,,12.3,35.34625,,,9.3,10.1,13.5,46.91826389,,,,,10.4,43.93673611,12.9,44.03166667,13.9,MISSING,,,,,,,,,,,,,,,,,,,,,,,
T52.7,T52,aestivalis,Control,1,9.6,19.12694444,,,,,,,6.4,10.2,51.18833333,,,6,8,10.7,59.80159722,,,,,3.9,63.51458333,8.5,MISSING,11.4,67.46395833,,,,,,,,,,,,,,,,,,,,,,,
TX6704.1,TX6704,monticola,Drought,1,9.6,13.63305556,,,6.1,,,,,11.8,49.36618056,,,12,9.6,13.6,46.72256944,,,,,7.5,47.91465278,14.3,12.47861111,15.9,MISSING,,,,,,,,,,,,,,,,,,,,,,,
TX6704.6,TX6704,monticola,Control,1,7.8,23.57916667,,,6.3,,,,,11.1,64.27555556,,,8.8,10.8,13.2,38.91840278,,,,,4.9,47.91965278,9.9,41.38715278,10.9,MISSING,,,,,,,,,,,,,,,,,,,,,,,
TXNM0821.10,TXNM0821,riparia,Control,1,10.4,22.07805556,,,4.7,,,,,16.8,75.0225,,,11.03,6.7,12.3,108.2430556,,,,,4.9,97.70715278,7.3,MISSING,10.2,122.4475,,,,,,,,,,,,,,,,,,,,,,,
TXNM0821.4,TXNM0821,riparia,Drought,1,8.6,28.69305556,,,6.3,,,,,9,69.32284722,,,7,5.4,9.7,88.56618056,,,,,4.1,76.89895833,9.9,58.55208333,9.3,MISSING,,,,,,,,,,,,,,,,,,,,,,,
UT12-075.2,UT12-075,girdiana,Drought,1,,,,,,,,,,,no plant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UT12-075.6,UT12-075,girdiana,Control,1,10.4,23.12527778,,,7.3,,,,,11.4,43.65486111,,,,10.1,13.6,60.70569444,,,,,4.6,53.39680556,11,45.91388889,11.5,MISSING,,,,,,,,,,,,,,,,,,,,,,,
V57-96.10,V57-96,vulpina,Control,1,10.3,17.26555556,,,10.7,,,,,11.7,45.50256944,,,,,13,45.89090278,6.8,,,,8.4,64.86951389,13.6,52.29708333,10.8,MISSING,,,,,,,,,,,,,,,,,,,,,,,
