ID,Genotype,Species,Treatment,Order within block,mPot (kg),Dry weight of soil (kg),mH2O (kg),10/23_PWW,10/23_WA,10/23_BB,10/26_PWW,10/26_WA,10/26_TW,10/26_BB,10/28_PWW,10/28_WA,10/28_TW,10/28_BB,10/30_PWW,10/30_WA,10/30_TW,10/30_BB,11/02_PWW,11/02_WA,11/02_TW,11/02_POWW,11/02_BB,11/04_PWW,11/04_WA,11/04_TW,11/04_POWW,11/04_BB,11/06_PWW,11/06_WA,11/06_TW,11/06_POWW,11/06_BB,11/09_PWW,11/09_WA,11/09_TW,11/09_POWW,11/09_BB,11/11_PWW,11/11_WA,11/11_TW,11/11_POWW,11/11_BB,11/13_PWW,11/13_WA,11/13_TW,11/13_POWW,11/13_BB,11/15_cntrl.drained.wt,11/15_BB,11/16_PWW,11/16_WA,11/16_TW,11/16_POWW,11/16_BB,11/18_PWW,11/18_WA,11/18_TW,11/18_POWW,11/18_BB,11/20_PWW,11/20_WA,11/20_TW,11/20_POWW,11/20_BB,11/23_PWW,11/23_WA,11/23_TW,11/23_POWW,11/23_BB,11/25_PWW,11/25_WA,11/25_TW,11/25_POWW,11/25_BB,11/27_PWW,11/27_WA,11/27_TW,11/27_POWW,11/27_BB,11/30_PWW,11/30_WA,11/30_TW,11/30_POWW,11/30_BB,12/02_PWW,12/02_WA,12/02_TW,12/02_POWW,12/02_BB,12/04_PWW,12/04_WA,12/04_TW,12/04_POWW,12/04_BB,12/07_PWW,12/07_WA,12/07_POWW,12/07_TW,12/07_BB,12/09_PWW,12/09_WA,12/09_TW,12/09_POWW,12/09_BB,12/11_PWW,12/11_WA,12/11_TW,12/11_POWW,12/11_PD.WT,12/11_BB,12/11_midday.WT,12/13_PWW,12/13_WA,12/13_BB,12/13_TW,12/13_POWW,12/13_POWW.NOTES,12/14_PWW,12/14_BB,12/14_WA,12/14_TW,12/14_POWW,12/15_midday.WT,12/15_PWW,12/15_BB,12/15_TW,12/15_POWW,12/16_PWW,12/16_WA,12/16_BB,12/16_TW,12/16_POWW,12/16_PD.WT,12/16_midday.WT,12/17_PD.WT,12/17_PWW,12/17_BB,12/17_TW,12/17_POWW,12/18_BB,12/18_PD.WT,12/18_midday.WT
V60-96.8,V60-96,vulpina,Control,1,7.496,4.452672238,2.791327762,6.6435,0.294234448,1,6.6255,0.312234448,6.937734448,1,6.767,0.170734448,6.937734448,1,6.659,0.278734448,6.937734448,1,6.6655,0.272234448,6.937734448,6.946,1,6.7225,0.215234448,6.937734448,6.9405,1,6.747,0.190734448,6.937734448,6.9375,1,6.5405,0.397234448,6.937734448,7.07575,1,6.7305,0.207234448,6.937734448,6.93,1,6.69,0.247734448,6.937734448,6.93,1,6.876,1,7.41,-0.472265552,6.937734448,7.41,1,,7.216867224,7.216867224,,1,7.12,0.096867224,7.216867224,7.3,1,6.695,0.521867224,7.216867224,7.29,1,6.72,0.496867224,7.216867224,7.23,1,6.653,0.563867224,7.216867224,7.216867224,1,7.12,0.096867224,7.216867224,7.21,1,7.1,0.116867224,7.216867224,7.21,1,6.99,0.226867224,7.216867224,7.21,1,6.8665,6.989961003,6.985,6.937734448,1,7.01,0.206867224,6.937734448,7.01,1,,,,,7.124,1,6.973,,,1,,,,,1,,,,,,1,,,,,1,,,,,,,1,,,1,,
TXNM0821.10,TXNM0821,riparia,Control,2,6.652,3.933890436,2.466109564,5.4185,0.740278087,1,5.5295,0.629278087,6.158778087,1,5.723,0.435778087,6.158778087,1,5.759,0.399778087,6.158778087,1,5.6655,0.493278087,6.158778087,6.154,1,5.783,0.375778087,6.158778087,6.157,1,5.826,0.332778087,6.158778087,6.1505,1,5.5585,0.600278087,6.158778087,6.176,1,5.743,0.415778087,6.158778087,6.15,1,5.75,0.408778087,6.158778087,6.15,1,6.3955,1,6.6,-0.441221913,6.158778087,6.6,1,,6.405389044,6.405389044,,1,6.11,0.295389044,6.405389044,6.43,1,5.424,,6.405389044,6.4015,1,5.5,0.905389044,6.405389044,6.4,1,5.592,0.813389044,6.405389044,6.5075,1,6.03,0.375389044,6.405389044,6.4,1,6.29,0.115389044,6.405389044,6.4,2,6.01,0.395389044,6.405389044,6.4,2,6.1105,6.864970288,6.8945,6.191278087,2,5.97,0.894970288,6.191278087,6.86,2,,,,,6.465,2,6.178,,,2,,,,,2,,,,,,2,,,,,2,,,,,,,2,,,2,,
588155.01.4,588155.01,palmata,Drought,3,7.26,4.307610028,2.700389972,6.1975,0.522422006,1,6.2235,0.496422006,6.719922006,1,6.365,0.354922006,6.719922006,1,6.3425,0.377422006,6.719922006,1,6.2715,,Dont Water Today,,1,6.0165,-0.106694986,5.909805014,6.0165,1,5.834,0.075805014,5.909805014,5.9135,1,5.5915,0.318305014,5.909805014,5.904,1,5.6815,-0.041733983,5.639766017,5.68,1,5.52,-0.15027298,5.36972702,5.52,1,,1,5.31,0.05972702,5.36972702,5.36,1,5.23,0.13972702,5.36972702,5.37,1,5.16,0.20972702,5.36972702,5.36,1,5.1225,0.24722702,5.36972702,5.44,1,5.2,0.16972702,5.36972702,5.37,1,5.173,0.19672702,5.36972702,5.453,1,5.17,0.19972702,5.36972702,5.36,1,5.18,0.18972702,5.36972702,5.18,1,5.06,0.039688022,5.099688022,5.1,1,4.9465,5.177162488,5.185,5.099688022,1,5.01,0.366889509,5.36972702,5.36,1,,,,,5.1855,1,5.1365,,,1,,,,,1,,,,,,1,,,,,1,,,,,,,1,,,1,,
C56-94.5,C56-94,rotundifolia var. munsoniana,Drought,4,7.13,4.227702878,2.650297122,5.851,0.748940576,1,6.0175,0.582440576,6.599940576,1,6.148,0.451940576,6.599940576,1,6.069,0.530940576,6.599940576,1,5.9035,,Dont Water Today,,1,5.5295,0.275351439,5.804851439,5.812,1,5.458,0.346851439,5.804851439,5.806,1,5.201,0.603851439,5.804851439,5.8174,1,5.4,0.139821727,5.539821727,5.57,1,5.19,0.084792015,5.274792015,5.27,1,,1,4.92,0.354792015,5.274792015,5.27,1,4.96,0.314792015,5.274792015,5.27,1,4.87,0.404792015,5.274792015,5.29,1,4.8725,0.402292015,5.274792015,5.2955,1,4.93,0.344792015,5.274792015,5.29,1,4.9315,0.343292015,5.274792015,5.275,1,4.85,0.424792015,5.274792015,5.29,1,4.97,0.304792015,5.274792015,4.97,1,4.81,0.199762303,5.009762303,5.04,1,4.7715,5.366698236,5.1775,5.042262303,2,4.87,0.496698236,5.274792015,5.27,2,,,,,5.0385,2,4.972,,,2,,,,,2,,,,,,2,,,,,2,,,,,,,2,,,2,,
255189.01.7,255189.01,riparia,Control,5,7.372,4.376453111,2.743546889,6.08,0.743290622,1,5.796,1.027290622,6.823290622,1,5.9855,0.837790622,6.823290622,1,6.0875,0.735790622,6.823290622,1,5.8515,0.971790622,6.823290622,6.8415,1,6.0895,0.733790622,6.823290622,6.8255,1,6.0785,0.744790622,6.823290622,6.9,1,5.5425,1.280790622,6.823290622,6.8315,1,5.904,0.919290622,6.823290622,6.82,1,5.85,0.973290622,6.823290622,6.82,1,7.1835,1,6.96,-0.136709378,6.823290622,6.96,1,5.87,1.227645311,7.097645311,7.09,1,5.44,1.657645311,7.097645311,7.1,1,5.2885,1.809145311,7.097645311,7.0935,1,5.57,1.527645311,7.097645311,7.12,1,5.6045,1.493145311,7.097645311,7.113,1,5.82,1.277645311,7.097645311,7.1,1,6.53,0.567645311,7.097645311,7.09,1,6.17,0.927645311,7.097645311,7.1,1,6.335,6.799590529,6.8315,6.920790622,4,6.17,0.93723584,6.920790622,6.79,4,,,,,6.2245,4,5.8345,,,4,,,,,4,,,,,,4,,,,,4,,,,,,,4,,,4,,
UT12-075.2,UT12-075,girdiana,Drought,7,7.646,4.544872795,2.849127205,6.5835,0.492674559,1,6.7265,0.349674559,7.076174559,1,6.862,0.214174559,7.076174559,1,6.8585,0.217674559,7.076174559,1,6.882,,Dont Water Today,,1,6.742,-0.520563603,6.221436397,6.742,1,6.678,-0.456563603,6.221436397,6.678,1,6.53,-0.308563603,6.221436397,6.53,1,6.45,-0.513476323,5.936523677,6.45,1,6.4,-0.748389044,5.651610956,6.4,1,,1,,5.651610956,5.651610956,,1,,5.651610956,5.651610956,,1,,5.651610956,5.651610956,,1,,5.651610956,5.651610956,,1,,5.651610956,5.651610956,,1,,5.651610956,5.651610956,,1,,5.651610956,5.651610956,,1,,5.651610956,5.651610956,,1,,5.366698236,5.366698236,,1,,5.247719592,,5.366698236,1,,10.89933055,5.651610956,,1,,,,,,1,,,,1,,,,,1,,,,,,1,,,,,1,,,,,,,1,,,1,,
1149.10.,1149,treleasei,Control,8,7.062,4.185905293,2.624094707,5.736,0.801181059,1,5.776,0.761181059,6.537181059,1,5.9455,0.591681059,6.537181059,1,5.9015,0.635681059,6.537181059,1,5.6285,0.908681059,6.537181059,6.5445,1,5.933,0.604181059,6.537181059,6.5335,1,5.847,0.690181059,6.537181059,6.5355,1,5.4085,1.128681059,6.537181059,6.534,1,5.81,0.727181059,6.537181059,6.54,1,5.72,0.817181059,6.537181059,6.53,1,7.082,1,7.01,-0.472818942,6.537181059,7.01,1,6.82,-0.020409471,6.799590529,6.82,1,5.57,1.229590529,6.799590529,6.81,1,5.3765,1.423090529,6.799590529,6.803,1,5.64,1.159590529,6.799590529,6.8,1,5.5405,1.259090529,6.799590529,6.81,1,5.91,0.889590529,6.799590529,6.8,1,6.25,0.549590529,6.799590529,6.79,1,5.87,0.929590529,6.799590529,6.79,1,6.247,6.793821727,6.8185,6.602181059,3,5.98,0.823412256,6.602181059,6.79,3,,,,,6.443,3,6.096,,,3,,,,,3,,,,,,3,,,,,3,,,,,,,3,,,3,,
9025.8,9025,cinerea,Control,9,7.474,4.439149489,2.782850511,6.143,0.774429898,1,6.441,0.476429898,6.917429898,1,6.65,0.267429898,6.917429898,1,6.6,0.317429898,6.917429898,1,6.5415,0.375929898,6.917429898,6.9285,1,6.6755,0.241929898,6.917429898,6.9235,1,6.688,0.229429898,6.917429898,6.918,1,6.4445,0.472929898,6.917429898,6.983,1,6.65,0.267429898,6.917429898,6.91,1,6.63,0.287429898,6.917429898,6.91,1,7.591,1,7.53,-0.612570102,6.917429898,7.53,1,7.17,0.025714949,7.195714949,7.19,1,6.64,0.555714949,7.195714949,7.2,1,6.569,0.626714949,7.195714949,7.1965,1,6.66,0.535714949,7.195714949,7.19,1,6.603,0.592714949,7.195714949,7.206,1,7.05,0.145714949,7.195714949,7.19,1,7.22,-0.024285051,7.195714949,7.22,1,6.99,0.205714949,7.195714949,7.2,1,7.0145,6.893814299,7.0145,6.949929898,2,6.97,0.225714949,6.949929898,6.97,2,,,,,7.158,2,6.9135,,,2,,,,,2,,,,,,2,,,,,2,,,,,,,2,,,2,,
b42-34.6,b42-34,cinerea,Control,10,7.056,4.18221727,2.62178273,5.815,0.716643454,1,5.9525,0.579143454,6.531643454,1,6.1375,0.394143454,6.531643454,1,6.0105,0.521143454,6.531643454,1,5.8295,0.702143454,6.531643454,6.559,1,6.106,0.425643454,6.531643454,6.534,1,6.082,0.449643454,6.531643454,6.5385,1,5.726,0.805643454,6.531643454,6.5445,1,5.99,0.541643454,6.531643454,6.53,1,5.97,0.561643454,6.531643454,6.53,1,7.254,1,7.16,-0.628356546,6.531643454,7.16,1,,6.793821727,6.793821727,,1,6.7,0.093821727,6.793821727,6.79,1,6.2995,0.494321727,6.793821727,6.6935,1,6.1,0.693821727,6.793821727,6.79,1,5.9285,0.865321727,6.793821727,6.8015,1,6.66,0.133821727,6.793821727,6.8,1,6.84,-0.046178273,6.793821727,6.84,1,6.46,0.333821727,6.793821727,6.79,1,6.0005,6.632105385,6.641,6.564143454,2,6.28,0.475927112,6.564143454,6.67,2,,,,,6.6015,2,6.3425,,,2,,,,,2,,,,,,2,,,,,2,,,,,,,2,,,2,,
2214.4.3,2214.4,bloodworthiana,Drought,11,7.16,4.24614299,2.66185701,6.1635,0.464128598,1,6.2375,0.390128598,6.627628598,1,6.3655,0.262128598,6.627628598,1,6.29,0.337628598,6.627628598,1,6.2185,,Dont Water Today,,1,5.9725,-0.143428505,5.829071495,5.9725,1,5.8065,0.022571495,5.829071495,5.8305,1,5.5045,0.324571495,5.829071495,5.8565,1,5.6,-0.037114206,5.562885794,5.6,1,5.46,-0.163299907,5.296700093,5.46,1,,1,5.27,0.026700093,5.296700093,5.29,1,5.18,0.116700093,5.296700093,5.3,1,5.09,0.206700093,5.296700093,5.32,1,5.088,0.208700093,5.296700093,5.299,1,5.11,0.186700093,5.296700093,5.33,1,5.1015,0.195200093,5.296700093,5.3065,1,5,0.296700093,5.296700093,5.29,1,5.06,0.236700093,5.296700093,5.06,1,4.91,0.120514392,5.030514392,5.03,1,4.8515,5.246336119,5.2555,5.063014392,2,5.02,0.283036212,5.296700093,5.32,2,,,,,5.1555,2,5.0985,,,2,,,,,2,,,,,,2,,,,,2,,,,,,,2,,,2,,
